"script_path","script_type","switching_only","uses_root_artifacts","uses_run_artifacts","cross_pipeline_dependency","depends_on_old_tables","hidden_input_risk","ready_for_minimal_migration","requires_logic_change","notes"
"Switching/analysis/analyze_phi_kappa_canonical_space.m","ENTRYPOINT_CANDIDATE","YES","YES","YES","NO","YES","YES","NO","YES","reads precomputed root tables phi_kappa_stability_summary/status from tables/; uses createRunContext but does not add Aging/utils path explicitly; writes outputs to run_dir root (no run-scoped tables/reports subdirs); reads root-level tables/*.csv via readtable/load"
"Switching/analysis/experimental/run_switching_physical_baseline_model.m","SCRIPT_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; uses run_dir_pointer.txt linkage"
"Switching/analysis/experimental/run_switching_raw_baseline_correction_and_comparison.m","SCRIPT_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; uses run_dir_pointer.txt linkage"
"Switching/analysis/run_aging_collapse_kappa1_kappa2.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load"
"Switching/analysis/run_aging_kappa_comparison.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_aging_nonlinear_law_test.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Aging dependency; contains Relaxation dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_alpha_observable_search.m","SCRIPT_ANALYSIS","YES","YES","NO","NO","YES","YES","YES","NO","reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_alpha_physical_validity_test.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_asymmetric_spread_analysis.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_build_relaxation_dataset.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Relaxation dependency; reads root-level tables/*.csv via readtable/load"
"Switching/analysis/run_build_relaxation_dataset_from_pipeline.m","SCRIPT_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Relaxation dependency; reads root-level tables/*.csv via readtable/load"
"Switching/analysis/run_collapse_failure_mode_test.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_extract_tau_from_relaxation.m","SCRIPT_ANALYSIS","YES","YES","NO","NO","YES","YES","YES","NO","reads root-level tables/*.csv via readtable/load"
"Switching/analysis/run_kappa2_kww_shape_test.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Relaxation dependency; reads root-level tables/*.csv via readtable/load"
