"script_path","file_size","line_count","contains_createRunContext","contains_execution_status","contains_execution_probe"
"Switching/analysis/analyze_phi_kappa_canonical_space.m","10717","284","YES","YES","NO"
"Switching/analysis/checkNoDuplicateTemps.m","218","8","NO","NO","NO"
"Switching/analysis/computeMetrics.m","472","18","NO","NO","NO"
"Switching/analysis/debug_fix_o2_pipeline.m","18655","507","NO","YES","NO"
"Switching/analysis/ensureDir.m","105","6","NO","NO","NO"
"Switching/analysis/find_relaxation_time_series.m","9001","251","NO","YES","NO"
"Switching/analysis/formatNum.m","325","17","NO","NO","NO"
"Switching/analysis/getVarByCandidates.m","465","14","NO","NO","NO"
"Switching/analysis/inspect_relaxation_data_structure.m","8248","239","NO","YES","NO"
"Switching/analysis/leaveOneOutPredict.m","475","22","NO","NO","NO"
"Switching/analysis/locate_relaxation_raw_runs.m","9991","255","NO","YES","NO"
"Switching/analysis/pearsonCorrelation.m","441","23","NO","NO","NO"
"Switching/analysis/phi1_phi2_driver_helpers.m","1835","59","NO","NO","NO"
"Switching/analysis/phi2_deformation_helpers.m","3431","126","NO","NO","NO"
"Switching/analysis/phi2_shape_helpers.m","5250","202","NO","NO","NO"
"Switching/analysis/relImprovement.m","255","9","NO","NO","NO"
"Switching/analysis/run_aging_collapse_kappa1_kappa2.m","13335","346","NO","NO","NO"
"Switching/analysis/run_aging_kappa_comparison.m","11320","287","NO","NO","NO"
"Switching/analysis/run_aging_nonlinear_law_test.m","19675","520","NO","YES","NO"
"Switching/analysis/run_alpha_observable_search.m","34341","793","NO","YES","NO"
"Switching/analysis/run_alpha_physical_validity_test.m","12391","309","NO","YES","NO"
"Switching/analysis/run_asymmetric_spread_analysis.m","17308","481","YES","NO","NO"
"Switching/analysis/run_build_relaxation_dataset.m","12962","361","NO","YES","NO"
"Switching/analysis/run_build_relaxation_dataset_from_pipeline.m","8585","249","NO","YES","NO"
"Switching/analysis/run_collapse_failure_mode_test.m","25714","803","YES","NO","NO"
"Switching/analysis/run_extract_tau_from_relaxation.m","14968","380","NO","YES","NO"
"Switching/analysis/run_kappa2_kww_shape_test.m","30851","816","NO","YES","NO"
"Switching/analysis/run_kappa2_opening_test.m","31852","810","NO","YES","NO"
"Switching/analysis/run_kappa2_operational_signature_test.m","13257","398","NO","NO","NO"
"Switching/analysis/run_kappa2_physical_necessity.m","19403","533","NO","YES","NO"
"Switching/analysis/run_minimal_canonical.m","2869","103","YES","YES","NO"
"Switching/analysis/run_parameter_robustness_switching_canonical.m","19840","573","NO","NO","NO"
"Switching/analysis/run_phi_asymmetry_link.m","25680","697","YES","NO","NO"
"Switching/analysis/run_phi_even_deformation_test.m","37469","980","YES","NO","NO"
"Switching/analysis/run_phi_physical_identification.m","27198","712","YES","NO","NO"
"Switching/analysis/run_phi_physical_structure_test.m","27159","831","YES","NO","NO"
"Switching/analysis/run_phi_pt_independence_test.m","26882","798","YES","NO","NO"
