"category","model","metric","value"
"STEP1_NONLINEAR","poly_deg_1","RMSE","0.0411266391115537"
"STEP1_NONLINEAR","poly_deg_1","R2","0.514674937336801"
"STEP1_NONLINEAR","poly_deg_1","LOOCV_RMSE","0.0522672061765481"
"STEP1_NONLINEAR","poly_deg_2","RMSE","0.0296941451654796"
"STEP1_NONLINEAR","poly_deg_2","R2","0.746995681863983"
"STEP1_NONLINEAR","poly_deg_2","LOOCV_RMSE","0.0446499742555877"
"STEP1_NONLINEAR","poly_deg_3","RMSE","0.0293822781428849"
"STEP1_NONLINEAR","poly_deg_3","R2","0.752282202437445"
"STEP1_NONLINEAR","poly_deg_3","LOOCV_RMSE","0.261052667314436"
"STEP2_TWO_MODE","two_mode_linear","RMSE","0.0175937792196973"
"STEP2_TWO_MODE","two_mode_linear","R2","0.911181270922864"
"STEP2_TWO_MODE","two_mode_linear","LOOCV_RMSE","0.0256105219886335"
"STEP2_TWO_MODE","two_mode_linear","R2_GAIN_VS_SINGLE_LINEAR","0.396506333586063"
"STEP3_ORTHOGONALITY","phi1_phi2","CORR_PHI1_PHI2","-0.526320930746144"
"STEP3_ORTHOGONALITY","phi2_stability","MEAN_ABS_CORR_RESIDUAL_PHI2","0.9671634116638"
"STEP3_ORTHOGONALITY","phi2_stability","STD_CORR_RESIDUAL_PHI2","0.0256985429920841"
"DATA","alignment","N_T_FIT","9"
"DATA","alignment","N_I","6"
