"type","path","description","method_type"
"report","Aging old/docs/switching_model.md","Report artifact: switching model","decomposition"
"report","Aging/ARCHITECTURE.md","Report artifact: ARCHITECTURE","unknown"
"report","Aging/CANONICAL_IMPLEMENTATION_SUMMARY.md","Report artifact: CANONICAL IMPLEMENTATION SUMMARY","unknown"
"report","Aging/DEBUG_INFRASTRUCTURE_GUIDE.md","Report artifact: DEBUG INFRASTRUCTURE GUIDE","unknown"
"report","Aging/DELIVERY_SUMMARY.md","Report artifact: DELIVERY SUMMARY","unknown"
"report","Aging/DEPLOYMENT_CHECKLIST.md","Report artifact: DEPLOYMENT CHECKLIST","unknown"
"report","Aging/DEPLOYMENT_COMPLETE.md","Report artifact: DEPLOYMENT COMPLETE","unknown"
"report","Aging/docs/CANONICAL_TWO_TIME_DEFINITION.md","Report artifact: CANONICAL TWO TIME DEFINITION","unknown"
"report","Aging/docs/stage4_refactor_side_by_side.md","Report artifact: stage4 refactor side by side","unknown"
"report","Aging/docs/stage4_refactor_verification.md","Report artifact: stage4 refactor verification","unknown"
"report","Aging/docs/state_flow.md","Report artifact: state flow","unknown"
"report","Aging/docs/VERIFICATION_SUMMARY.md","Report artifact: VERIFICATION SUMMARY","unknown"
"report","Aging/ENHANCED_DIAGNOSTICS_SUMMARY.md","Report artifact: ENHANCED DIAGNOSTICS SUMMARY","unknown"
"report","Aging/IMPLEMENTATION_SUMMARY.md","Report artifact: IMPLEMENTATION SUMMARY","unknown"
"report","Aging/INDEX.md","Report artifact: INDEX","unknown"
"report","Aging/MANIFEST.md","Report artifact: MANIFEST","unknown"
"report","Aging/PHYSICS_CONTEXT_ARCHITECTURE.md","Report artifact: PHYSICS CONTEXT ARCHITECTURE","unknown"
"report","Aging/PHYSICS_DIAGNOSTICS_GUIDE.md","Report artifact: PHYSICS DIAGNOSTICS GUIDE","unknown"
"report","Aging/QUICK_REFERENCE.md","Report artifact: QUICK REFERENCE","unknown"
"report","Aging/QUICK_START.md","Report artifact: QUICK START","unknown"
"report","Aging/README.md","Report artifact: README","unknown"
"report","Aging/README_DEBUG_SYSTEM.md","Report artifact: README DEBUG SYSTEM","unknown"
"report","Aging/REAL_DATA_SETUP_GUIDE.md","Report artifact: REAL DATA SETUP GUIDE","unknown"
"report","Aging/ROBUST_BASELINE_IMPLEMENTATION_SUMMARY.md","Report artifact: ROBUST BASELINE IMPLEMENTATION SUMMARY","background_model"
"report","Aging/STATUS.md","Report artifact: STATUS","unknown"
"report","Aging/verification/VERIFICATION_REPORT.md","Report artifact: VERIFICATION REPORT","unknown"
"report","archive/invalid/reports/aging_alpha_closure_report.md","Report artifact: aging alpha closure report","unknown"
"report","archive/invalid/reports/aging_hermetic_closure_report.md","Report artifact: aging hermetic closure report","unknown"
"report","archive/invalid/reports/aging_kappa_comparison.md","Report artifact: aging kappa comparison","unknown"
"report","archive/invalid/reports/aging_kappa1_prediction.md","Report artifact: aging kappa1 prediction","unknown"
"report","archive/invalid/reports/aging_kappa2_report.md","Report artifact: aging kappa2 report","unknown"
"report","archive/invalid/reports/aging_measurement_definition_audit.md","Report artifact: aging measurement definition audit","unknown"
"report","archive/invalid/reports/aging_meta_audit_latest_results.md","Report artifact: aging meta audit latest results","unknown"
"report","archive/invalid/reports/aging_meta_audit_verdict_summary.md","Report artifact: aging meta audit verdict summary","unknown"
"report","archive/invalid/reports/aging_prediction_report.md","Report artifact: aging prediction report","unknown"
"report","archive/invalid/reports/aging_relaxation_confusion_audit.md","Report artifact: aging relaxation confusion audit","unknown"
"report","archive/stale/reports/alpha_observable_search.md","Report artifact: alpha observable search","unknown"
"report","docs/reports/legacy/AGING_AUDIT_REPORT.md","Report artifact: AGING AUDIT REPORT","unknown"
"report","docs/reports/legacy/AGING_STABILIZATION_COMPLETE.md","Report artifact: AGING STABILIZATION COMPLETE","unknown"
"report","docs/reports/legacy/AGING_VERIFICATION_FINAL.md","Report artifact: AGING VERIFICATION FINAL","unknown"
"report","junk/aging_trace_structure_attempt/AGING_STRUCTURE_EXECUTION_HANDOFF.md","Report artifact: AGING STRUCTURE EXECUTION HANDOFF","unknown"
"report","junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","Report artifact: AGING TRACE STRUCTURE DELIVERY SUMMARY","unknown"
"report","junk/aging_trace_structure_attempt/FINAL_COMPLETION_REPORT.md","Report artifact: FINAL COMPLETION REPORT","unknown"
"report","junk/aging_trace_structure_attempt/MASTER_EXECUTIVE_SUMMARY.md","Report artifact: MASTER EXECUTIVE SUMMARY","unknown"
"report","junk/aging_trace_structure_attempt/PRODUCTION_DEPLOYMENT_CHECKLIST.md","Report artifact: PRODUCTION DEPLOYMENT CHECKLIST","unknown"
"report","junk/aging_trace_structure_attempt/PRODUCTION_SIGN_OFF_CERTIFICATE.md","Report artifact: PRODUCTION SIGN OFF CERTIFICATE","unknown"
"report","junk/aging_trace_structure_attempt/REPOSITORY_STATE_SUMMARY.md","Report artifact: REPOSITORY STATE SUMMARY","unknown"
"report","junk/aging_trace_structure_attempt/SESSION_SUMMARY_2026_03_30.md","Report artifact: SESSION SUMMARY 2026 03 30","unknown"
"report","junk/aging_trace_structure_attempt/WORK_COMPLETION_AND_HANDOFF.md","Report artifact: WORK COMPLETION AND HANDOFF","unknown"
"report","reports/aging_kappa1_kappa2_collapse.md","Report artifact: aging kappa1 kappa2 collapse","dip_extraction"
"report","reports/alpha_decomposition_report.md","Report artifact: alpha decomposition report","decomposition"
"report","reports/alpha_from_PT_report.md","Report artifact: alpha from PT report","unknown"
"report","reports/alpha_physical_validity.md","Report artifact: alpha physical validity","unknown"
"report","reports/alpha_res_cross_experiment_report.md","Report artifact: alpha res cross experiment report","unknown"
"report","reports/alpha_res_origin_report.md","Report artifact: alpha res origin report","unknown"
"report","reports/alpha_res_physics_report.md","Report artifact: alpha res physics report","unknown"
"report","reports/alpha_res_smoothed_report.md","Report artifact: alpha res smoothed report","unknown"
"report","reports/alpha_res_state_report.md","Report artifact: alpha res state report","unknown"
"report","reports/alpha_res_trajectory_report.md","Report artifact: alpha res trajectory report","unknown"
"report","reports/alpha_res_transition_report.md","Report artifact: alpha res transition report","unknown"
"report","reports/alpha_structure_report.md","Report artifact: alpha structure report","unknown"
"report","reports/alpha_with_kappa1_report.md","Report artifact: alpha with kappa1 report","unknown"
"report","reports/kappa1_from_PT_aligned_report.md","Report artifact: kappa1 from PT aligned report","unknown"
"report","reports/kappa1_from_PT_report.md","Report artifact: kappa1 from PT report","unknown"
"report","reports/kappa1_projection_test.md","Report artifact: kappa1 projection test","fitting"
"report","reports/kappa1_speak_equivalence_report.md","Report artifact: kappa1 speak equivalence report","unknown"
"report","reports/kappa1_speak_ratio_test.md","Report artifact: kappa1 speak ratio test","unknown"
"report","reports/kappa2_kww_shape_test.md","Report artifact: kappa2 kww shape test","fitting"
"report","reports/kappa2_opening_test.md","Report artifact: kappa2 opening test","unknown"
"report","reports/kappa2_operational_signature.md","Report artifact: kappa2 operational signature","unknown"
"report","reports/kappa2_phenomenological_audit.md","Report artifact: kappa2 phenomenological audit","unknown"
"report","reports/kappa2_physical_necessity.md","Report artifact: kappa2 physical necessity","unknown"
"report","reports/kappa2_state_geometry_report.md","Report artifact: kappa2 state geometry report","unknown"
"report","reports/phi_kappa_canonical_verdict.md","Report artifact: phi kappa canonical verdict","unknown"
"report","reports/PT_kappa_relaxation_mapping.md","Report artifact: PT kappa relaxation mapping","unknown"
"report","reports/PT_to_relaxation_mapping.md","Report artifact: PT to relaxation mapping","unknown"
"report","reports/relaxation_canonical_definition.md","Report artifact: relaxation canonical definition","unknown"
"report","reports/relaxation_canonical_implementation_check.md","Report artifact: relaxation canonical implementation check","unknown"
"report","reports/relaxation_dataset_validation.md","Report artifact: relaxation dataset validation","unknown"
"report","reports/relaxation_deep_search.md","Report artifact: relaxation deep search","unknown"
"report","reports/relaxation_extraction.md","Report artifact: relaxation extraction","unknown"
"report","reports/relaxation_full_dataset.md","Report artifact: relaxation full dataset","unknown"
"report","reports/relaxation_measurement_canonical_self_audit.md","Report artifact: relaxation measurement canonical self audit","unknown"
"report","reports/relaxation_measurement_canonical_self_audit_v2.md","Report artifact: relaxation measurement canonical self audit v2","unknown"
"report","reports/relaxation_measurement_focused_t0_norm_window.md","Report artifact: relaxation measurement focused t0 norm window","slope"
"report","reports/relaxation_measurement_robustness_audit.md","Report artifact: relaxation measurement robustness audit","unknown"
"report","reports/relaxation_outlier_audit.md","Report artifact: relaxation outlier audit","unknown"
"report","reports/relaxation_outlier_audit_no_toolbox.md","Report artifact: relaxation outlier audit no toolbox","unknown"
"report","reports/relaxation_pipeline_audit.md","Report artifact: relaxation pipeline audit","unknown"
"report","reports/relaxation_raw_candidates.md","Report artifact: relaxation raw candidates","unknown"
"report","reports/relaxation_structure_scan.md","Report artifact: relaxation structure scan","unknown"
"report","reports/relaxation_time_series_scan.md","Report artifact: relaxation time series scan","unknown"
