script_path,LEGACY_CANONICAL,ENTRY_SIGNAL,RUN_CONTEXT,EXECUTION_STATUS,ROOT_DEPENDENCY,COMPLEXITY,CONVERSION_DIFFICULTY
Switching/analysis/analyze_phi_kappa_canonical_space.m,NO,NO,YES,YES,YES,MEDIUM,MEDIUM
Switching/analysis/checkNoDuplicateTemps.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/computeMetrics.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/debug_fix_o2_pipeline.m,NO,NO,NO,YES,YES,HIGH,HARD
Switching/analysis/ensureDir.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/find_relaxation_time_series.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/formatNum.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/getVarByCandidates.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/inspect_relaxation_data_structure.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/leaveOneOutPredict.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/locate_relaxation_raw_runs.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/pearsonCorrelation.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/phi1_phi2_driver_helpers.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/phi2_deformation_helpers.m,NO,NO,NO,NO,NO,MEDIUM,EASY
Switching/analysis/phi2_shape_helpers.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/relImprovement.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/run_aging_collapse_kappa1_kappa2.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/run_aging_kappa_comparison.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/run_aging_nonlinear_law_test.m,NO,NO,NO,YES,YES,HIGH,HARD
Switching/analysis/run_alpha_observable_search.m,NO,NO,NO,YES,YES,HIGH,HARD
Switching/analysis/run_alpha_physical_validity_test.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/run_asymmetric_spread_analysis.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_build_relaxation_dataset.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/run_build_relaxation_dataset_from_pipeline.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/run_collapse_failure_mode_test.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_extract_tau_from_relaxation.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
