"file_path","line_number","kind","var","value","code"
"C:\Dev\matlab-functions\Aging\analysis\aging_fm_timescale_analysis.m","110","explicit_runid_in_line","","run_2026_03_12_211204_aging_dataset_build","'run_2026_03_12_211204_aging_dataset_build', 'tables', 'aging_observable_dataset.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_fm_timescale_analysis.m","112","explicit_runid_in_line","","run_2026_03_12_223709_aging_timescale_extraction","'run_2026_03_12_223709_aging_timescale_extraction', 'tables', 'tau_vs_Tp.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_fm_timescale_analysis.m","114","explicit_runid_in_line","","run_2026_03_13_005134_aging_fm_using_dip_clock","'run_2026_03_13_005134_aging_fm_using_dip_clock', 'tables', 'fm_collapse_using_dip_tau_metrics.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_fm_timescale_analysis.m","194","explicit_runid_in_line","","run_2026_03_13_005134_aging_fm_using_dip_clock","failed.run_id = ""run_2026_03_13_005134_aging_fm_using_dip_clock"";"
"C:\Dev\matlab-functions\Aging\analysis\aging_fm_timescale_analysis.m","831","explicit_runid_in_line","","run_2026_03_12_223709_aging_timescale_extraction","lines(end + 1) = '- Relevant prior runs were: `run_2026_03_12_223709_aging_timescale_extraction` (Dip tau extraction), `run_2026_03_12_225842_aging_component_clock_test` (direct Dip-vs-FM mismatch), `run_2026_03_13_005134_aging_fm_using_dip_clock` (FM under Dip-collapse tau, worse collapse), and `run_2026_03_13_010148_aging_fm_using_extracted_dip_tau` (FM under directly extracted Dip tau, still no robust collapse).';"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_mode_correlation.m","27","explicit_runid_in_line","","run_legacy_svd_pca","svdPath = fullfile(repoRoot, 'results', 'aging', 'runs', 'run_legacy_svd_pca', ..."
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_mode_correlation.m","30","explicit_runid_in_line","","run_legacy_decomposition_stability","'run_legacy_decomposition_stability', 'tables', 'decomposition_stability_raw.csv');"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_mode_correlation.m","32","explicit_runid_in_line","","run_legacy_decomposition","'run_legacy_decomposition', 'tables', 'FM_sign_stability', 'FM_AFM_summary.csv');"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","24","explicit_runid_in_line","","run_2026_03_10_231719_tp_26_structured_export","'run_2026_03_10_231719_tp_26_structured_export');"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","135","explicit_runid_in_line","","run_2026_03_12_211204_aging_dataset_build","'run_2026_03_12_211204_aging_dataset_build', 'tables', 'aging_observable_dataset.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","137","explicit_runid_in_line","","run_2026_03_12_223709_aging_timescale_extraction","'run_2026_03_12_223709_aging_timescale_extraction', 'tables', 'tau_vs_Tp.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","139","explicit_runid_in_line","","run_2026_03_13_013634_aging_fm_timescale_analysis","'run_2026_03_13_013634_aging_fm_timescale_analysis', 'tables', 'tau_FM_vs_Tp.csv'));"
