"T","RMSE_PT","RMSE_FULL","delta_RMSE","corr_PT","corr_FULL"
"4","0.103671769341751","0.0239835503406281","0.0796882190011226","0.799555095744785","0.985130035850649"
"6","0.0932048448900886","0.0294679234950368","0.0637369213950518","0.777428374851357","0.986223125681121"
"8","0.0974810251491885","0.0192179727148564","0.078263052434332","0.720789952826014","0.995760078110188"
"10","0.0961992707138961","0.0075394563237982","0.0886598143900979","0.681304551261571","0.999146171877084"
"12","0.0837222522720128","0.00925725646605154","0.0744649958059612","0.674314990362824","0.995438343533268"
"14","0.0751971475985208","0.00957002642585712","0.0656271211726636","0.674676649858207","0.989190605183226"
"16","0.0665653574327656","0.0111642832057388","0.0554010742270268","0.641122878198478","0.980565221978887"
"18","0.0589768363248827","0.0104321935424219","0.0485446427824608","0.602602943483251","0.976166713145899"
"20","0.048878428334892","0.00723307724259088","0.0416453510923011","0.581530169675932","0.98328003012364"
"22","0.0505678851330761","0.0111741304567853","0.0393937546762908","0.562133523268986","0.979275471194253"
"24","0.0399857686451487","0.0158221133576143","0.0241636552875343","0.494283885219483","0.870549082840058"
"26","0.051009407160015","0.0268326919104234","0.0241767152495916","0.371889913863601","0.716355651661558"
"28","0.0453546020054622","0.0350913694943992","0.0102632325110631","0.280431572393289","0.310935445814222"
"30","0.0632252983343508","0.0543310432308183","0.0088942551035325","-0.309615169132398","-0.356599571723011"
