"T_K","kappa1_old","kappa1_new","kappa1_width_only_change","kappa1_ipeak_only_change","delta_kappa1_new_minus_old"
"4","0.204466991351331","0.280463083503191","0.391172369183266","0.00867312173299116","0.0759960921518605"
"6","0.17211158669913","0.235434056818855","0.354190756738024","-0.032483963796478","0.0633224701197248"
"8","0.118588274173136","0.156604892509174","0.278434866476007","-0.105455389493565","0.038016618336038"
"10","0.0853373379878871","0.106327661054368","0.10751281553004","-0.143134917495857","0.0209903230664808"
"12","NaN","0.0996816827037246","0.101773545680224","NaN","NaN"
"14","NaN","-0.118234945547252","0.100034059635563","NaN","NaN"
"16","NaN","-0.121367627086514","0.0735336722830185","NaN","NaN"
"18","NaN","-0.146735359535484","0.0214439542932208","NaN","NaN"
"20","NaN","-0.21272592486473","-0.00353059254165352","NaN","NaN"
"22","0.593848116236753","0.106561344966768","0.308043375719315","0.448467632258271","-0.487286771269985"
"24","0.333457226365944","0.416716059072264","0.416854423348553","0.0482120508069173","0.0832588327063203"
"26","-0.256176468240994","0.350876857550049","0.0898798306100494","NaN","0.607053325791044"
"28","-0.0230431075942665","0.00511165525830772","0.00511303102587781","NaN","0.0281547628525742"
"30","NaN","-0.0124407960719847","-0.0124410725933748","NaN","NaN"
"32","NaN","NaN","NaN","NaN","NaN"
"34","NaN","NaN","-0.887343391887339","NaN","NaN"
"-1","0.279588505638232","-0.0699410914440527","1.20633496924577","0.252142939929274","14"
