section,metric,value_numeric,value_text
source,CANONICAL_SOURCE_LOCKED,NaN,YES
width,min_corr_noncanonical,0.752354777236323,
width,median_rel_dev_nearest_vs_linear,0.513347284874248,
width,median_rel_dev_fine_vs_linear,0.0125515708959144,
width,median_abs_delta_if_insert40_mA,0,
grid,ratio_loose_brackets_in_width_fail,0.666666666666667,
grid,ratio_undersampled_in_width_fail,0.777777777777778,
grid,ratio_edge_or_asym_in_width_fail,0.222222222222222,
peak,corr_abs_deltaI_vs_abs_deltaW_peak_only,NaN,
peak,corr_abs_deltaI_vs_rel_dev_nearest,0.0307901503793357,
peak,median_rel_peak_only_width_change,0,
peak,median_rel_nearest_width_change,0.513347284874248,
kappa_A,min_corr,0.674118974051107,
kappa_A,median_rel_dev,0.0263954648015014,
kappa_A,worst_rel_dev,59.8520997554896,
kappa_A,valid_temperature_count,15,
kappa_B,min_corr,0.735743331175725,
kappa_B,median_rel_dev,0.0418615973618095,
kappa_B,worst_rel_dev,59.8520997554896,
kappa_B,valid_temperature_count,15,
kappa_C,min_corr,0.999546462298493,
kappa_C,median_rel_dev,0.0241442809519542,
kappa_C,worst_rel_dev,0.0935978199718751,
kappa_C,valid_temperature_count,15,
kappa_D,min_corr,0.674118974051107,
kappa_D,median_rel_dev,0.0169045853493796,
kappa_D,worst_rel_dev,16.0818540714274,
kappa_D,valid_temperature_count,15,
collapse,min_corr_noncanonical,1,
temperature,width_failure_region,NaN,mid_T
temperature,kappa_failure_region,NaN,low_T
interpretation,final_interpretation,NaN,kappa estimator artifact dominates
