source_type,file_path,date_if_available,verdict_key,verdict_value,metric_basis,notes
table,C:/Dev/matlab-functions/tables/rank2_metrics.csv,2026-03-25 20:28:45,MODE2_REAL,YES,"no_22K subset: sigma1/sigma2=6.263467, variance_mode1=0.959794, rmse_gain_rank2_minus_rank1=0.075052, corr_mode2_I_peak=-0.926461","Legacy rank-2 summary labels mode-2 as real and linked."
table,C:/Dev/matlab-functions/tables/rank2_metrics.csv,2026-03-25 20:28:45,MODE2_LINKED_TO_LANDSCAPE,YES,"best_corr_descriptor=I_peak_mA, best_corr_value=-0.926461; corr_mode2_kappa=-0.697045","Correlation-based linkage criterion dominates the verdict."
table,C:/Dev/matlab-functions/tables/rank2_metrics.csv,2026-03-25 20:28:45,RANK1_SUFFICIENT,NO,"variance_mode1=0.959794 and relFro rank1 error=0.200514","Legacy source treats rank-1 as insufficient despite high mode-1 variance."
report,C:/Dev/matlab-functions/reports/rank2_report.md,2026-03-27 21:34:13,MODE2_REAL,YES,"Decision subset no_22K; reports mode stability min cosine=0.9993, mean=0.9999; gain=0.0751","Report-level summary that supported independent/real mode-2 narratives."
report,C:/Dev/matlab-functions/reports/deformation_closure_report.md,2026-03-27 21:34:13,PHI2_IS_DEFORMATION_OF_PHI1,PARTIAL,"corr(Phi2,dPhi1/dx)=-0.886; corr(Phi2,x*Phi1)=-0.892; cosine(Phi2,span{K1,K2})=0.414; rmse_to_span=0.061","Explicitly states deformation alignment is partial, not full closure."
report,C:/Dev/matlab-functions/reports/deformation_closure_report.md,2026-03-27 21:34:13,DEFORMATION_BASIS_MATCHES_RANK2,NO,"mean RMSE: rank2(B)=0.00567 vs deform3(C)=0.00656","Deformation basis does not match rank-2 reconstruction quality."
table,C:/Dev/matlab-functions/tables/phi2_extended_deformation_basis_status.csv,2026-03-26 23:08:52,EXTENDED_BASIS_IMPROVES,NO,"BEST_COSINE=0.666907, BEST_RMSE=0.049875","Extended deformation basis judged insufficient."
table,C:/Dev/matlab-functions/tables/phi2_extended_deformation_basis_status.csv,2026-03-26 23:08:52,PHI2_IRREDUCIBLE_BEYOND_DEFORMATION,YES,"Same status artifact: PHI2_HIGHER_ORDER_DEFORMATION=NO","Old deformation line of evidence against pure deformation closure."
table,C:/Dev/matlab-functions/tables/phi2_second_order_deformation_status.csv,2026-03-27 00:55:46,SECOND_ORDER_OUTPERFORMS_FIRST_ORDER,YES,"Status table from strict second-order test","Second-order terms help, but do not close fully."
table,C:/Dev/matlab-functions/tables/phi2_second_order_deformation_status.csv,2026-03-27 00:55:46,FIRST_PLUS_SECOND_SUFFICIENT,NO,"strict closure cutoff: cosine>=0.90 and rmse_unit<=0.02 (reported baseline row rmse_unit~0.025)","Explicit strict-deformation failure criterion."
table,C:/Dev/matlab-functions/tables/phi2_second_order_deformation_status.csv,2026-03-27 00:55:46,PHI2_IRREDUCIBLE_BEYOND_SECOND_ORDER,YES,"Derived from FIRST_PLUS_SECOND_SUFFICIENT=NO","Supports non-closure in old strict deformation language."
report,C:/Dev/matlab-functions/results/switching/runs/run_legacy_mode23_analysis/reports/mode23_analysis_report.md,2026-03-09 00:05:44,MODE23_TWO_DIMENSIONAL_SUBSPACE,YES_CONSISTENT,"Global I_peak regression R2: mode2_only=0.438, mode3_only=0.348, mode23=0.766 (DeltaR2=0.327)","Legacy report states material 2D-structure gain."
report,C:/Dev/matlab-functions/results/switching/runs/run_legacy_mechanism_followup/reports/mechanism_followup_report.md,2026-03-08 23:37:17,MODE2_LINKED_TO_SHAPE_EVOLUTION,YES_CONSISTENT,"corr(coeff_mode2, I_peak)=0.662 global; high-T corr with width_I=0.902","Legacy interpretation: mode-2 tracks regime-dependent shape evolution."
script,C:/Dev/matlab-functions/Switching/analysis/run_residual_temperature_structure_test.m,2026-03-27 21:34:12,LEGACY_SIGNIFICANCE_LOGIC,RANK2_GAIN_PLUS_STRUCTURE,"classifyAmpOnly uses energy_frac_mode1, maxDrift, median cosine, p90 orth leftover, strongest correlation","No hard mode2-variance floor; structural gain/correlation language dominates significance narrative."
script,C:/Dev/matlab-functions/Switching/analysis/run_residual_rank2_audit.m,2026-03-27 21:34:13,OLD_AUDIT_SIGNIFICANCE_CRITERION,STRUCTURED_IF(ev2>=0.03_AND_bestAbsCorr>=0.35),"makeFinalVerdict thresholds: STRUCTURED if (impr>=0.03 && bestAbsCorr>=0.35); WEAK if (impr>=0.015 || bestAbsCorr>=0.25)","Explicit old rank-2 threshold logic available in code."
script,C:/Dev/matlab-functions/Switching/analysis/phi2_shape_helpers.m,2026-03-27 21:34:12,OLD_STABILITY_CRITERION,PHI2_STABLE_IF(LOO_min_cosine>=0.88),"localApplyDefaults sets stabilityCosThreshold=0.88; localLooPhi2Cosine defines LOO cosine","Old explicit phi2-shape stability criterion."
script,C:/Dev/matlab-functions/analysis/run_deformation_closure_agent19e.m,2026-03-27 21:34:13,OLD_DEFORMATION_CRITERION,PHI2_DEFORMATION_IF(phi2InSpan_AND_deformNearRank2),"phi2InSpan=(cosSpan>0.85 || rmseSpan<0.02); deformNearRank2=(meanRmseC<=1.05*meanRmseB)","Old deformation-basis sufficiency test with explicit RMSE/cosine thresholds."
script,C:/Dev/matlab-functions/Switching/analysis/run_phi2_second_order_deformation_test.m,2026-03-27 23:41:24,OLD_STRICT_CLOSURE_CRITERION,FIRST_PLUS_SECOND_SUFFICIENT_IF(cosine>=0.90_AND_rmse_unit<=0.02),"localVerdicts: properCos=0.90, properRmseUnit=0.02","Strict old closure criterion that kept deformation sufficiency at NO."
