T,kappa1,kappa2,rmse_rank1,rmse_rank2,improvement_ratio
4,1.04658821392793,0.0656223683737462,0.0148289196427622,0.0141535433210123,0.954455460140044
6,1.11207564319241,0.0615892619750528,0.00918044595686389,0.00818771034763409,0.891864119249288
8,1.14778606787015,0.0497927909180983,0.0044125777988274,0.00286377325421418,0.649002325800397
10,1.03236713024955,0.0252478335549061,0.0061028935909626,0.00586069928381126,0.960314840240703
12,0.890068149919772,-0.0481763654815827,0.00469980514748773,0.00339681325412139,0.722756188293709
14,0.725549950886593,-0.0598040402254154,0.00468269834389776,0.00238133156439104,0.508538323314006
16,0.624495666642362,-0.0756877685633675,0.00555236635583109,0.00218849425483536,0.394155233027266
18,0.571355995230885,-0.0839682454095365,0.00594856615042066,0.00182673379280236,0.307088085869766
20,0.523635006681472,-0.0455834306546876,0.00478807040605187,0.00367162761572218,0.766828242767992
22,0.223233186504697,-0.10405084115363,0.00946675903524895,0.00635671381445163,0.671477301870974
24,0.40787952789443,-0.162440757725133,0.0118020640013735,0.00439861417330835,0.372698722257092
26,0.373403629314631,-0.013878672075776,0.0100681313975675,0.010024556627222,0.99567201016506
28,0.356559217559529,-0.059297741557869,0.00802235536825094,0.00695523958483073,0.866982234713336
30,0.280653285793859,0.359176031865287,0.0252295246542699,0.00708036313757909,0.280637991979797
