param,variant_id,is_canonical,corr_vs_canonical,rmse_abs,median_rel_dev,worst_rel_dev,median_abs_dev,worst_abs_dev,n_overlap
I_peak,max_sample,YES,1,0,0,0,0,0,16
I_peak,max_parabolic_local,NO,0.985389236669281,1.63806038847958,0.0471755961986959,0.0814612599254787,1.62663729786596,2.85114409739175,16
width,fwhm_linear,YES,1,0,0,0,0,0,15
width,fwhm_nearest,NO,0.752354777236323,8.14248851366259,0.513347284874248,0.714435062096628,7.21370259226066,12.5091523375039,13
width,fwhm_fine_interp,NO,0.998306397502809,0.257774963086342,0.0125515708959144,0.0735472636759689,0.220502984545995,0.562302649371276,15
S_peak,max_sample,YES,1,0,0,0,0,0,16
S_peak,max_parabolic_local,NO,0.999747045281859,0.00561277301454323,0.0228635401633224,0.103263012859226,0.00370446398650314,0.0152742195520507,16
kappa1,kappa_canonical,YES,1,0,0,0,0,0,15
kappa1,kappa_ip_max_parabolic_local,NO,0.735743331175725,0.150072176594284,0.371413976923601,59.8520997554896,0.115318791908201,0.279652454631295,14
kappa1,kappa_w_fwhm_nearest,NO,0.674118974051107,0.194692571581377,0.544080318630137,5.5067412025551,0.170962881170882,0.346056298851044,8
kappa1,kappa_w_fwhm_fine_interp,NO,0.998826038421645,0.0229559935815099,0.0147588881854702,16.0818540714274,0.00139911832938466,0.0652616784142662,15
kappa1,kappa_sp_max_parabolic_local,NO,0.999546462298493,0.0225030486178357,0.0241442809519542,0.0935978199718751,0.00209186297649863,0.0830534070471042,15
collapse,kappa_canonical,YES,1,0,0,0,0,0,15
collapse,kappa_ip_max_parabolic_local,NO,1,0,0,0,0,0,15
collapse,kappa_w_fwhm_nearest,NO,1,0,0,0,0,0,15
collapse,kappa_w_fwhm_fine_interp,NO,1,0,0,0,0,0,15
collapse,kappa_sp_max_parabolic_local,NO,1,0,0,0,0,0,15
