T_K,logt,M,R_relax,C
3,0.318512009615164,5.0436228675634e-05,4.51010034801567e-06,1.52585801972933e-06
3,0.327524576236345,5.03955810957793e-05,4.52385224507294e-06,2.29257401252017e-06
3,0.336537142857527,5.03546856361478e-05,4.55142430005933e-06,3.06686396895996e-06
3,0.345549709478708,5.03135410663282e-05,4.57913287674965e-06,3.08201189438724e-06
3,0.35456227609989,5.02721461559099e-05,4.6069779751102e-06,3.09715981952986e-06
3,0.363574842721072,5.02304996744822e-05,4.63495959516957e-06,3.11230774713393e-06
3,0.372587409342253,5.0188600391634e-05,4.66307773694353e-06,3.12745567437575e-06
3,0.381599975963435,5.01464470769543e-05,4.69133240040978e-06,3.14260359977469e-06
3,0.390612542584616,5.01040385000324e-05,4.7197235855574e-06,3.15775152644663e-06
3,0.399625109205798,5.00613734304575e-05,4.74825129242025e-06,3.17289945468449e-06
3,0.408637675826979,5.00184506378183e-05,4.77691552099271e-06,3.18804738070999e-06
3,0.417650242448161,4.99752688917041e-05,4.80571627124052e-06,3.20319530579611e-06
3,0.426662809069342,4.99318269617042e-05,4.83465354318099e-06,3.21834323307294e-06
3,0.435675375690524,4.98881236174076e-05,4.86372733683632e-06,3.23349116034977e-06
3,0.444687942311705,4.98441576284032e-05,4.8929376521843e-06,3.24863908579124e-06
3,0.453700508932887,4.97999277642804e-05,4.92228448921405e-06,3.26378701246324e-06
3,0.462713075554068,4.97554327946283e-05,4.95176784795865e-06,3.2789349403449e-06
3,0.47172564217525,4.97106714890357e-05,4.98138772840681e-06,3.2940828666615e-06
3,0.480738208796431,4.96656426170919e-05,5.0111441305416e-06,3.30923079206663e-06
3,0.489750775417613,4.9620344948386e-05,5.04103705436354e-06,3.32437871906847e-06
3,0.498763342038795,4.95747772525073e-05,5.07106649990089e-06,3.339526646361e-06
3,0.507775908659976,4.95289382990444e-05,5.10123246713062e-06,3.35467457178617e-06
3,0.516788475281158,4.9482826857587e-05,5.13153495604211e-06,3.36982249875013e-06
3,0.525801041902339,4.94364416977239e-05,5.1619739666737e-06,3.38497042600609e-06
