"file_path","line_number","line_text","line_kind","contains_load","contains_readtable","unsafe_occurrence","enforcement_action"
"C:\Dev\matlab-functions\analysis\relaxation_aging_canonical_comparison.m","492","lines(end + 1) = '- Legacy cross tree found: `results/cross_analysis/runs/run_legacy_cross_analysis/`; it is historical and non-canonical for this task.';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_203011_existing_results_state_map\config_snapshot.m","4","cfg.output_run = 'results/cross_experiment/runs/run_2026_03_11_203011_existing_results_state_map';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\Switching\analysis\run_alpha_observable_search.m","12","switchingMapMatPath = 'C:/Dev/matlab-functions/results/switching/runs/run_2026_03_10_112659_alignment_audit/switching_alignment_core_data.mat';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\Switching\analysis\run_alpha_physical_validity_test.m","12","clockRatioPath = 'C:/Dev/matlab-functions/results/aging/runs/run_2026_03_14_074613_aging_clock_ratio_analysis/tables/table_clock_ratio.csv';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\Switching\analysis\run_PT_kappa_relaxation_mapping.m","23","ptPath = 'C:/Dev/matlab-functions/results/switching/runs/run_2026_03_25_013356_pt_robust_canonical/tables/PT_matrix.csv';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\Switching\analysis\run_PT_kappa_relaxation_mapping.m","24","rPath = 'C:/Dev/matlab-functions/results/relaxation/runs/run_legacy_derivative_smoothing/tables/S_time_cuts_values.csv';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\Switching\analysis\run_PT_kappa_relaxation_mapping.m","25","metaPath = 'C:/Dev/matlab-functions/results/relaxation/runs/run_legacy_derivative_smoothing/tables/S_time_cuts_meta.csv';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\Switching\analysis\run_PT_to_relaxation_mapping.m","20","ptPath = 'C:/Dev/matlab-functions/results/switching/runs/run_2026_03_25_013356_pt_robust_canonical/tables/PT_matrix.csv';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\Switching\analysis\run_PT_to_relaxation_mapping.m","21","rPath = 'C:/Dev/matlab-functions/results/relaxation/runs/run_legacy_derivative_smoothing/tables/S_time_cuts_values.csv';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\Switching\analysis\run_PT_to_relaxation_mapping.m","22","metaPath = 'C:/Dev/matlab-functions/results/relaxation/runs/run_legacy_derivative_smoothing/tables/S_time_cuts_meta.csv';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\Switching\analysis\run_relaxation_outlier_audit.m","13","inSwitchingPath = 'C:/Dev/matlab-functions/results/switching/runs/run_2026_03_12_234016_switching_full_scaling_collapse/tables/switching_full_scaling_parameters.csv';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\tools\figure_repair\run_validation_suite.m","39","source_fig = 'results/aging/runs/run_2026_03_10_112842_geometry_visualization/figures/aging_map_heatmap.fig';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\tools\figure_repair\run_validation_suite.m","99","run_dir = 'results/aging/runs/run_2026_03_10_112842_geometry_visualization';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\tools\figure_repair\run_validation_suite.m","115","case_defs(1).source = 'results/aging/runs/run_2026_03_10_112842_geometry_visualization/figures/aging_map_heatmap.fig';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\tools\figure_repair\run_validation_suite.m","117","case_defs(2).source = 'results/aging/runs/run_2026_03_10_112842_geometry_visualization/figures/aging_temperature_slices.fig';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\tools\figure_repair\run_validation_suite.m","119","case_defs(3).source = 'results/cross_experiment/runs/run_2026_03_10_233449_simple_switching_vs_relaxation_search/figures/candidate_overview_normalized.fig';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\tools\figure_repair\run_validation_suite.m","121","case_defs(4).source = 'results/switching/runs/run_2026_03_09_230048_XI_Xshape_analysis/XI_Xshape_analysis/figures/mode_space_geometry.fig';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\tools\figure_repair\run_validation_suite.m","123","case_defs(5).source = 'results/relaxation/runs/run_2026_03_10_143118_geometry_observables/figures/singular_value_spectrum.fig';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\tools\figure_repair\run_validation_suite.m","155","line_fig = 'results/aging/runs/run_2026_03_10_112842_geometry_visualization/figures/aging_temperature_slices.fig';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\tools\figure_repair\run_validation_suite.m","156","image_fig = 'results/aging/runs/run_2026_03_10_112842_geometry_visualization/figures/aging_map_heatmap.fig';","code","NO","NO","YES","GUARD_REQUIRED"
"C:\Dev\matlab-functions\tools\figure_repair\run_validation_suite.m","271","source_dir = 'results/aging/runs/run_2026_03_10_112842_geometry_visualization';","code","NO","NO","YES","GUARD_REQUIRED"
