PARAM,METHOD,CLASS,INCLUDED,WHY_EQUIVALENT,EXCLUDED_REASON
I_peak,max_sample,allowed,YES,Direct maximum of S(I) at each T.,""
I_peak,max_parabolic_local,allowed,YES,Local three-point quadratic refinement around the same peak maximum.,""
width,fwhm_linear,allowed,YES,FWHM from half-max crossings with linear interpolation.,""
width,fwhm_nearest,allowed,YES,Same FWHM definition with nearest-grid half-max crossings.,""
width,fwhm_fine_interp,allowed,YES,Same FWHM definition with dense-grid interpolation for half-max crossings.,""
S_peak,max_sample,allowed,YES,Direct maximum of S(I) at each T.,""
S_peak,max_parabolic_local,allowed,YES,Local quadratic refinement of the same peak height observable.,""
I_peak,dsdi_peak,excluded,NO,,"Derivative peak is a different observable from S(I) peak location."
I_peak,com,excluded,NO,,"Center of mass redefines peak location as a moment of the profile."
I_peak,halfmax_mid,excluded,NO,,"Half-max midpoint tracks threshold center, not direct peak location."
width,rms,excluded,NO,,"RMS is a moment-based scale, not half-max width."
width,iqr,excluded,NO,,"IQR is quantile spread, not half-max width."
width,asymmetric,excluded,NO,,"Asymmetric left/right scaling changes width definition."
S_peak,local_avg,excluded,NO,,"Local average is not the direct peak height observable."
S_peak,local_median,excluded,NO,,"Local median is not the direct peak height observable."
collapse,variant_specific_x_scaling,excluded,NO,,"Variant-specific collapse coordinates violate fixed-coordinate requirement."
