"T_K","central_ridge_excess","kappa1","alignment_corr_M2","reconstruction_rmse_M2","kappa1_pred_from_global_fit","fit_residual","abs_fit_residual","fit_residual_z","reconstruction_rmse_z","flag_gt_1p5sigma","flag_top20_error","significant_deviation"
"4","0.0054661305056565","0.179667568207135","0.985244024127904","0.0149085544659036","0.179667568207135","-2.77555756156289E-17","2.77555756156289E-17","-1.35340405793367","1.06692131405893","False","True","True"
"6","0.00580678907924918","0.190864757414925","0.995520339664292","0.00924055133468666","0.190864757414925","-2.77555756156289E-17","2.77555756156289E-17","-1.35340405793367","0.0562747095736133","False","False","False"
"8","0.00599080959104869","0.196913372211267","0.997892161642727","0.00440966125670919","0.196913372211267","-2.77555756156289E-17","2.77555756156289E-17","-1.35340405793367","-0.80510848675174","False","False","False"
"10","0.00538730731287298","0.177076709582175","0.994058969041636","0.00611802706306922","0.177076709582175","-2.77555756156289E-17","2.77555756156289E-17","-1.35340405793367","-0.500494311098331","False","False","False"
"12","0.00464459264977775","0.152664241337589","0.998056548557691","0.00473391889963247","0.152664241337589","0","0","1.80453874391155","-0.747290966504805","False","False","False"
"14","0.00378595156436055","0.124441359425055","0.996319233428493","0.00471409846873553","0.124441359425055","-1.38777878078145E-17","1.38777878078145E-17","0.225567342988944","-0.750825094966221","False","False","False"
"16","0.00325857422455193","0.107106865842637","0.993587112582395","0.00557503413491807","0.107106865842637","-1.38777878078145E-17","1.38777878078145E-17","0.225567342988944","-0.597313939879601","False","False","False"
"18","0.00298145681359022","0.0979982265074026","0.993767214531863","0.00595882517200729","0.0979982265074026","-1.38777878078145E-17","1.38777878078145E-17","0.225567342988944","-0.528881178025632","False","False","False"
"20","0.00273221679666004","0.0898058959921666","0.997519798317795","0.0048077332842346","0.0898058959921666","-1.38777878078145E-17","1.38777878078145E-17","0.225567342988944","-0.73412931937207","False","False","False"
"22","0.00116578820832396","0.0383185751268415","0.750012206898077","0.00945159432051751","0.0383185751268415","-1.38777878078145E-17","1.38777878078145E-17","0.225567342988944","0.0939052246055623","False","False","False"
"24","0.00212763589922327","0.0699337799651995","0.96197784256403","0.0118172307484824","0.0699337799651995","-1.38777878078145E-17","1.38777878078145E-17","0.225567342988944","0.515715581449205","False","True","True"
"26","0.00194754937949932","0.0640144725077201","0.895695377502486","0.0100856680466385","0.0640144725077201","-1.38777878078145E-17","1.38777878078145E-17","0.225567342988944","0.206965228889636","False","False","False"
"28","0.00185972307195356","0.0611276883218999","0.968183997476023","0.00802760781249073","0.0611276883218999","-6.93889390390723E-18","6.93889390390723E-18","1.01505304345025","-0.160002032651225","False","False","False"
"30","0.00146376741779234","0.0481129259726667","0.803351191638867","0.0251007421751022","0.0481129259726667","-6.93889390390723E-18","6.93889390390723E-18","1.01505304345025","2.88426327067267","True","True","True"
