analysis_component,old_definition,new_definition,same_or_different,likely_impact
input_dataset,"Mixed historical sources (legacy mode23/mechanism + rank2 summary from run_2026_03_25_043610)","Single canonical residual-mode run (run_phi2_kappa2_canonical_residual_mode) with fixed source IDs",DIFFERENT,"Historical verdicts blend multiple pipelines and summaries, increasing criterion drift."
included_temperatures,"Primary old rank2 decision subset explicitly no_22K (22 K excluded)","Uses all canonical temperatures 4..30 K including 22 K",DIFFERENT,"22 K is a boundary-anomaly row; inclusion/exclusion shifts stability/correlation narratives."
canonical_observable,"Residual-structure plus mode-proxy correlation summaries (mode2 proxy vs I_peak/kappa)","Direct SVD mode-2 explained variance and reconstruction ratio on canonical M(x,T)",DIFFERENT,"Old pipeline weighted descriptor linkage; new pipeline weights spectral energy threshold."
residual_definition,"deltaS = S - S_CDF from switching_residual_decomposition_analysis","Same (deltaS = S - S_CDF from switching_residual_decomposition_analysis)",SAME,"No direct evidence of residual-construction contradiction."
backbone_cdf_construction,"PT_matrix_reconstruction (with fallback when PT missing)","Same PT_matrix_reconstruction path via switching_residual_decomposition_analysis",SAME,"Backbone definition is aligned across old/new canonical runs."
x_grid_definition,"Common aligned x-grid, nXGrid=220 (canonical overlap)","Same nXGrid=220 aligned common x-grid",SAME,"Grid mismatch is not the main discrepancy source."
sign_convention_for_modes,"Mode-1 sign fixed by positive median kappa; mode-2 sign handling varied by script/report","Mode-1 sign fixed by corr(kappa1,Speak)>0; mode-2 sign fixed by max corr with dPhi1/dx or x*Phi1",DIFFERENT,"Mode-2 interpretive signs and correlations can shift between pipelines."
svd_matrix_definition,"Often SVD on R(T,x) (rows=temperature, cols=x)","SVD on M(x,T)=R' (rows=x, cols=temperature)",DIFFERENT,"Equivalent singular values but different left/right vectors; easy to mislabel stability quantities."
normalization_phi1_phi2,"Mixed: max-abs normalization in decomposition, unit-L2 normalization in deformation closure tests","No unit-L2 closure test in final verdict; uses raw correlations and explained variance",DIFFERENT,"Strict closure RMSE criteria and correlation-only criteria can diverge strongly."
definition_kappa1_kappa2,"Mixed per script: projection coefficients, LSQ coefficients, or U*S components","Fixed: kappa1=s1*V1, kappa2=s2*V2 from canonical SVD after sign alignment",DIFFERENT,"Coefficient semantics changed between historical summaries."
rank2_significance_criterion,"Legacy evidence emphasized RMSE gain + strong mode2-descriptor correlations; no explicit 5% variance floor in rank2_report","MODE2_SIGNIFICANT requires mode2 explained variance >= 0.05",DIFFERENT,"Primary verdict flip driver: same matrix has mode2 variance ~0.025 (<0.05) despite strong RMSE gain."
physical_mode_criterion,"Legacy narrative: MODE2_REAL + linkage/stability summaries","SECOND_MODE_PHYSICAL requires (mode2 significant) AND (rank2 improves) AND (phi2 is deformation)",DIFFERENT,"New criterion blocks physical-mode claim when significance threshold fails."
deformation_test_basis,"Old tests used explicit basis spans {dPhi1/dx, x*Phi1} and higher-order extensions {d2Phi1/dx2, x*dPhi1/dx, x^2*Phi1}","New final verdict uses bestDefCorr=max(|corr(phi2,dPhi1/dx)|,|corr(phi2,x*Phi1)|)",DIFFERENT,"Old strict basis-closure can fail while new correlation-only deformation flag passes."
deformation_pass_threshold,"Strict closure thresholds (e.g., cosine>=0.90 and rmse_unit<=0.02)","PHI2_IS_DEFORMATION if bestDefCorr>=0.70",DIFFERENT,"Much softer threshold in new verdict favors deformation=YES."
use_of_corr_rmse_explained_variance,"Old verdicts blend correlation strength, RMSE gains, and ad hoc stability summaries","New verdict hard-gates significance by explained variance, then uses RMSE/correlation as secondary gates",DIFFERENT,"Metric-priority change explains conflicting conclusions on same data."
stability_quantity_labeled_as_mode2,"Legacy rank2 table reports mode2_stability values matching mode-1 LOO from residual_mode_stability.csv","New run does not use that legacy stability field for significance/physicality",DIFFERENT,"Labeling mismatch inflated confidence in old mode-2 stability claims."
