"file_path","line_number","run_id","pipeline_status","classification"
"Switching/analysis/run_alpha_observable_search.m","94","run_2026_03_10_112659_alignment_audit","UNKNOWN","UNKNOWN"
"tools/tau_vs_barrier_minimal_probe.m","38","run_2026_03_12_223709_aging_timescale_extraction","UNKNOWN","UNKNOWN"
"Switching/analysis/run_alpha_physical_validity_test.m","132","run_2026_03_14_074613_aging_clock_ratio_analysis","UNKNOWN","UNKNOWN"
"Switching/analysis/run_width_interaction_closure_test.m","28","run_2026_03_24_220314_residual_decomposition","UNKNOWN","UNKNOWN"
"Switching/analysis/run_width_interaction_closure_test.m","38","run_2026_03_24_220314_residual_decomposition","UNKNOWN","UNKNOWN"
"Switching/analysis/run_PT_kappa_relaxation_mapping.m","50","run_2026_03_25_013356_pt_robust_canonical","UNKNOWN","UNKNOWN"
"Switching/analysis/run_PT_to_relaxation_mapping.m","44","run_2026_03_25_013356_pt_robust_canonical","UNKNOWN","UNKNOWN"
"tools/tau_vs_barrier_minimal_probe.m","39","run_2026_03_25_013356_pt_robust_canonical","UNKNOWN","UNKNOWN"
"tools/build_kappa2_phen_inputs.m","43","run_2026_03_25_043610_kappa_phi_temperature_structure_test","UNKNOWN","UNKNOWN"
"Switching/analysis/run_PT_kappa_relaxation_mapping.m","51","run_legacy_derivative_smoothing","NON_CANONICAL","VIOLATION"
"Switching/analysis/run_PT_kappa_relaxation_mapping.m","52","run_legacy_derivative_smoothing","NON_CANONICAL","VIOLATION"
"Switching/analysis/run_PT_to_relaxation_mapping.m","45","run_legacy_derivative_smoothing","NON_CANONICAL","VIOLATION"
"Switching/analysis/run_PT_to_relaxation_mapping.m","46","run_legacy_derivative_smoothing","NON_CANONICAL","VIOLATION"
"Aging/analysis/aging_observable_mode_correlation.m","37","run_legacy_svd_pca","NON_CANONICAL","VIOLATION"
