"run_dir","manifest_exists","manifest_valid","required_outputs_defined","required_outputs_missing_count","run_status","invalid_reason"
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_014130_MG119_3sec","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_124648_geometry_visualization","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_130918_geometry_visualization","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_140848_geometry_visualization","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_141328_geometry_visualization","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_112842_geometry_visualization","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_145239_geometry_visualization","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_150549_geometry_visualization","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_171522_observable_mode_correlation","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_215702_tp_27_structured_export","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220156_tp_27_structured_export","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222534_MG119_3sec","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222604_MG119_36sec","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222613_MG119_6min","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222624_MG119_60min","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_224229_tp_10_structured_export","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225135_tp_14_structured_export","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225902_tp_18_structured_export","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_231114_tp_22_structured_export","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_231719_tp_26_structured_export","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_232934_tp_34_structured_export","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_235137_tp_sweep_summary","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_011643_observable_identification_audit","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_030129_aging_shape_collapse_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_030129_aging_shape_collapse_analysis_01","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_082451_aging_shape_collapse_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_211204_aging_dataset_build","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_213819_aging_log_time_scaling_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_213923_aging_component_clock_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_213929_aging_timescale_extraction","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_214012_aging_log_time_scaling_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_214126_aging_timescale_extraction","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_214127_aging_component_clock_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_222238_aging_time_rescaling_collapse","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223427_aging_timescale_extraction","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223709_aging_timescale_extraction","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223712_aging_log_time_scaling_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223741_aging_component_clock_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_224309_aging_time_rescaling_collapse","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_224808_aging_timescale_extraction","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225058_aging_component_clock_test","YES","MISSING","NO","0","VALID",""
