"file_path","line_number","loader_type","run_dir","explicit_run_id","pipeline_status","classification"
"Aging/analysis/aging_fm_timescale_analysis.m","162","readtable","tauPath","NO","UNKNOWN","UNKNOWN"
"Aging/analysis/aging_observable_identification_audit.m","169","readtable","fullfile(runPath, 'tables', 'DeltaM_map.csv')","NO","UNKNOWN","UNKNOWN"
"Aging/analysis/aging_observable_identification_audit.m","168","readtable","fullfile(runPath, 'tables', 'observable_mode_correlations.csv')","NO","UNKNOWN","UNKNOWN"
"Aging/analysis/aging_observable_identification_audit.m","171","readtable","fullfile(runPath, 'tables', 'tw_axis.csv')","NO","UNKNOWN","UNKNOWN"
"Aging/analysis/aging_observable_identification_audit.m","170","readtable","fullfile(runPath, 'tables', 'T_axis.csv')","NO","UNKNOWN","UNKNOWN"
"Aging/analysis/aging_observable_identification_audit.m","167","readtable","fullfile(runPath, 'tables', 'svd_mode_coefficients.csv')","NO","UNKNOWN","UNKNOWN"
"Aging/analysis/aging_observable_identification_audit.m","164","readtable","fullfile(runPath, 'observables.csv')","NO","UNKNOWN","UNKNOWN"
"Aging/analysis/aging_observable_identification_audit.m","109","readtable","fullfile(runPath, 'observables.csv'))","NO","UNKNOWN","UNKNOWN"
"Aging/analysis/aging_observable_identification_audit.m","166","readtable","fullfile(runPath, 'tables', 'svd_singular_values.csv')","NO","UNKNOWN","UNKNOWN"
"Aging/analysis/aging_observable_identification_audit.m","165","readtable","fullfile(runPath, 'tables', 'observable_matrix.csv')","NO","UNKNOWN","UNKNOWN"
"Aging/analysis/aging_observable_mode_correlation.m","40","readtable","fullfile(repoRoot, 'results', 'aging', 'runs', ...","NO","UNKNOWN","UNKNOWN"
"Aging/analysis/aging_observable_mode_correlation.m","38","readtable","fullfile(repoRoot, 'results', 'aging', 'runs', ...","NO","UNKNOWN","UNKNOWN"
"Aging/analysis/aging_observable_mode_correlation.m","37","readtable","fullfile(repoRoot, 'results', 'aging', 'runs', 'run_legacy_svd_pca', ...","YES","NON_CANONICAL","VIOLATION"
"Aging/analysis/aging_shape_collapse_analysis.m","129","readtable","fullfile(runDir, 'tables', 'DeltaM_map.csv')","NO","CANONICAL","SAFE"
"Aging/analysis/aging_shape_collapse_analysis.m","130","readtable","fullfile(runDir, 'tables', 'svd_singular_values.csv')","NO","CANONICAL","SAFE"
"Aging/analysis/aging_shape_collapse_analysis.m","127","readtable","fullfile(runDir, 'tables', 'T_axis.csv')","NO","CANONICAL","SAFE"
"Aging/analysis/aging_shape_collapse_analysis.m","128","readtable","fullfile(runDir, 'tables', 'tw_axis.csv')","NO","CANONICAL","SAFE"
"Aging/analysis/aging_tri_clock_consistency_test.m","197","readtable","fullfile(runDir, 'tables', 'DeltaM_map.csv')","NO","CANONICAL","SAFE"
"Aging/analysis/aging_tri_clock_consistency_test.m","196","readtable","fullfile(runDir, 'tables', 'tw_axis.csv')","NO","CANONICAL","SAFE"
"Aging/analysis/aging_tri_clock_consistency_test.m","195","readtable","fullfile(runDir, 'tables', 'T_axis.csv')","NO","CANONICAL","SAFE"
"Aging/analysis/aging_tri_cross_temperature_test.m","237","readtable","fullfile(runDir, 'tables', 'DeltaM_map.csv')","NO","CANONICAL","SAFE"
"Aging/analysis/aging_tri_cross_temperature_test.m","236","readtable","fullfile(runDir, 'tables', 'tw_axis.csv')","NO","CANONICAL","SAFE"
"Aging/analysis/aging_tri_cross_temperature_test.m","235","readtable","fullfile(runDir, 'tables', 'T_axis.csv')","NO","CANONICAL","SAFE"
"Aging/analysis/aging_tri_scaling_test.m","210","readtable","fullfile(runDir, 'tables', 'DeltaM_map.csv')","NO","CANONICAL","SAFE"
"Aging/analysis/aging_tri_scaling_test.m","209","readtable","fullfile(runDir, 'tables', 'tw_axis.csv')","NO","CANONICAL","SAFE"
"Aging/analysis/aging_tri_scaling_test.m","208","readtable","fullfile(runDir, 'tables', 'T_axis.csv')","NO","CANONICAL","SAFE"
"Aging/diagnostics/tri_collapse_diagnostics.m","130","readtable","fullfile(runDir, 'tables', 'DeltaM_map.csv')","NO","CANONICAL","SAFE"
"Aging/diagnostics/tri_collapse_diagnostics.m","131","readtable","fullfile(runDir, 'tables', 'svd_singular_values.csv')","NO","CANONICAL","SAFE"
"Aging/diagnostics/tri_collapse_diagnostics.m","128","readtable","fullfile(runDir, 'tables', 'T_axis.csv')","NO","CANONICAL","SAFE"
"Aging/diagnostics/tri_collapse_diagnostics.m","129","readtable","fullfile(runDir, 'tables', 'tw_axis.csv')","NO","CANONICAL","SAFE"
"Aging/pipeline/runPhaseC_leaveOneOut.m","12","load","fullfile(pwd, 'results', 'baseline_resultsLOO.mat')","NO","UNKNOWN","UNKNOWN"
"analysis/activation_coordinate_test.m","133","readtable","fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv')","NO","CANONICAL","SAFE"
"analysis/activation_coordinate_test.m","125","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/aging_fm_switching_sector_link.m","159","readtable","fullfile(source.switchRunDir, 'observable_matrix.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/aging_fm_switching_sector_link.m","160","readtable","fullfile(source.switchMotionRunDir, 'tables', 'relaxation_switching_motion_table.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/aging_fm_switching_sector_link.m","161","readtable","fullfile(source.switchFullScalingRunDir, 'tables', 'switching_full_scaling_parameters.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/aging_fm_switching_sector_link.m","148","readtable","fullfile(source.agingDatasetRunDir, 'tables', 'aging_observable_dataset.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/aging_fm_switching_sector_link.m","149","readtable","fullfile(source.fmTauRunDir, 'tables', 'tau_FM_vs_Tp.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/aging_fm_switching_sector_link.m","150","readtable","fullfile(source.dipTauRunDir, 'tables', 'tau_vs_Tp.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/aging_timescale_bridge.m","187","readtable","fullfile(source.dipTauRunDir, 'tables', 'tau_vs_Tp.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/aging_timescale_bridge.m","188","readtable","fullfile(source.fmTauRunDir, 'tables', 'tau_FM_vs_Tp.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/aging_timescale_bridge.m","185","readtable","fullfile(source.relaxRunDir, 'tables', 'temperature_observables.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/aging_timescale_bridge.m","186","readtable","fullfile(source.switchCompositeRunDir, 'tables', 'composite_observables_table.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/ax_functional_relation_analysis.m","164","readtable","fullfile(runDir, 'tables', 'switching_geometry_observables.csv')","NO","CANONICAL","SAFE"
"analysis/ax_functional_relation_analysis.m","156","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/barrier_landscape_interpretation_review.m","162","readtable","fullfile(source.coordinateRunDir, 'tables', 'coordinates_relaxation.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/barrier_landscape_interpretation_review.m","152","readtable","fullfile(source.stabilityRunDir, 'tables', 'observables_relaxation.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/barrier_landscape_interpretation_review.m","172","readtable","fullfile(barrierRunDir, 'tables', 'barrier_energy_axis.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/barrier_landscape_interpretation_review.m","174","readtable","fullfile(barrierRunDir, 'tables', 'barrier_distribution_tau0_scan.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/barrier_landscape_interpretation_review.m","173","readtable","fullfile(barrierRunDir, 'tables', 'effective_barrier_distribution.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/barrier_landscape_interpretation_review.m","126","readtable","fullfile(source.timeModeRunDir, 'tables', 'collapse_metrics.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/barrier_landscape_interpretation_review.m","120","readtable","fullfile(source.svdRunDir, 'tables', 'reconstruction_error_summary.csv')","NO","UNKNOWN","UNKNOWN"
