"script_path","ENTRY_SIGNAL","EXECUTION_STATUS","RUN_CONTEXT","ROOT_DEPENDENCY","CLASSIFICATION"
"Switching/analysis/analyze_phi_kappa_canonical_space.m","NO","YES","YES","YES","NON_CANONICAL"
"Switching/analysis/debug_fix_o2_pipeline.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/find_relaxation_time_series.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/inspect_relaxation_data_structure.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/locate_relaxation_raw_runs.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_aging_collapse_kappa1_kappa2.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_aging_kappa_comparison.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_aging_nonlinear_law_test.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_alpha_observable_search.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_alpha_physical_validity_test.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_build_relaxation_dataset.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_build_relaxation_dataset_from_pipeline.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_extract_tau_from_relaxation.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_kappa2_kww_shape_test.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_kappa2_opening_test.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_kappa2_physical_necessity.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_minimal_canonical.m","NO","YES","YES","YES","NON_CANONICAL"
"Switching/analysis/run_phi1_observable_phi2_driver_test.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_phi1_phi2_observable_closure_fixed.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_phi1_phi2_observable_closure_test.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_phi2_deformation_structure_test.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/run_phi2_extended_deformation_basis_test.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/run_phi2_second_order_deformation_test.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/run_phi2_shape_physics_test.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/run_PT_kappa_relaxation_mapping.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_PT_to_relaxation_mapping.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_relaxation_deep_search.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_relaxation_extraction_from_known_runs.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_relaxation_outlier_audit.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_relaxation_outlier_audit_no_toolbox.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_switching_canonical.m","YES","YES","YES","YES","NON_CANONICAL"
"Switching/analysis/run_trajectory_geometry_aging_test.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_validate_relaxation_dataset.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_width_decomposition_test.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_width_interaction_closure_test.m","NO","NO","NO","YES","NON_CANONICAL"
"Switching/analysis/run_width_interaction_closure_test_v2.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/switching_alignment_audit.m","NO","NO","YES","YES","NON_CANONICAL"
"Switching/analysis/switching_energy_scale_collapse_filtered.m","NO","NO","YES","NO","NON_CANONICAL"
"Switching/analysis/switching_full_scaling_collapse.m","NO","NO","YES","NO","NON_CANONICAL"
"Switching/analysis/switching_full_scaling_collapse_figure_repair.m","NO","NO","YES","NO","NON_CANONICAL"
"Switching/analysis/switching_geometry_diagnostics.m","NO","NO","YES","NO","NON_CANONICAL"
"Switching/analysis/switching_mechanism_followup.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/switching_mechanism_survey.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/switching_mode23_analysis.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/switching_observable_basis_test.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/switching_observable_stability_survey.m","NO","NO","YES","NO","NON_CANONICAL"
"Switching/analysis/switching_second_coordinate_duel.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/switching_second_structural_observable_search.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/switching_shape_rank_analysis.m","NO","NO","NO","NO","NON_CANONICAL"
"Switching/analysis/switching_XI_Xshape_analysis.m","NO","NO","NO","NO","NON_CANONICAL"
