T_K,alpha,spread90_50,asymmetry,alpha_geom,alpha_res,PT_geometry_valid
4,-0.365489083964439,10.7122710022057,5.29991689811793,-0.572379897208215,0.206890813243776,1
6,-0.322826383381165,10.4147583748364,5.18219300219786,-0.572831249001629,0.250004865620464,1
8,-0.252873820606648,10.3972726204107,5.84969272940016,0.0674226152233031,-0.320296435829951,1
10,-0.142556918673,10.5657782713878,6.44540026768484,0.569930186356701,-0.712487105029701,1
12,0.315507089215186,10.5066975999028,6.16890869579565,0.329539178325306,-0.0140320891101201,1
14,0.480464779904895,10.6588524255782,6.19495309131303,0.29733694702224,0.183127832882655,1
16,0.706471460120773,10.5972134710251,6.23844772573496,0.361691967106506,0.344779493014267,1
18,0.856656351459244,10.5323657232522,6.555492846607,0.686951207378642,0.169705144080602,1
20,0.507430636294838,10.2574988028397,7.03914401276717,1.24896114283699,-0.741530506542153,1
22,2.71697214858441,8.33513069803241,6.83391146322352,1.77336570729602,0.943606441288392,1
24,2.32146130117818,7.00006707021521,7.00006707021521,2.43062089385841,-0.109159592680226,1
26,0.216654507664813,3.5,3.5,0.417263368602808,-0.200608860937995,1
28,0.969404060602713,NaN,NaN,NaN,NaN,0
30,-7.4599439875785,NaN,NaN,NaN,NaN,0
