"file_path","line_number","loader_type","code","run_dependency","reason"
"C:\Dev\matlab-functions\Aging\analysis\aging_fm_timescale_analysis.m","162","readtable","tauTbl = readtable(tauPath, 'TextType', 'string', 'VariableNamingRule', 'preserve');","YES","prev_assign"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","169","readtable","mapTbl = readtable(fullfile(runPath, 'tables', 'DeltaM_map.csv'));","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","168","readtable","corrTbl = readtable(fullfile(runPath, 'tables', 'observable_mode_correlations.csv'), 'TextType', 'string');","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","171","readtable","twTbl = readtable(fullfile(runPath, 'tables', 'tw_axis.csv'), 'TextType', 'string');","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","170","readtable","taxisTbl = readtable(fullfile(runPath, 'tables', 'T_axis.csv'));","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","167","readtable","coeffTbl = readtable(fullfile(runPath, 'tables', 'svd_mode_coefficients.csv'), 'TextType', 'string');","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","164","readtable","obsTbl = readtable(fullfile(runPath, 'observables.csv'), 'TextType', 'string');","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","109","readtable","nPoints = height(readtable(fullfile(runPath, 'observables.csv')));","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","166","readtable","svdTbl = readtable(fullfile(runPath, 'tables', 'svd_singular_values.csv'));","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","165","readtable","obsMatTbl = readtable(fullfile(runPath, 'tables', 'observable_matrix.csv'), 'TextType', 'string');","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_mode_correlation.m","40","readtable","fmAux = readtable(fmAuxPath);","YES","prev_assign"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_mode_correlation.m","38","readtable","decompRaw = readtable(decompPath);","YES","prev_assign"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_mode_correlation.m","37","readtable","svdTbl = readtable(svdPath);","YES","prev_assign"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","129","readtable","mapTbl = readtable(fullfile(runDir, 'tables', 'DeltaM_map.csv'));","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","130","readtable","sTbl = readtable(fullfile(runDir, 'tables', 'svd_singular_values.csv'));","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","127","readtable","Ttbl = readtable(fullfile(runDir, 'tables', 'T_axis.csv'));","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","128","readtable","twTbl = readtable(fullfile(runDir, 'tables', 'tw_axis.csv'));","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","197","readtable","mapTbl = readtable(fullfile(runDir, 'tables', 'DeltaM_map.csv'), 'TextType', 'string', 'VariableNamingRule', 'preserve');","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","196","readtable","twTbl = readtable(fullfile(runDir, 'tables', 'tw_axis.csv'), 'TextType', 'string', 'VariableNamingRule', 'preserve');","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","195","readtable","tTbl = readtable(fullfile(runDir, 'tables', 'T_axis.csv'), 'TextType', 'string', 'VariableNamingRule', 'preserve');","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","237","readtable","mapTbl = readtable(fullfile(runDir, 'tables', 'DeltaM_map.csv'));","YES","arg_expr"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","236","readtable","twTbl = readtable(fullfile(runDir, 'tables', 'tw_axis.csv'));","YES","arg_expr"
