"run_name","run_path","req1_execution_status_success","execution_status_value","req2_run_manifest_exists","req3_script_path_valid","script_path","script_path_resolved","req4_config_snapshot_exists","req5_at_least_one_csv","req6_report_md_exists","req7_figures_or_manifest","classification"
"run_2026_03_25_011228_pt_robust_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_25_011228_pt_robust_canonical","NO","","YES","NO","","","YES","YES","NO","YES","NOT_CANONICAL"
"run_2026_03_25_012425_pt_robust_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_25_012425_pt_robust_canonical","NO","","YES","NO","","","YES","YES","NO","YES","NOT_CANONICAL"
"run_2026_03_25_013356_pt_robust_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_25_013356_pt_robust_canonical","NO","","YES","NO","","","YES","YES","NO","YES","NOT_CANONICAL"
"run_2026_03_27_233605_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_27_233605_minimal_canonical","NO","","YES","YES","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_27_235002_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_27_235002_minimal_canonical","NO","","YES","YES","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_020912_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_020912_minimal_canonical","NO","","YES","YES","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_021000_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_021000_minimal_canonical","NO","","YES","YES","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_021547_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_021547_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_021653_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_021653_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_021711_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_021711_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
