target,predictor_set,n_predictors,baseline_rmse,pearson_r,spearman_r,loocv_rmse,rmse_improvement_abs,rmse_improvement_ratio,n_valid_points
kappa1,antisymmetric_integral+local_curvature_window,2,0.0581088349473009,0.993556155475179,0.995604395604396,0.0061273377468076,0.0519814972004933,0.894554111223113,14
kappa1,antisymmetric_integral+slope_difference,2,0.0581088349473009,0.99141973727593,0.995604395604396,0.0070663996927593,0.0510424352545416,0.878393712433439,14
kappa1,local_curvature_window,1,0.0581088349473009,0.975041552548948,0.96043956043956,0.01199270558438,0.0461161293629209,0.793616485423322,14
kappa1,slope_difference+local_curvature_window,2,0.0581088349473009,0.971584154464706,0.96043956043956,0.0127886696337833,0.0453201653135176,0.779918670794529,14
kappa1,slope_difference,1,0.0581088349473009,0.968860732839602,0.947252747252747,0.0133791851545908,0.0447296497927101,0.769756437782233,14
kappa1,antisymmetric_integral,1,0.0581088349473009,0.917977977320896,0.907692307692308,0.0214843661518139,0.0366244687954871,0.630273672303048,14
kappa2,local_curvature_window,1,0.129150698431865,-0.600489460716423,0.151648351648352,0.136436596369489,-0.00728589793762385,-0.0564139259492089,14
kappa2,slope_difference+local_curvature_window,2,0.129150698431865,-0.349098333637155,-0.406593406593407,0.136593654833157,-0.00744295640129161,-0.0576300127809082,14
kappa2,slope_difference,1,0.129150698431865,-0.644547233394496,0.0945054945054945,0.136936159289422,-0.00778546085755624,-0.0602819880348037,14
kappa2,antisymmetric_integral,1,0.129150698431865,-0.960907288567326,-0.92967032967033,0.152983565254913,-0.0238328668230474,-0.184535330528008,14
kappa2,antisymmetric_integral+slope_difference,2,0.129150698431865,-0.379855111823142,-0.191208791208791,0.160967205495881,-0.0318165070640159,-0.246351800263791,14
kappa2,antisymmetric_integral+local_curvature_window,2,0.129150698431865,-0.33495828246685,-0.120879120879121,0.161381593085469,-0.0322308946536042,-0.249560358905902,14
kappa2,antisymmetric_integral+slope_difference+local_curvature_window,3,0.129150698431865,-0.282607188101592,-0.0813186813186813,0.161904153300235,-0.0327534548683697,-0.253606486577764,14
