"file_path","line_number","loader_type","code"
"C:\Dev\matlab-functions\Aging\analysis\aging_clock_ratio_analysis.m","183","readtable","tauTbl = readtable(pathStr, 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\Aging\analysis\aging_clock_ratio_analysis.m","200","readtable","bridgeTbl = readtable(pathStr, 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\Aging\analysis\aging_clock_ratio_lower_support_audit.m","122","readtable","tbl = readtable(pathStr, 'Delimiter', ',', 'ReadVariableNames', true, ..."
"C:\Dev\matlab-functions\Aging\analysis\aging_clock_ratio_temperature_scaling.m","166","readtable","raw = readtable(pathStr, 'Delimiter', ',', 'ReadVariableNames', true, ..."
"C:\Dev\matlab-functions\Aging\analysis\aging_clock_ratio_temperature_support_audit.m","157","readtable","tbl = readtable(pathStr, 'Delimiter', ',', 'ReadVariableNames', true, ..."
"C:\Dev\matlab-functions\Aging\analysis\aging_fm_timescale_analysis.m","162","readtable","tauTbl = readtable(tauPath, 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\Aging\analysis\aging_fm_timescale_analysis.m","184","readtable","T = readtable(metricsPath, 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\Aging\analysis\aging_fm_using_dip_clock.m","142","readtable","tauTbl = readtable(tauPath, 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","109","readtable","nPoints = height(readtable(fullfile(runPath, 'observables.csv')));"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","164","readtable","obsTbl = readtable(fullfile(runPath, 'observables.csv'), 'TextType', 'string');"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","165","readtable","obsMatTbl = readtable(fullfile(runPath, 'tables', 'observable_matrix.csv'), 'TextType', 'string');"
