T_K,kappa1,kappa2,R,theta_rad,r,theta_unwrapped_rad,delta_theta_rad,theta_smoothed_unwrapped_rad,delta_theta_smoothed_rad,kappa_curve,ds_step,arc_length_cumulative,delta_T_K,pt_svd_score1,pt_svd_score2
6,0.190781377067108,-0.0615892619750529,9.55842193548671,-0.312264682798106,0.200476360267872,-0.312264682798106,NaN,-0.367654708129208,NaN,NaN,NaN,0,NaN,0.0702609355589249,-0.0884935054025496
8,0.19690765457114,-0.0497927909180983,5.10324271265972,-0.247681601167612,0.203105751903093,-0.247681601167612,0.0645830816304939,-0.179413041337212,0.188241666791995,0.032291540815247,0.0132924040509599,0.0132924040509599,2,0.101245224413653,-0.105364517688262
10,0.17710703759542,-0.0252478335549061,2.28094749153087,-0.141602822545212,0.178897612798611,-0.141602822545212,0.106078778622399,0.00401036265661717,0.18342340399383,0.0530393893111997,0.0315360010873302,0.0448284051382902,2,0.119368903280111,-0.119073706991652
12,0.15269503326033,0.0481763654815828,0.800786706765585,0.305622072770357,0.160114756888265,0.305622072770357,0.447224895315569,0.182615503852281,0.178605141195664,0.223612447657785,0.0773760877778555,0.122204492916146,2,0.104315641445233,-0.128293398132602
14,0.12447122604336,0.0598040402254154,0.372010793029286,0.447897653655914,0.138092756290909,0.447897653655914,0.142275580885558,0.356402382249778,0.173786878397498,0.0711377904427788,0.0305251718057253,0.152729664721871,2,0.0965961501850417,-0.131711423464545
16,0.107134927362003,0.0756877685633675,0.703870184987391,0.615056034430985,0.131173667216265,0.615056034430985,0.167158380775071,0.540197487958926,0.183795105709148,0.0835791903875353,0.0235125514966599,0.176242216218531,2,0.0965792826821712,-0.146733576605973
18,0.0980185873442758,0.0839682454095365,1.50561531730532,0.708345748482042,0.129067074430792,0.708345748482042,0.0932897140510575,0.798294489050483,0.258097001091557,0.0466448570255287,0.0123155979196609,0.188557814138192,2,0.11313440175515,-0.165783682911161
20,0.0898318457622685,0.0455834306546876,3.19806276575443,0.469574432404152,0.100735344657705,0.469574432404152,-0.23877131607789,0.851726050656376,0.053431561605893,0.119385658038945,0.0392481431598316,0.227805957298023,2,0.158638491121461,-0.17715718609271
22,0.0382966167716672,0.10405084115363,7.00173291822134,1.21812672107051,0.110874741943032,1.21812672107051,0.748552288666358,0.83235030709394,-0.0193757435624357,0.374276144333179,0.0779379106569169,0.30574386795494,2,0.277161637238284,-0.169824646763522
24,0.0699734936967039,0.162440757725133,35.1894881379254,1.1640543778117,0.176870827414919,1.1640543778117,-0.0540723432588142,0.740167258363177,-0.0921830487307638,0.0270361716294071,0.0664289612213755,0.372172829176316,2,0.44176720544801,-0.124096630449374
26,0.0640590044738315,0.013878672075776,91.9735525900868,0.21335702832405,0.0655452026678176,0.21335702832405,-0.950697349487645,0.575176904464084,-0.164990353899093,0.475348674743823,0.148679771573857,0.520852600750173,2,0.596164305680425,-0.103088030972002
