variant,T_K,I_peak,S_peak,width,kappa1,collapse_score
corrected_xy,4,35,9.84565198594918,21.3474329139844,0.393717319706907,0.146300775808311
normalized_xy_over_xx,4,35,0.349600045040287,15,-1.4107650442909,0.147040903022066
raw_xy,4,35,9.9427807338137,21.4786767478523,0.392268110073974,0.149259658870653
corrected_xy,6,35,9.64005001611488,21.0369086316155,0.3564006463699,0.124315072514942
normalized_xy_over_xx,6,35,0.341950817738385,15,-1.40059168025807,0.147040903022066
raw_xy,6,35,9.73600481687035,21.1719423573285,0.355153232878128,0.127503682110675
corrected_xy,8,35,8.78238246329651,19.9768516871403,0.160506069142911,0.0832752107767384
normalized_xy_over_xx,8,35,0.311011499245369,15,-1.42584203714677,0.147040903022066
raw_xy,8,35,8.87230136314675,20.1310794434787,0.279150582146581,0.0882876683134761
corrected_xy,10,35,7.49216134418442,18.669230424865,0.108471445657332,0.0600378361202418
normalized_xy_over_xx,10,35,0.265625424732821,15,-1.4537350113435,0.147040903022066
raw_xy,10,35,7.59923405130693,18.9040246208433,0.108288063456437,0.0666439412297939
corrected_xy,12,35,6.5531219104976,17.1542171082405,0.102412080382841,0.0530992628972642
normalized_xy_over_xx,12,35,0.232986037937288,5,1.47906471110285,0.147040903022066
raw_xy,12,35,6.69270931286583,17.5111608276071,0.102362646977076,0.0642193568493835
corrected_xy,14,35,5.41277949857041,16.083575078017,0.100493979575575,0.0525395009899958
normalized_xy_over_xx,14,35,0.192544819951381,5,1.28843464164159,0.147040903022066
raw_xy,14,35,5.55905561968387,16.5239038545392,0.100528552577634,0.0639599544489029
corrected_xy,16,35,4.52505086143364,14.656227546094,0.0652267439842015,0.0515152540086281
normalized_xy_over_xx,16,35,0.162443432649134,5,1.0871879719148,0.147040903022066
raw_xy,16,35,4.72158659527687,15.3529077193285,0.0738942789332143,0.0602592291252466
corrected_xy,18,35,3.93862179381364,13.6477021677719,0.0220307905325187,0.038419234431964
normalized_xy_over_xx,18,35,0.142095227831458,5,1.0029662117982,0.147040903022066
raw_xy,18,35,4.16601095154819,14.5164949895386,0.0221542058039023,0.0682559931983464
corrected_xy,20,35,3.20371468439291,13.7995674311868,-0.0603986444604819,0.0355293799365259
normalized_xy_over_xx,20,35,0.118297407736058,5,1.29505965169379,0.147040903022066
raw_xy,20,35,3.50475224625267,15.0630500443904,-0.00323201548165737,0.0448033835641208
corrected_xy,22,30,2.35684890887485,16.2855161647985,0.314791471847066,0.184289110202973
normalized_xy_over_xx,22,30,0.0848252860423066,10,-1.2577363361287,0.147040903022066
raw_xy,22,30,2.54155539572701,17.222036442327,0.308701042462532,0.193300362865278
corrected_xy,24,30,2.70673980882766,11.6958454013189,0.408448144675876,0.0763136928191238
normalized_xy_over_xx,24,30,0.0930645821294685,10,-1.56160668303202,0.147040903022066
raw_xy,24,30,2.83125585869324,12.5068093524968,0.417560328534629,0.128062436644122
corrected_xy,26,30,2.12967313926309,12.5813165419563,0.0924175997705655,0.154197137410364
normalized_xy_over_xx,26,30,0.0732255508855988,5,2.02912590743321,0.147040903022066
raw_xy,26,30,2.26750991418132,13.1001417210476,0.0903791699828364,0.166584967659649
corrected_xy,28,25,2.2416537463742,8.89236251385009,-0.0464606474431423,0.0614743405320583
normalized_xy_over_xx,28,25,0.0809671274875996,5,0.328437696615529,0.147040903022066
raw_xy,28,25,2.56027965105945,10.2699597967063,0.00534472839523986,0.210223324315513
corrected_xy,30,20,2.67549969674004,8.15280724086946,-0.0117114799743281,0.067781395762237
normalized_xy_over_xx,30,20,0.0879097809338481,NaN,NaN,0.147040903022066
raw_xy,30,20,2.85403240187111,8.69683373913373,-0.0117114799743281,0.292478749844793
corrected_xy,32,15,2.28340302915496,30,-0.825684000444453,0.383153796658658
normalized_xy_over_xx,32,15,0.0695147785421419,NaN,NaN,0.147040903022066
raw_xy,32,15,2.35252974122814,30,-0.801422109441809,0.346917115820248
corrected_xy,34,30,0.0707374775715412,8.85741058192277,-0.719369726451673,0.278715905566133
normalized_xy_over_xx,34,30,0.00111194952316543,NaN,NaN,0.147040903022066
raw_xy,34,30,0.0406203609071475,6.27739779775429,-0.887832058424127,0.601328718189104
