"file_path","line","loader","targets_runs_tree","has_status_guard","PARTIAL_BLOCKED","LOADER_SAFE"
"C:\Dev\matlab-functions\load.m","1","load","YES","YES","YES","YES"
"C:\Dev\matlab-functions\readtable.m","1","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\repo_state_generator.m","143","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\repo_state_validator.m","369","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_kappa1_pt_vs_speak_test.m","52","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_kappa1_pt_vs_speak_test.m","496","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_kappa2_robust_audit.m","35","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_kappa2_robust_audit.m","36","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_kappa2_robust_audit.m","341","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_kappa2_robust_audit.m","342","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_parameter_robustness_stage1b_width_kappa.m","76","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_parameter_robustness_stage1_canonical.m","141","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_rmse_structure_vs_scale_closure_wrapper.m","105","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_rmse_structure_vs_scale_closure_wrapper.m","130","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_threshold_distribution_model.m","43","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_threshold_distribution_model.m","74","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_x_vs_r_predictor_comparison_wrapper.m","26","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\run_x_vs_r_predictor_comparison_wrapper.m","27","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\svd_projection_test.m","141","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\x_necessity_and_pairing_tests.m","209","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\AC HC MagLab ver8\importOneFileACHC.m","47","readtable","NO","YES","NO","YES"
"C:\Dev\matlab-functions\Aging\importFiles_aging.m","25","readtable","NO","YES","NO","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_clock_ratio_analysis.m","183","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_clock_ratio_analysis.m","200","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_clock_ratio_lower_support_audit.m","122","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_clock_ratio_temperature_scaling.m","166","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_clock_ratio_temperature_support_audit.m","157","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_fm_timescale_analysis.m","162","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_fm_timescale_analysis.m","184","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_fm_using_dip_clock.m","142","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","109","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","164","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","165","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","166","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","167","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","168","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","169","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","170","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","171","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_mode_correlation.m","37","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_mode_correlation.m","38","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_mode_correlation.m","40","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","127","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","128","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","129","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","130","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_time_rescaling_collapse.m","36","readtable","NO","YES","NO","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","195","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","196","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","197","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","265","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","235","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","236","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","237","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","293","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","208","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","209","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","210","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","306","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\diagnostics\diagnose_FM_sign_stability.m","26","readtable","NO","YES","NO","YES"
"C:\Dev\matlab-functions\Aging\diagnostics\diagnose_FM_sign_stability.m","27","readtable","NO","YES","NO","YES"
"C:\Dev\matlab-functions\Aging\diagnostics\diagnose_mode1_separability.m","30","readtable","NO","YES","NO","YES"
"C:\Dev\matlab-functions\Aging\diagnostics\tri_collapse_diagnostics.m","128","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\diagnostics\tri_collapse_diagnostics.m","129","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\diagnostics\tri_collapse_diagnostics.m","130","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\diagnostics\tri_collapse_diagnostics.m","131","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\Aging\docs\canonical_clock_config_template.m","116","readtable","NO","YES","NO","YES"
"C:\Dev\matlab-functions\Aging\pipeline\runPhaseC_leaveOneOut.m","12","load","NO","YES","NO","YES"
"C:\Dev\matlab-functions\Aging\tests\verify_stage4_refactor.m","106","load","NO","YES","NO","YES"
"C:\Dev\matlab-functions\analysis\activation_coordinate_test.m","125","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\analysis\activation_coordinate_test.m","133","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\analysis\aging_dip_switching_shape_link.m","144","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\analysis\aging_dip_switching_shape_link.m","145","readtable","YES","YES","YES","YES"
"C:\Dev\matlab-functions\analysis\aging_dip_switching_shape_link.m","146","readtable","YES","YES","YES","YES"
