T_K,i_peak_canonical_mA,i_peak_parabolic_mA,delta_i_peak_mA,s_peak_canonical,s_peak_parabolic,half_level,median_grid_spacing_mA,max_grid_spacing_mA,peak_left_spacing_mA,peak_right_spacing_mA,peak_left_margin_mA,peak_right_margin_mA,edge_margin_over_width,width_fwhm_linear_mA,width_fwhm_nearest_mA,width_fwhm_fine_interp_mA,width_linear_with_parabolic_peak_mA,abs_dev_nearest_vs_linear_mA,rel_dev_nearest_vs_linear,abs_dev_fine_vs_linear_mA,rel_dev_fine_vs_linear,abs_dev_peak_only_vs_linear_mA,rel_dev_peak_only_vs_linear,usable_crossings_linear,usable_crossings_nearest,usable_crossings_fine_interp,left_cross_dist_linear_mA,right_cross_dist_linear_mA,left_cross_dist_nearest_mA,right_cross_dist_nearest_mA,left_cross_dist_fine_mA,right_cross_dist_fine_mA,left_bracket_gap_linear_mA,right_bracket_gap_linear_mA,left_bracket_gap_nearest_mA,right_bracket_gap_nearest_mA,left_bracket_gap_fine_mA,right_bracket_gap_fine_mA,bracket_quality_linear,bracket_quality_nearest,bracket_quality_fine_interp,halfmax_in_large_gap,one_side_underresolved,halfmax_crosses_missing40_gap,peak_near_edge,asymmetry_ratio,width_linear_augmented_with_40_mA,delta_width_if_insert40_mA
4,35,37.8511440973918,2.85114409739175,0.349600045040287,0.364874264592338,0.174800022520144,5,10,5,10,20,15,0.698515020367634,21.4741266295253,15,21.7436606523436,21.4741266295253,6.47412662952528,0.301484979632366,0.26953402281833,0.0125515708959144,0,0,2,2,2,2.14968689401035,1.37618647646437,0,0,2.13237798011001,1.12396136754639,5,5,5,5,5,5,tight|tight,tight|tight,tight|tight,0,0,0,0,1.73544842601767,21.4741266295253,0
6,35,37.4085921712416,2.40859217124159,0.341950817738385,0.352760460693686,0.170975408869192,5,10,5,10,20,15,0.708638213066437,21.1673597661233,15,21.4926010427074,21.1673597661233,6.16735976612329,0.291361786933563,0.325241276584126,0.0153652264702681,0,0,2,2,2,1.89945008952762,1.93319014434909,0,0,1.8680149390462,1.63938401824639,5,5,5,5,5,5,tight|tight,tight|tight,tight|tight,0,0,0,0,1.61307688984894,21.1673597661233,0
8,35,36.6408462502163,1.64084625021631,0.311011499245369,0.315989557127711,0.155505749622685,5,10,5,10,20,15,0.745315476701054,20.1257057835343,15,20.3586733442539,20.1257057835343,5.12570578353428,0.254684523298946,0.232967560719633,0.011575621904909,0,0,2,2,2,1.58541113080622,1.71111691434049,0,0,1.52664024439602,1.88531358864993,5,5,5,5,5,5,tight|tight,tight|tight,tight|tight,0,0,0,0,1.39176341190185,20.1257057835343,0
10,35,36.313678240432,1.313678240432,0.265625424732821,0.268586151582756,0.132812712366411,5,10,5,10,20,15,0.793741076979264,18.8978502373663,15,18.9618251757407,18.8978502373663,3.89785023736633,0.206258923020736,0.0639749383743577,0.00338530243232965,0,0,2,2,2,1.57509524637379,0.472945483740126,0,0,1.52172635031945,0.48355152606014,5,5,5,5,5,5,tight|tight,tight|tight,tight|tight,0,0,0,0,1.24309363607136,18.8978502373663,0
12,35,36.6614454836924,1.6614454836924,0.232986037937288,0.237875350131693,0.116493018968644,5,10,5,10,20,15,0.856694813710117,17.5091523375039,5,17.5049829979173,17.5091523375039,12.5091523375039,0.714435062096628,0.00416933958665311,0.000238123440032134,0,0,2,2,2,2.34083913418842,0.150008528307644,0,0,2.34312667580832,0.151890326274398,5,10,5,10,5,10,tight|loose,tight|loose,tight|loose,1,1,1,0,1.28604055251797,17.5091523375039,0
14,35,36.7638434633101,1.76384346331012,0.192544819951381,0.197495078577458,0.0962724099756905,5,10,5,10,20,15,0.907809151610384,16.5232967451266,5,16.4233581503911,16.5232967451266,11.5232967451266,0.697396949463205,0.09993859473553,0.00604834472666636,0,0,2,2,2,2.17495634690901,0.651659601782399,0,0,2.11399844685684,0.690640296465766,5,10,5,10,5,10,tight|loose,tight|loose,tight|loose,1,1,1,0,1.30291251210816,16.5232967451266,0
16,35,36.7716155737186,1.77161557371858,0.162443432649134,0.167075724803172,0.081221716324567,5,10,5,10,20,15,0.976704611285475,15.3577651079767,5,15.1311015699693,15.3577651079767,10.3577651079767,0.674431796238175,0.226663538007344,0.0147588881854702,0,0,2,2,2,1.83461848064487,1.47685337266819,0,0,1.7188244538828,1.58772288391346,5,10,5,10,5,10,tight|loose,tight|loose,tight|loose,1,1,1,0,1.24705521624488,15.3577651079767,0
18,35,36.6124283455156,1.6124283455156,0.142095227831458,0.14561089826893,0.071047613915729,5,10,5,10,20,15,1.03264652636654,14.52578362199,5,14.305280637444,14.52578362199,9.52578362199004,0.655784491211153,0.220502984545995,0.0151801094029918,0,0,2,2,2,1.77074969032486,2.24496606833482,0,0,1.6420926425759,2.33681200513186,5,10,5,10,5,10,tight|loose,tight|loose,tight|loose,1,1,1,0,1.14537300688384,14.52578362199,0
20,35,36.067610612666,1.06761061266598,0.118297407736058,0.119475257566985,0.059148703868029,5,10,5,10,20,15,0.995130103715322,15.0734059235043,5,14.8907513544029,15.0734059235043,10.0734059235043,0.668289965428226,0.182654569101416,0.0121176706862646,0,0,2,2,2,2.20430099233212,2.72229308416356,0,0,2.26285907411847,2.84638957147863,5,10,5,10,5,10,tight|loose,tight|loose,tight|loose,1,1,1,0,1.0711751789158,15.0734059235043,0
22,30,32.3148075524984,2.31480755249835,0.0848252860423066,0.0894692607709865,0.0424126430211533,5,10,5,5,15,20,0.871398812638023,17.2137025922607,10,17.1355187755914,17.2137025922607,7.21370259226066,0.419067458241318,0.0781838166692204,0.0045419523342045,0,0,2,2,2,0.11422189698936,2.9005193047287,0,0,0.0980243340952143,2.96250555850378,5,10,5,10,5,10,tight|loose,tight|loose,tight|loose,1,1,1,0,2.36584976932542,17.2137025922607,0
