file_path,variable_name,has_time_axis,has_signal,time_length,signal_shape,is_valid_relaxation
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_093325\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_093628\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_100632\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_101312\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_101805\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_102319\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_121046\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_121300\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_232412\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_233951\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_235148\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_235318\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_235451\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_235729\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_235739\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_235755\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_235809\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_235824\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_235838\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260223_235853\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_000324\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_001959\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_002638\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_002731\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_002811\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_002943\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_003312\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_003546\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_003657\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_004516\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_004632\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_004814\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_004914\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs\20260224_005119\debug_metrics.mat,cfg_snapshot,NO,YES,0,[1 1],NO
