"run_id","run_dir","experiment","run_status","manifest_exists"
"run_2026_03_09_014130_MG119_3sec","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_014130_MG119_3sec","aging","MISSING","YES"
"run_2026_03_09_124648_geometry_visualization","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_124648_geometry_visualization","aging","MISSING","YES"
"run_2026_03_09_130918_geometry_visualization","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_130918_geometry_visualization","aging","MISSING","YES"
"run_2026_03_09_132236_switching_alignment_audit","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_09_132236_switching_alignment_audit","switching","MISSING","YES"
"run_2026_03_09_140848_geometry_visualization","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_140848_geometry_visualization","aging","MISSING","YES"
"run_2026_03_09_141041_switching_alignment_audit","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_09_141041_switching_alignment_audit","switching","MISSING","YES"
"run_2026_03_09_141328_geometry_visualization","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_09_141328_geometry_visualization","aging","MISSING","YES"
"run_2026_03_09_145524_switching_alignment_audit","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_09_145524_switching_alignment_audit","switching","MISSING","YES"
"run_2026_03_09_205312_derivative_smoothing","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_09_205312_derivative_smoothing","relaxation","MISSING","YES"
"run_2026_03_09_205525_helper_adoption","C:\Dev\matlab-functions\results\repository_audit\runs\run_2026_03_09_205525_helper_adoption","repository_audit","MISSING","NO"
"run_2026_03_09_212439_repository_compliance_audit","C:\Dev\matlab-functions\results\repository_audit\runs\run_2026_03_09_212439_repository_compliance_audit","repository_audit","MISSING","YES"
"run_2026_03_09_213137_repository_duplication_survey","C:\Dev\matlab-functions\results\repository_audit\runs\run_2026_03_09_213137_repository_duplication_survey","repository_audit","MISSING","NO"
"run_2026_03_09_221205_switching_helper_refactor","C:\Dev\matlab-functions\results\repository_audit\runs\run_2026_03_09_221205_switching_helper_refactor","repository_audit","MISSING","YES"
"run_2026_03_09_222702_alignment_audit","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_09_222702_alignment_audit","switching","MISSING","YES"
"run_2026_03_09_223621_mechanism_survey","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_09_223621_mechanism_survey","switching","MISSING","YES"
"run_2026_03_09_224017_mechanism_followup","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_09_224017_mechanism_followup","switching","MISSING","YES"
"run_2026_03_09_224359_mode23_analysis","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_09_224359_mode23_analysis","switching","MISSING","YES"
"run_2026_03_09_224738_observable_basis_test","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_09_224738_observable_basis_test","switching","MISSING","YES"
"run_2026_03_09_225131_second_coordinate_duel","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_09_225131_second_coordinate_duel","switching","MISSING","YES"
"run_2026_03_09_225513_second_observable_search","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_09_225513_second_observable_search","switching","MISSING","YES"
"run_2026_03_09_225929_shape_rank_analysis","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_09_225929_shape_rank_analysis","switching","MISSING","YES"
"run_2026_03_09_230048_XI_Xshape_analysis","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_09_230048_XI_Xshape_analysis","switching","MISSING","YES"
"run_2026_03_09_999999_helper_layout_smoke","C:\Dev\matlab-functions\results\repository_audit\runs\run_2026_03_09_999999_helper_layout_smoke","repository_audit","MISSING","NO"
"run_2026_03_10_014001_coordinate_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_014001_coordinate_audit","relaxation","MISSING","YES"
"run_2026_03_10_015246_coordinate_extraction","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_015246_coordinate_extraction","relaxation","MISSING","YES"
"run_2026_03_10_073818_svd_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_073818_svd_audit","relaxation","MISSING","YES"
"run_2026_03_10_074713_svd_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_074713_svd_audit","relaxation","MISSING","YES"
"run_2026_03_10_102734_svd_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_102734_svd_audit","relaxation","MISSING","YES"
"run_2026_03_10_103044_svd_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_103044_svd_audit","relaxation","MISSING","YES"
"run_2026_03_10_103713_svd_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_103713_svd_audit","relaxation","MISSING","YES"
"run_2026_03_10_112659_alignment_audit","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_10_112659_alignment_audit","switching","MISSING","YES"
"run_2026_03_10_112842_geometry_visualization","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_112842_geometry_visualization","aging","MISSING","YES"
"run_2026_03_10_113434_svd_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_113434_svd_audit","relaxation","MISSING","YES"
"run_2026_03_10_114441_svd_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_114441_svd_audit","relaxation","MISSING","YES"
"run_2026_03_10_133938_time_mode_analysis","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_133938_time_mode_analysis","relaxation","MISSING","YES"
"run_2026_03_10_142409_geometry_observables","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_142409_geometry_observables","relaxation","MISSING","YES"
"run_2026_03_10_143118_geometry_observables","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_143118_geometry_observables","relaxation","MISSING","YES"
"run_2026_03_10_143906_timelaw_observables","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_143906_timelaw_observables","relaxation","MISSING","YES"
"run_2026_03_10_145239_geometry_visualization","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_145239_geometry_visualization","aging","MISSING","YES"
"run_2026_03_10_150549_geometry_observables","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_150549_geometry_observables","relaxation","MISSING","YES"
"run_2026_03_10_150549_geometry_visualization","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_150549_geometry_visualization","aging","MISSING","YES"
"run_2026_03_10_151424_geometry_observables","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_151424_geometry_observables","relaxation","MISSING","YES"
"run_2026_03_10_171522_observable_mode_correlation","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_171522_observable_mode_correlation","aging","MISSING","YES"
"run_2026_03_10_175048_relaxation_observable_stability_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_10_175048_relaxation_observable_stability_audit","relaxation","MISSING","YES"
"run_2026_03_10_200643_observable_mode_correlation","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_200643_observable_mode_correlation","aging","MISSING","YES"
"run_2026_03_10_205157_relaxation_switching_knee_comparison","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_10_205157_relaxation_switching_knee_comparison","cross_experiment","MISSING","YES"
"run_2026_03_10_205502_relaxation_switching_knee_comparison","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_10_205502_relaxation_switching_knee_comparison","cross_experiment","MISSING","YES"
"run_2026_03_10_205656_relaxation_switching_knee_comparison","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_10_205656_relaxation_switching_knee_comparison","cross_experiment","MISSING","YES"
"run_2026_03_10_215702_tp_27_structured_export","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_215702_tp_27_structured_export","aging","MISSING","YES"
"run_2026_03_10_220156_tp_27_structured_export","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220156_tp_27_structured_export","aging","MISSING","YES"
"run_2026_03_10_220218_ridge_relaxation_comparison","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_10_220218_ridge_relaxation_comparison","cross_experiment","MISSING","YES"
"run_2026_03_10_220738_tp_30_structured_export","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_220738_tp_30_structured_export","aging","MISSING","YES"
"run_2026_03_10_222534_MG119_3sec","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222534_MG119_3sec","aging","MISSING","YES"
"run_2026_03_10_222604_MG119_36sec","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222604_MG119_36sec","aging","MISSING","YES"
"run_2026_03_10_222613_MG119_6min","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222613_MG119_6min","aging","MISSING","YES"
"run_2026_03_10_222624_MG119_60min","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_222624_MG119_60min","aging","MISSING","YES"
"run_2026_03_10_223913_tp_6_structured_export","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_223913_tp_6_structured_export","aging","MISSING","YES"
"run_2026_03_10_224229_tp_10_structured_export","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_224229_tp_10_structured_export","aging","MISSING","YES"
"run_2026_03_10_225135_tp_14_structured_export","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225135_tp_14_structured_export","aging","MISSING","YES"
"run_2026_03_10_225732_ridge_crossover_vs_relaxation","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_10_225732_ridge_crossover_vs_relaxation","cross_experiment","MISSING","YES"
"run_2026_03_10_225902_tp_18_structured_export","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_225902_tp_18_structured_export","aging","MISSING","YES"
"run_2026_03_10_231114_tp_22_structured_export","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_231114_tp_22_structured_export","aging","MISSING","YES"
"run_2026_03_10_231719_tp_26_structured_export","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_231719_tp_26_structured_export","aging","MISSING","YES"
"run_2026_03_10_232934_tp_34_structured_export","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_232934_tp_34_structured_export","aging","MISSING","YES"
"run_2026_03_10_233449_simple_switching_vs_relaxation_search","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_10_233449_simple_switching_vs_relaxation_search","cross_experiment","MISSING","YES"
"run_2026_03_10_235137_tp_sweep_summary","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_10_235137_tp_sweep_summary","aging","MISSING","YES"
"run_2026_03_11_011643_observable_identification_audit","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_011643_observable_identification_audit","aging","MISSING","YES"
"run_2026_03_11_025420_relaxation_switching_motion_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_025420_relaxation_switching_motion_test","cross_experiment","MISSING","YES"
"run_2026_03_11_030129_aging_shape_collapse_analysis","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_030129_aging_shape_collapse_analysis","aging","MISSING","YES"
