"T_K","n_points","i_peak_old_mA","i_peak_parabolic_mA","S_peak_old","left_half_old_mA","right_half_old_mA","width_old_mA","left_half_new_mA","right_half_new_mA","width_new_mA","delta_width_new_minus_old_mA","max_bracket_gap_old_mA","max_bracket_gap_new_mA","new_used_minimal_smoothing"
"4","7","35","37.8511440973917","0.349600045040287","30","45","15","27.1496868940104","48.6238135235356","21.4741266295253","6.47412662952528","5","5","False"
"6","7","35","37.4085921712416","0.341950817738385","30","45","15","26.8994500895276","48.0668098556509","21.1673597661233","6.16735976612329","5","5","False"
"8","7","35","36.6408462502163","0.311011499245369","30","45","15","26.5854111308062","46.7111169143405","20.1257057835343","5.12570578353428","5","5","False"
"10","7","35","36.313678240432","0.265625424732821","30","45","15","26.5750952463738","45.4729454837401","18.8978502373663","3.89785023736633","5","5","False"
"12","7","35","36.6614454836924","0.232986037937288","30","35","5","27.3408391341884","44.8499914716924","17.5091523375039","12.5091523375039","10","10","False"
"14","7","35","36.7638434633101","0.192544819951381","30","35","5","27.825043653091","44.3483403982176","16.5232967451266","11.5232967451266","10","10","False"
"16","7","35","36.7716155737186","0.162443432649134","30","35","5","28.1653815193551","43.5231466273318","15.3577651079767","10.3577651079767","10","10","False"
"18","7","35","36.6124283455156","0.142095227831458","30","35","5","28.2292503096751","42.7550339316652","14.52578362199","9.52578362199004","10","10","False"
"20","7","35","36.067610612666","0.118297407736058","30","35","5","27.2043009923321","42.2777069158364","15.0734059235043","10.0734059235043","10","10","False"
"22","7","30","32.3148075524984","0.0848252860423066","25","35","10","24.8857781030106","42.0994806952713","17.2137025922607","7.21370259226066","10","10","False"
"24","7","30","30.1376936624565","0.0930645821294685","25","35","10","24.46167321525","36.9626595603798","12.5009863451298","2.50098634512983","10","10","False"
"26","7","30","27.9245548932365","0.0732255508855988","25","30","5","21.3265707179675","34.4266855875195","13.100114869552","8.10011486955204","5","5","False"
"28","6","25","24.8832001018834","0.0809671274875996","20","25","5","19.5682471466045","29.8425142874094","10.2742671408049","5.2742671408049","5","5","False"
"30","6","20","19.9689021311089","0.0879097809338481","NaN","NaN","NaN","15.5942806308702","24.2974592461245","8.70317861525431","NaN","NaN","5","False"
"32","6","15","15","0.0695147785421419","NaN","NaN","NaN","NaN","17.1309274652149","NaN","NaN","NaN","NaN","True"
"34","6","30","28.5391289894399","0.00111194952316543","NaN","NaN","NaN","25.0277895978626","31.3044524693383","6.27666287147563","NaN","NaN","5","False"
"-1","16","NaN","NaN","NaN","NaN","NaN","8.14248851366259","NaN","NaN","0.752354777236323","0","0.0411622932522884","15","False"
