NAME,VALUE
CANONICAL_SOURCE_LOCKED,"YES"
COARSE_GRID_CAUSE,"YES"
HALFMAX_UNDERSAMPLED,"YES"
EDGE_OR_ASYMMETRY_CAUSE,"NO"
WIDTH_DEPENDS_ON_IPEAK,"NO"
WIDTH_PRIMARY_FAILURE,"YES"
KAPPA1_SENSITIVE_TO_WIDTH,"YES"
KAPPA1_SENSITIVE_TO_IPEAK,"YES"
KAPPA1_SENSITIVE_TO_SPEAK,"NO"
WIDTH_FAILURE_LOCALIZED,"NO"
KAPPA1_FAILURE_LOCALIZED,"NO"
FAILURE_REGION,"mid_T,low_T"
MAP_STABLE_BUT_SCALARIZATION_FRAGILE,"YES"
WIDTH_GOOD_PHYSICAL_COORDINATE,"NO"
WIDTH_FAILURE_EXPLAINED_BY_GRID,"YES"
WIDTH_FAILURE_EXPLAINED_BY_PEAK_SHIFT,"NO"
KAPPA1_FAILURE_EXPLAINED_BY_WIDTH,"NO"
KAPPA1_FAILURE_INDEPENDENT,"YES"
MAP_STABILITY_THREATENED,"NO"
FINAL_INTERPRETATION,"kappa estimator artifact dominates"
