T_K,rmse_kappa1_Phi1,rmse_rank2_Phi1_Phi2,rmse_nonlinear_Scdf,rmse_linear_Scdf_only,corr_kappa1_Phi1,corr_rank2,corr_nonlinear,corr_linear_Scdf,a1_Scdf,a2_Scdf2,a_lin_Scdf_only,kappa1,kappa2_fit,cos_phi2_unit_pred_nl,cos_phi2_unit_rank2
4,0.0148289196427622,0.0141535433210123,0.0585815602918829,0.0616649224200772,0.985122034662017,0.979559410270348,0.375723420880296,0.238388177224056,0.304197507879361,-1.42353482643533,-0.129822537536368,0.179546725888347,-0.0656223683737462,0.0294177840590273,0.0625783390949686
6,0.00918044595686389,0.00818771034763409,0.0580978358739584,0.0619898349816111,0.995512322041117,0.993198825049446,0.42195580279342,0.294125127209745,0.361986397622846,-1.71072177345561,-0.151389871876719,0.190781377067108,-0.0615892619750529,0.0558653575018794,0.0552975204060087
8,0.00441257779882741,0.00286377325421418,0.0541762765070133,0.0597767447132804,0.997862425209535,0.999090126447935,0.501025580129708,0.388910122831985,0.524487632218724,-2.59078788028462,-0.186862714382465,0.19690765457114,-0.0497927909180983,0.0765639530816526,0.0433408317538596
10,0.0061028935909626,0.00586069928381126,0.0467321256736708,0.052308178603208,0.99400981485007,0.995318105477,0.5241684085024,0.426264560932821,0.640318993043612,-3.58266905838064,-0.20280861266756,0.17710703759542,-0.0252478335549061,0.10377352688503,0.0244489443048079
12,0.00469980514748773,0.00339681325412139,0.0401979466254276,0.0435818084504651,0.998081810469067,0.997523350628787,0.465600222805464,0.378229536068905,0.520604109720742,-3.54366287393314,-0.207349937930594,0.15269503326033,0.0481763654815828,0.195584901669256,0.0540474898281175
14,0.00468269834389776,0.00238133156439104,0.0330509011710584,0.0354954906973555,0.996350839139655,0.99792075951274,0.441886831888821,0.358227633652774,0.496353846359125,-4.16124955155555,-0.206057196699707,0.12447122604336,0.0598040402254154,0.221140250712942,0.0821472246952411
16,0.00555236635583109,0.00218849425483536,0.0281120368289161,0.0299646645194963,0.993590407041169,0.997514299032862,0.42046907881857,0.347375015414501,0.520864781429122,-5.15640025113709,-0.214788613988189,0.107134927362003,0.0756877685633675,0.266879627786041,0.12031777551512
18,0.00594856615042066,0.00182673379280236,0.0252256589202522,0.0268286479421162,0.993728646777356,0.997988648807066,0.408766590042673,0.345244540836641,0.621913814975524,-6.74970357953404,-0.227577362315706,0.0980185873442758,0.0839682454095365,0.303373065160444,0.145401283556577
20,0.00478807040605187,0.00367162761572218,0.022031028623096,0.0244891220650822,0.997541557588684,0.992778733752779,0.495392806854834,0.435254928085992,1.05935346603349,-12.2411306518628,-0.245300678324404,0.0898318457622685,0.0455834306546876,0.24186147837566,0.086723937693647
22,0.00946675903524895,0.00635671381445163,0.0130740076920894,0.0142242467187695,0.746879927103532,0.922004024289541,0.236403913582932,-0.340974691763742,-0.754673547083267,8.03831145876694,-0.146302270374717,0.0382966167716672,0.10405084115363,0.839528118580944,0.422469835729098
24,0.0118020640013735,0.00439861417330835,0.0157014451746119,0.015701494603627,0.961966999817491,0.975994566616936,0.0635325346220011,0.0645516574365536,-0.296303694712629,0.0814442693491863,-0.289078845409263,0.0699734936967039,0.162440757725133,0.601540128308942,0.369994068125412
26,0.0100681313975675,0.010024556627222,0.0181125516052829,0.0182342722440401,0.895008411161466,0.884532978076474,0.144213546829998,0.141128835796785,0.870356744191732,-15.7961676198122,-0.27664316152806,0.0640590044738315,0.013878672075776,0.593445687174932,0.037142369497823
28,0.00802235536825094,0.00695523958483073,0.0142803662438154,0.0146968727944053,0.967203479002211,0.932313370951512,0.358674049324734,0.33651654379556,0.236769542900481,-6.62130482608849,-0.272630695787224,0.0611692729252666,0.059297741557869,0.449483260944449,0.164052285878706
30,0.0252295246542699,0.00708036313757909,0.0095599031542327,0.0299910750726975,0.799666547123175,0.977442663359017,0.954200266035728,0.857523673113311,2.25952159730075,-32.0346603024941,-0.152403088419422,0.0481472826690587,-0.359176031865287,0.711121233935197,0.787974336270715
