T_K,deltaI_mA,rmse_S_vs_SCDF_shifted,corr_S_vs_SCDF_shifted,rmse_deltaS_row,kappa1,kappa2,alpha_kappa2_over_kappa1,rmse_deltaS_vs_tangent,corr_deltaS_vs_tangent,R2_like_tangent_frac,rmse_deltaS_vs_rank2_Igrid,corr_deltaS_vs_rank2_Igrid,rmse_tangent_over_rank2
4,-0.153125,0.0546292540930154,0.935137379918984,0.0937865388313119,0.179546725888347,-0.0711746861163945,-0.396413166345652,0.0932219329321001,-0.396139169356759,-0.215698956229286,0.01623450450273,0.984439080401222,5.74220992802237
6,-0.153125,0.0582432598787762,0.923755331921059,0.0979433765708677,0.190781377067108,NaN,NaN,0.0973816606871429,-0.425375667243434,-0.265686244087701,NaN,NaN,NaN
8,-0.153125,0.0656825501475643,0.881728321142615,0.101241793485709,0.19690765457114,NaN,NaN,0.100708791321896,-0.451723731420668,-0.343270974492799,NaN,NaN,NaN
10,-0.153125,0.0637236545988003,0.84976018881929,0.0935351038841483,0.17710703759542,NaN,NaN,0.0930594426252463,-0.460092671377453,-0.404582988894884,NaN,NaN,NaN
12,-0.153125,0.0598976312328491,0.83940577334587,0.0857759636593615,0.15269503326033,NaN,NaN,0.0853106015883674,-0.464703604223238,-0.51046824686609,NaN,NaN,NaN
14,-0.153125,0.051928187975756,0.824549243592289,0.0719719820549763,0.12447122604336,NaN,NaN,0.0715709702606967,-0.467414730089675,-0.556616299181047,NaN,NaN,NaN
16,-0.153125,0.0471411078580535,0.791945960047224,0.0634745373858896,0.107134927362003,NaN,NaN,0.0631396149660719,-0.489647702001859,-0.588078838467887,NaN,NaN,NaN
18,-0.153125,0.0450493949430242,0.763383205163878,0.0596744134104582,0.0980185873442758,NaN,NaN,0.0593707829716485,-0.48466631969735,-0.655987175869185,NaN,NaN,NaN
20,-0.153125,0.0387023627213086,0.738346819569325,0.0509298950963853,0.0898318457622685,NaN,NaN,0.0506951843684335,-0.484601906266399,-0.608288551838428,NaN,NaN,NaN
22,-0.153125,0.0276141699701497,0.748712465026345,0.0370791628106455,0.0382966167716672,NaN,NaN,0.0369322225134777,-0.402771356587366,-0.443468593842078,NaN,NaN,NaN
24,-0.153125,0.0414697044253715,0.648011447715291,0.0496321999402358,0.0699734936967039,NaN,NaN,0.0494462884697748,-0.538952455148273,-1.13224188192623,NaN,NaN,NaN
26,-0.153125,0.0342877389349154,0.55508086642948,0.0414169207679635,0.0640590044738315,NaN,NaN,0.0413295753189763,-0.499924037414478,-0.751489748764755,NaN,NaN,NaN
28,-0.6125,0.0352282656777452,0.508366971439962,0.0455716338336294,0.0611692729252666,NaN,NaN,0.0357889169242855,-0.757653923063355,-0.296788874758356,NaN,NaN,NaN
30,-12.25,0.0501054204598075,NaN,0.0627526681083007,0.0481472826690587,NaN,NaN,0.117434918388786,-0.983254314955617,-3.5448295656844,NaN,NaN,NaN
