layer,topic,finding,severity,evidence,workflow_effect,recommended_priority
Script Creation,Template usability,"Mandatory template docs/templates/matlab_run_template.m passes wrapper precheck but fails validator (CHECK_HEADER and CHECK_FUNCTION).",Critical,"Precheck PASS + validator FAIL for docs template; validator output: CHECK_HEADER and CHECK_FUNCTION.","New script authors following the mandatory template get blocked before first run.",Immediate
Script Creation,Template API mismatch,"Mandatory template calls [runDir, runId] = createRunContext(...), but createRunContext returns one struct output.",Critical,"docs/templates/matlab_run_template.m line 19 vs Aging/utils/createRunContext.m line 1.","Template-driven scripts are likely to error at runtime even if static checks pass.",Immediate
Script Creation,Secondary template mismatch,"templates/canonical_runnable_script.m fails both precheck and validator.",High,"Precheck FAIL (missing execution_status/createRunContext/csv/md) and validator FAIL.","Repository ships examples that are not runnable under current rules.",Immediate
Script Creation,Pass likelihood for new run scripts,"Only 4/30 root run_*.m pass precheck and 6/30 pass validator.",High,"PRECHECK_TOTAL=30 PASS=4 FAIL=26; VALIDATOR PASS=6 FAIL=24.","New scripts are likely to be blocked without expert rule knowledge.",Immediate
Script Creation,Wrapper vs runnable confusion,"17/30 run_*.m are wrapper-named files, and 0/17 pass precheck or validator.",High,"wrapper_named=True scripts: precheck_pass=0 validator_pass=0.","Users can easily choose non-runnable entry scripts by name.",Immediate
Execution Flow,Precheck strictness,"Soft precheck requires writetable+csv string and catches writecell-based CSV flows as failures.",High,"Top precheck reasons: no CSV writetable=21, missing createRunContext=20, missing execution_status=20.","Valid script patterns get blocked before validator/MATLAB.",Immediate
Execution Flow,Validator blocking rate,"Validator blocks 24/30 root run scripts; top fails are CHECK_RUN_CONTEXT, REQUIRED_OUTPUTS, CHECK_DRIFT, CHECK_HEADER.",High,"Reason counts: REQUIRED_OUTPUTS=20 CHECK_RUN_CONTEXT=20 CHECK_DRIFT=20 CHECK_HEADER=19.","Execution pipeline often stops at validation.",Immediate
Execution Flow,Timeout policy,"Wrapper enforces a hard 300-second timeout.",Critical,"tools/run_matlab_safe.bat line 106 sets timeoutSeconds=300; EXECUTION_READINESS.md estimates 50-65 minutes.","Long but valid research runs are terminated early.",Immediate
Execution Flow,Run-dir resolution inconsistency,"Wrapper falls back to directory scanning when run_dir_pointer is missing, while run contract forbids scanning.",Medium,"tools/run_matlab_safe.bat line 123 fallback scan vs docs/run_system.md line 117 forbids directory scanning.","Run attribution can become ambiguous.",Soon
Execution Flow,Global soft-gate artifacts,"Soft precheck writes shared files at repo root tables/reports, not run-scoped files.",Medium,"tools/run_matlab_safe.bat writes tables/wrapper_soft_gate_status.csv and reports/wrapper_soft_gate.md.","Concurrent or repeated runs can overwrite diagnostics and create stale/mixed feedback.",Soon
Output Usefulness,Combined output completeness,"Across 692 run directories, 0 have status file plus csv+md plus figures or figure manifest together.",Critical,"RUNS_TOTAL=692 WITH_ALL_TARGET_OUTPUTS=0; FIGURE_MANIFEST_YES=0.","Typical outputs are not one-step complete for research handoff.",Immediate
Output Usefulness,Status coverage,"Only 65/692 runs have run-root execution_status.csv.",High,"WITH_STATUS=65 of 692 runs.","Run success/failure is often not machine-readable at the expected location.",Immediate
Output Usefulness,Figure defaults,"No figure manifest detected and status-producing runs do not generate figures by default.",High,"FIGURE_MANIFEST_YES=0; STATUS_RUNS=65 and STATUS_WITH_FIG=0.","Users often need additional reruns/scripts to get publication-ready visuals.",Immediate
Output Usefulness,Metadata baseline strength,"Run metadata backbone is mostly present (manifest/config/log/notes in most runs).",Low,"HAS_MANIFEST=658 HAS_CONFIG=640 HAS_LOG=645 HAS_NOTES=647 out of 692.","Traceability is better than output usability; foundation exists for improvement.",CanWait
