metric,value
corr_pearson_alpha_res_kappa1,-0.437468628531409
corr_spearman_alpha_res_kappa1,-0.391608391608392
n_pair_alpha_res_kappa1,12
corr_pearson_alpha_res_R,-0.122837090336301
corr_spearman_alpha_res_R,-0.318181818181818
n_pair_alpha_res_R,11
corr_pearson_alpha_res_T,0.18637495793747
corr_spearman_alpha_res_T,0.20979020979021
n_pair_alpha_res_T,12
mean_alpha_res_T_lt_22,-0.0412678757434047
mean_alpha_res_T_gt_24,-0.0289467177837941
std_alpha_res_all,0.419965060795353
welch_t_pvalue_below22_vs_above24,NaN
frac_SS_alpha_res_in_band_22_24K,0.438032152478472
ALPHA_RES_LINKED_TO_R,NO
ALPHA_RES_LINKED_TO_KAPPA1,YES
ALPHA_RES_IS_REGIME_VARIABLE,NO
