row_type,variant_label,axis,choice,supported,n_traces,signal_corr_median,nrmse_median,nrmse_worst,slope_corr_median,curvature_corr_median,amplitude_scale,t_half_s,mean_log_slope,rel_change_amplitude,rel_change_t_half,rel_change_mean_log_slope,temp_of_max_sensitivity_K,max_temp_nrmse,notes
variant,baseline_default,baseline,t0=earliest;window=full;baseline=raw;norm=none;smooth=none,true,19,1,0,0,1,1,0.0304330645419586,454.090171880923,-0.0124158749056306,0,0,0,NaN,NaN,ok;valid_traces=19
variant,t0_post_settling,t0,t0=post_settling_10pct,true,19,0.39212678845267,0.537468480963043,0.597993156609351,0.0538731886874956,0.00691843302459462,0.0933014562947505,133.010490204431,-0.000864275290177691,2.06579234457687,0.707083530010179,0.930389497578963,NaN,NaN,ok;valid_traces=19
variant,t0_delayed_conservative,t0,t0=delayed_20pct,true,19,0.529133020273968,0.561754212426215,0.645119330733295,0.0158554046922362,-0.0122041700038687,7.58281058184138e-06,334.19710229564,-5.05778609814276e-06,0.999750836443981,0.264029210517076,0.9995926355463,NaN,NaN,ok;valid_traces=19
variant,window_early_heavy,window,window=end70pct,true,19,1,0,0,1,1,0.0304308408535153,454.090068592887,-0.017735389846416,7.30681736054605e-05,2.27461509686596e-07,0.42844463086311,NaN,NaN,ok;valid_traces=19
variant,window_late_trimmed,window,window=end85pct,true,19,1,0,0,1,1,0.0304320248051763,454.090123586218,-0.0146094186086006,3.41647086134144e-05,1.0635487795568e-07,0.176672503520095,NaN,NaN,ok;valid_traces=19
variant,baseline_tail_subtracted,baseline,baseline=tail_subtract_last10pct,true,19,1,0.00133536123336565,0.00234131829151517,1,1,0.0304330645419586,454.090171880923,-0.0124158749056306,1.1400254966667e-16,0,0,NaN,NaN,ok;valid_traces=19
variant,baseline_tail_linear_detrend,baseline,baseline=tail_linear_detrend_last20pct,true,19,0.999999981303336,0.00114472073057593,0.00234333238029475,1,1,0.0303866143048544,454.091116450447,-0.0124006544272588,0.00152630823754493,2.08013646294548e-06,0.00122588850865916,NaN,NaN,ok;valid_traces=19
variant,normalization_initial_amplitude,normalization,norm=initial_amplitude,true,19,1,17.0601142550006,17.9678161348673,1,1,1,454.090171880923,-0.347163228644203,31.8589977726786,0,26.9612376318938,NaN,NaN,ok;valid_traces=19
variant,normalization_area_logtime,normalization,norm=area_over_logtime,true,19,1,2.75530035403084,3.66757081682822,1,1,0.188663485440999,454.090171880923,-0.0673678631446756,5.19929304789156,0,4.42594570714663,NaN,NaN,ok;valid_traces=19
variant,smoothing_default,smoothing,smooth=moving_median_5,true,19,0.999982478852958,0.00219248512026788,0.0164709847330235,0.999988733429674,0.999999283543862,0.0315642968401601,454.037623642309,-0.0124206807300956,0.0371711595669852,0.000115722034670281,0.000387070947604435,NaN,NaN,ok;valid_traces=19
variant,smoothing_stronger,smoothing,smooth=moving_median_11,true,19,0.999308950264303,0.0148135607850939,0.0499357637854802,0.999835920928079,0.99998060831842,0.0353022798507988,453.872851187783,-0.0124321630147638,0.159997534987873,0.000478584885992954,0.00131187767733079,NaN,NaN,ok;valid_traces=19
axis_summary,axis_t0,t0,aggregate,YES,19,0.460629904363319,0.549611346694629,0.645119330733295,NaN,NaN,NaN,NaN,NaN,1.53277159051043,NaN,NaN,35,0.601170504797549,true
axis_summary,axis_window,window,aggregate,YES,19,1,0,0,NaN,NaN,NaN,NaN,NaN,0.302558567191602,NaN,NaN,39,0,true
axis_summary,axis_baseline,baseline,aggregate,YES,19,1,0.00114472073057593,0.00234333238029475,NaN,NaN,NaN,NaN,NaN,1.1400254966667e-16,NaN,NaN,39,0.00234029810829053,false
axis_summary,axis_normalization,normalization,aggregate,YES,19,1,9.90770730451574,17.9678161348673,NaN,NaN,NaN,NaN,NaN,18.5291454102851,NaN,NaN,19,10.3146491536525,true
axis_summary,axis_smoothing,smoothing,aggregate,YES,19,0.99964571455863,0.00850302295268089,0.0499357637854802,NaN,NaN,NaN,NaN,NaN,0.0985843472774293,NaN,NaN,11,0.0299819388939275,false
