"run_id","label","run_dir","csv_outputs_exist","error_logs_found","execution_status_before","execution_status_after","execution_status_action","report_action","manifest_type","script_path_before","script_path_after","manifest_action","figures_manifest_action","run_outcome","review_reason"
"run_2026_03_25_011228_pt_robust_canonical","pt_robust_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_25_011228_pt_robust_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","GENERATED","OBJECT","","C:\Dev\matlab-functions\analysis\switching_barrier_distribution_from_map.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_25_012425_pt_robust_canonical","pt_robust_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_25_012425_pt_robust_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","GENERATED","OBJECT","","C:\Dev\matlab-functions\analysis\switching_barrier_distribution_from_map.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_25_013356_pt_robust_canonical","pt_robust_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_25_013356_pt_robust_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","GENERATED","OBJECT","","C:\Dev\matlab-functions\analysis\switching_barrier_distribution_from_map.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_27_233605_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_27_233605_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_27_235002_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_27_235002_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_020912_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_020912_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_021000_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_021000_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_021547_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_021547_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_021653_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_021653_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_021711_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_021711_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
