"script_path","uses_template_style","has_run_context","has_required_outputs","has_rethrow","compliant"
"_legacy/_loocv_run.m","NO","NO","NO","NO","NO"
"_legacy/test_execution_probe.m","NO","NO","NO","NO","NO"
"_legacy/test_probe.m","NO","NO","NO","NO","NO"
"_legacy/test_probe_checks.m","NO","NO","NO","NO","NO"
"_legacy/test_run_wrapper.m","NO","NO","NO","NO","NO"
"_legacy/test_threshold_init.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/ACHC_autoFoldAndFits.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/ACHC_buildFoldingTable.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/ACHC_main.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/ACHC_plotFits.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/ACHC_runAuto.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/analysisAndFittACHC.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/detect_fold_fft.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/fit_single_curve_shifted.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/fit_with_fold.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/getFileListACHC.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/importFilesACHC.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/importOneFileACHC.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/mirrorAcross.m","NO","NO","NO","NO","NO"
"AC HC MagLab ver8/PlotsACHC.m","NO","NO","NO","NO","NO"
"Aging old/pipeline/stage8_globalJfit_shiftGating.m","NO","NO","NO","NO","NO"
"Aging/alignDeltaM_y.m","NO","NO","NO","NO","NO"
"Aging/analysis/aging_clock_ratio_analysis.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_clock_ratio_lower_support_audit.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_clock_ratio_temperature_scaling.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_clock_ratio_temperature_support_audit.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_component_clock_test.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_fm_timescale_analysis.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_fm_using_dip_clock.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_geometry_visualization.m","NO","NO","NO","NO","NO"
"Aging/analysis/aging_log_time_scaling_test.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_observable_identification_audit.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_observable_mode_correlation.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_shape_collapse_analysis.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_structured_results_export.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_structured_results_export_tp12.m","NO","NO","NO","NO","NO"
"Aging/analysis/aging_structured_results_export_tp27.m","NO","NO","NO","NO","NO"
"Aging/analysis/aging_structured_results_export_tp30.m","NO","NO","NO","NO","NO"
"Aging/analysis/aging_time_rescaling_collapse.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_timescale_extraction.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_tri_clock_consistency_test.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_tri_cross_temperature_test.m","NO","YES","NO","NO","NO"
"Aging/analysis/aging_tri_scaling_test.m","NO","YES","NO","NO","NO"
"Aging/analysis/debugAgingStage4.m","NO","NO","NO","NO","NO"
"Aging/analysis/estimateRobustBaseline.m","NO","NO","NO","NO","NO"
"Aging/analysis/estimateRobustBaseline_canonical.m","NO","NO","NO","NO","NO"
"Aging/analysis/plotDecompositionExamples.m","NO","NO","NO","NO","NO"
"Aging/analysis/quickSanityCheck.m","NO","NO","NO","NO","NO"
"Aging/analysis/runRobustnessCheck.m","NO","NO","NO","NO","NO"
"Aging/analyzeAgingMemory.m","NO","NO","NO","NO","NO"
"Aging/colorMarkersByTp_activeFigure.m","NO","NO","NO","NO","NO"
"Aging/computeDeltaM.m","NO","NO","NO","NO","NO"
"Aging/convertToMuBperCo.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/auditDecompositionStability.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_baseline_subtracted_FM.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_decomposition_audit_waittimes.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_decomposition_audit_waittimes_clean.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_deltaM_shifted_byTp_waittimes.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_deltaM_svd_pca.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_fit_vs_derivative_audit.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_FM_construction_audit.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_FM_sign_stability.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_highT_basis_comparison.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_linear_combo_switching.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_mode1_separability.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_shifted_basis_fit.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_switching_regime_features.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/diagnose_waittime_to_current_mapping.m","NO","NO","NO","NO","NO"
"Aging/diagnostics/tri_collapse_diagnostics.m","NO","NO","NO","NO","NO"
"Aging/docs/canonical_clock_config_template.m","NO","NO","NO","NO","NO"
"Aging/filterAgingMemory.m","NO","NO","NO","NO","NO"
"Aging/fitAFM_FM_MeanField_and_DipGaussian.m","NO","NO","NO","NO","NO"
"Aging/fitAFM_FM_MeanField_and_DipLorentzian.m","NO","NO","NO","NO","NO"
"Aging/getFileList_aging.m","NO","NO","NO","NO","NO"
"Aging/importFiles_aging.m","NO","NO","NO","NO","NO"
"Aging/Main_Aging.m","NO","NO","NO","NO","NO"
"Aging/models/analyzeAFM_FM_components.m","NO","NO","NO","NO","NO"
"Aging/models/analyzeAFM_FM_derivative.m","NO","NO","NO","NO","NO"
"Aging/models/fitFMstep_plus_GaussianDip.m","NO","NO","NO","NO","NO"
"Aging/models/reconstructSwitchingAmplitude.m","NO","NO","NO","NO","NO"
"Aging/parseAgingFilename.m","NO","NO","NO","NO","NO"
"Aging/pipeline/agingConfig.m","NO","NO","NO","NO","NO"
"Aging/pipeline/runPhaseC_leaveOneOut.m","NO","NO","NO","NO","NO"
"Aging/pipeline/stage0_setupPaths.m","NO","YES","NO","NO","NO"
"Aging/pipeline/stage1_loadData.m","NO","NO","NO","NO","NO"
"Aging/pipeline/stage2_preprocess.m","NO","NO","NO","NO","NO"
"Aging/pipeline/stage3_computeDeltaM.m","NO","NO","NO","NO","NO"
"Aging/pipeline/stage4_analyzeAFM_FM.m","NO","NO","NO","NO","NO"
"Aging/pipeline/stage5_fitFMGaussian.m","NO","NO","NO","NO","NO"
"Aging/pipeline/stage6_extractMetrics.m","NO","NO","NO","NO","NO"
"Aging/pipeline/stage7_reconstructSwitching.m","NO","NO","NO","NO","NO"
"Aging/pipeline/stage8_globalJfit_shiftGating.m","NO","NO","NO","NO","NO"
"Aging/pipeline/stage8_plotting.m","NO","NO","NO","NO","NO"
"Aging/pipeline/stage9_export.m","NO","NO","NO","NO","NO"
"Aging/pipeline/stageC2_sweepDipWindow.m","NO","NO","NO","NO","NO"
"Aging/plotAgingMemory.m","NO","NO","NO","NO","NO"
"Aging/plots/plotAFM_FM_decomposition.m","NO","NO","NO","NO","NO"
"Aging/plots/plotAFM_FM_robustnessCheck.m","NO","NO","NO","NO","NO"
"Aging/plots/plotAFM_FM_summary.m","NO","NO","NO","NO","NO"
"Aging/plots/plotAgingMemory.m","NO","NO","NO","NO","NO"
"Aging/plots/plotAgingMemory_AFM_vs_FM.m","NO","NO","NO","NO","NO"
"Aging/test_debug_infrastructure.m","NO","NO","NO","NO","NO"
