system_name,path,category,status,purpose,inputs,outputs,human_entry_point,agent_entry_point,notes
"System Registry (module classification)","docs/system_registry.json","registry/spec","active","Classify modules and define the authoritative active module set","none","JSON registry (unified_stack/independent modules/infrastructure/active_modules)","docs/AGENT_RULES.md (safety + registry precedence)","docs/system_registry.json","Registry is explicitly called out as authoritative in agent rules."
"Repo State Model","docs/repo_state.json","state/model","active","Project-level state + observable definitions + cross-experiment physics abstraction","docs/repo_state.json baseline + known runs sample","docs/context_bundle*.json","docs/repo_state.json","scripts/update_context.ps1 -> docs/context_bundle_full.json","Validated/assist tooling exists: repo_state_generator.m and repo_state_validator.m."
"Repo State Model (extended semantics)","docs/model/repo_state_description.json; docs/model/repo_state_full_description.json","state/model","active","Semantic definitions used by context bundles","none","model.core / model.extended embedded into context bundles","docs/repo_state.json","docs/context_bundle_full.json","Full bundle includes extended semantics."
"Context Bundle (minimal)","docs/context_bundle.json","context/bundle","active","Machine-readable baseline handoff for agents/humans (state + reduced claims)","scripts/update_context.ps1","docs/context_bundle.json","docs/repository_map.md","docs/context_bundle.json","Contains reduced claim summaries only; evidence links are not embedded."
"Context Bundle (extended)","docs/context_bundle_full.json","context/bundle","active","Machine-readable extended handoff (state + model.extended + reduced claims)","scripts/update_context.ps1","docs/context_bundle_full.json","docs/repository_map.md / docs/context_system_audit.md","docs/context_bundle_full.json","Recommended semantic entry point in this repo audit."
"Claims Registry","claims/*.json","knowledge/registry","active","Explicit scientific claims with status/role/confidence (+ evidence links in practice)","none (files on disk)","claims objects consumed by surveys/snapshot indexers","claims/*.json / docs/context_system_audit.md","snapshot_scientific_v3/60_claims_surveys/claim_index.json","Snapshot bundle claims are lossy summaries compared to full claim schema."
"Run Metadata Layer","results/<experiment>/runs/run_*/run_manifest.json and related artifacts","run/manifest","active","Ground truth evidence identity and reproducibility data for each run","run execution produces run_root artifacts","run_manifest.json, config_snapshot.m, run_notes.txt, optional observables.csv","docs/run_system.md","tools/load_run_manifest.m","Per-run metadata is the evidence source for higher layers."
"Run Discovery Utilities (manifest-driven)","tools/list_runs.m; tools/load_run_manifest.m; tools/getLatestRun.m","registry/util","partially active","Enumerate runs and extract manifest metadata via filesystem scanning","results/*/runs/*","MATLAB tables of run metadata","tools/list_runs.m usage","tools/list_runs.m","docs/run_system.md mentions run_index.csv/latest_run.txt but those files are not found here."
"Observable Registry & Naming Policy","docs/observables/observable_registry.md; docs/observable_naming.md","knowledge/registry","active","Canonical observable vocabulary and physical-name policy (legacy compatibility)","none","documentation + mappings","docs/observable_naming.md","docs/context_bundle_full.json (via state semantics)","Physical names used in reports; legacy code/CSV remains unchanged."
"Observable Exchange Layer (observables.csv)","tools/export_observables.m; tools/load_observables.m","metadata/exchange","active","Standardize run-root observables.csv schema and aggregate across runs","tables with columns: experiment/sample/temperature/observable/value/units","run root observables.csv; aggregated multi-run table via load_observables","docs/results_system.md (observables.csv policy)","tools/export_observables.m; tools/load_observables.m","Acts as a bridge to build cross-run knowledge products."
"Run Review Manifests (intended)","tools/run_review/generate_run_review_manifests.m; results/**/run_review.json","review/manifest","partially active","Mark each run as approved/pending/etc based on presence of reports (and legacy heuristic)","results/*/runs run directories","run_review.json per run (expected)","tools/run_review/generate_run_review_manifests.m","tools/survey_builder/build_rolling_surveys.m","In this workspace, results/**/run_review.json was not found; rolling surveys exist but regeneration may be blocked."
"Survey Registry & Rolling Surveys","surveys/registry.json; surveys/*/rolling_survey.md","knowledge/surveys","partially active","Claim-aware rolling synthesis of supported/pending/eligible runs","surveys/registry.json + claims/*.json + run review manifests (intended)","surveys/*/rolling_survey.md","surveys/*/rolling_survey.md","tools/survey_builder/build_rolling_surveys.m","Rolling surveys exist now; run_review.json missing here suggests regeneration may require recreating run reviews."
"Reporting Layer (evidence narratives)","results/*/runs/*/reports/*.md and reports/*.md","reporting","active","Human-readable evidence narratives and global synthesis reports","run analyses","report markdown + run narrative artifacts","results/*/runs/*/reports","snapshot_scientific_v3/50_reports_knowledge/report_index.json","Snapshot smart layer uses an index mapping report_id->path."
