"run_id","experiment","run_rel_path","tables_csv","reports_md","snapshot_source_run_path","snapshot_runpack_path","snapshot_analysis_ids","snapshot_report_ids","snapshot_has_entry","resolution_method"
"run_2026_03_09_014130_MG119_3sec","aging","results\aging\runs\run_2026_03_09_014130_MG119_3sec","","","","","","","0",""
"run_2026_03_09_124648_geometry_visualization","aging","results\aging\runs\run_2026_03_09_124648_geometry_visualization","","","","","","","0",""
"run_2026_03_09_130918_geometry_visualization","aging","results\aging\runs\run_2026_03_09_130918_geometry_visualization","","","","","","","0",""
"run_2026_03_09_132236_switching_alignment_audit","switching","results\switching\runs\run_2026_03_09_132236_switching_alignment_audit","tables/observables.csv","reports/switching_observable_export_audit_report.md","","","","","0",""
"run_2026_03_09_140848_geometry_visualization","aging","results\aging\runs\run_2026_03_09_140848_geometry_visualization","","","","","","","0",""
"run_2026_03_09_141041_switching_alignment_audit","switching","results\switching\runs\run_2026_03_09_141041_switching_alignment_audit","tables/observables.csv;tables/switching_alignment_svd_singular_values.csv","reports/switching_observable_layer_final_audit_report.md","","","","","0",""
"run_2026_03_09_141328_geometry_visualization","aging","results\aging\runs\run_2026_03_09_141328_geometry_visualization","","","","","","","0",""
"run_2026_03_09_145524_switching_alignment_audit","switching","results\switching\runs\run_2026_03_09_145524_switching_alignment_audit","tables/observables.csv;tables/switching_alignment_mode_observable_correlations.csv;tables/switching_alignment_svd_singular_values.csv","reports/switching_data_preservation_audit_report.md","","","","","0",""
"run_2026_03_09_205312_derivative_smoothing","relaxation","results\relaxation\runs\run_2026_03_09_205312_derivative_smoothing","","reports/analysis_summary_relaxation_derivative_smoothing.md","","","","","0",""
"run_2026_03_09_205525_helper_adoption","repository_audit","results\repository_audit\runs\run_2026_03_09_205525_helper_adoption","","reports/helper_adoption_report.md","","","","","0",""
"run_2026_03_09_212439_repository_compliance_audit","repository_audit","results\repository_audit\runs\run_2026_03_09_212439_repository_compliance_audit","tables/archive_placement_findings.csv;tables/documentation_drift_findings.csv;tables/helper_usage_candidates.csv;tables/results_system_violations.csv;tables/run_context_usage.csv;tables/run_structure_findings.csv","reports/repository_compliance_report.md","","","","","0",""
"run_2026_03_09_213137_repository_duplication_survey","repository_audit","results\repository_audit\runs\run_2026_03_09_213137_repository_duplication_survey","tables/duplicate_utilities.csv;tables/naming_inconsistencies.csv;tables/overlapping_scripts.csv;tables/unused_helpers.csv","reports/repository_duplication_report.md","","","","","0",""
"run_2026_03_09_221205_switching_helper_refactor","repository_audit","results\repository_audit\runs\run_2026_03_09_221205_switching_helper_refactor","","reports/switching_helper_refactor_report.md","","","","","0",""
"run_2026_03_09_222702_alignment_audit","switching","results\switching\runs\run_2026_03_09_222702_alignment_audit","","","","","","","0",""
"run_2026_03_09_223621_mechanism_survey","switching","results\switching\runs\run_2026_03_09_223621_mechanism_survey","","","","","","","0",""
"run_2026_03_09_224017_mechanism_followup","switching","results\switching\runs\run_2026_03_09_224017_mechanism_followup","","","","","","","0",""
"run_2026_03_09_224359_mode23_analysis","switching","results\switching\runs\run_2026_03_09_224359_mode23_analysis","","","","","","","0",""
"run_2026_03_09_224738_observable_basis_test","switching","results\switching\runs\run_2026_03_09_224738_observable_basis_test","","","","","","","0",""
"run_2026_03_09_225131_second_coordinate_duel","switching","results\switching\runs\run_2026_03_09_225131_second_coordinate_duel","","","","","","","0",""
"run_2026_03_09_225513_second_observable_search","switching","results\switching\runs\run_2026_03_09_225513_second_observable_search","","","","","","","0",""
"run_2026_03_09_225929_shape_rank_analysis","switching","results\switching\runs\run_2026_03_09_225929_shape_rank_analysis","","","","","","","0",""
"run_2026_03_09_230048_XI_Xshape_analysis","switching","results\switching\runs\run_2026_03_09_230048_XI_Xshape_analysis","","","","","","","0",""
"run_2026_03_09_999999_helper_layout_smoke","repository_audit","results\repository_audit\runs\run_2026_03_09_999999_helper_layout_smoke","tables/layout_smoke_table.csv","reports/layout_smoke_report.md","","","","","0",""
"run_2026_03_10_014001_coordinate_audit","relaxation","results\relaxation\runs\run_2026_03_10_014001_coordinate_audit","tables/relaxation_coordinate_metric_map.csv","reports/relaxation_coordinate_audit.md","","","","","0",""
"run_2026_03_10_015246_coordinate_extraction","relaxation","results\relaxation\runs\run_2026_03_10_015246_coordinate_extraction","tables/coordinates_relaxation.csv","reports/relaxation_coordinate_extraction.md","","","","","0",""
"run_2026_03_10_073818_svd_audit","relaxation","results\relaxation\runs\run_2026_03_10_073818_svd_audit","tables/svd_spectrum.csv;tables/svd_spectrum_S.csv","","","","","","0",""
"run_2026_03_10_074713_svd_audit","relaxation","results\relaxation\runs\run_2026_03_10_074713_svd_audit","tables/svd_spectrum.csv;tables/svd_spectrum_S.csv","","","","","","0",""
"run_2026_03_10_102734_svd_audit","relaxation","results\relaxation\runs\run_2026_03_10_102734_svd_audit","tables/svd_spectrum.csv;tables/svd_spectrum_S.csv","","","","","","0",""
"run_2026_03_10_103044_svd_audit","relaxation","results\relaxation\runs\run_2026_03_10_103044_svd_audit","tables/svd_spectrum.csv;tables/svd_spectrum_S.csv","","","","","","0",""
"run_2026_03_10_103713_svd_audit","relaxation","results\relaxation\runs\run_2026_03_10_103713_svd_audit","tables/svd_spectrum.csv;tables/svd_spectrum_S.csv","reports/relaxation_svd_audit.md","","","","","0",""
"run_2026_03_10_112659_alignment_audit","switching","results\switching\runs\run_2026_03_10_112659_alignment_audit","","","","","","","0",""
"run_2026_03_10_112842_geometry_visualization","aging","results\aging\runs\run_2026_03_10_112842_geometry_visualization","","","","","","","0",""
"run_2026_03_10_113434_svd_audit","relaxation","results\relaxation\runs\run_2026_03_10_113434_svd_audit","tables/svd_spectrum.csv;tables/svd_spectrum_S.csv","","","","","","0",""
"run_2026_03_10_114441_svd_audit","relaxation","results\relaxation\runs\run_2026_03_10_114441_svd_audit","tables/reconstruction_error_summary.csv;tables/svd_spectrum.csv;tables/svd_spectrum_S.csv","reports/relaxation_svd_audit.md","","","","","0",""
