"function_name","count","locations"
"unique_name","10","General ver2\figureSaving\save_figs.m:81 ; General ver2\figureSaving\save_figs_and_JPEG.m:76 ; General ver2\figureSaving\save_figs_and_JPEG_with_new_folder.m:98 ; General ver2\figureSaving\save_figs_with_new_folder.m:87 ; General ver2\figureSaving\save_JPEG.m:75 ; General ver2\figureSaving\save_JPEG_with_new_folder.m:94 ; General ver2\figureSaving\save_PDF.m:90 ; General ver2\figureSaving\save_PDF_with_new_folder.m:96 ; General ver2\figureSaving\save_PNG.m:74 ; General ver2\figureSaving\save_PNG_with_new_folder.m:106"
"setDef","8","Relaxation ver3\analyzeRelaxationAdvanced.m:248 ; Relaxation ver3\diagnostics\analyze_relaxation_derivative_smoothing.m:656 ; Relaxation ver3\diagnostics\relaxation_corrected_geometry_analysis.m:539 ; Relaxation ver3\diagnostics\render_relaxation_derivative_interpretable.m:565 ; Relaxation ver3\diagnostics\survey_relaxation_observables.m:196 ; Relaxation ver3\diagnostics\validate_relaxation_band_boundaries.m:590 ; Relaxation ver3\diagnostics\visualize_relaxation_band_maps.m:362 ; Relaxation ver3\diagnostics\visualize_relaxation_geometry.m:223"
"getScalarOrNaN","7","Aging\diagnostics\auditDecompositionStability.m:482 ; Aging\diagnostics\diagnose_baseline_subtracted_FM.m:248 ; Aging\diagnostics\diagnose_decomposition_audit_waittimes.m:295 ; Aging\diagnostics\diagnose_decomposition_audit_waittimes_clean.m:236 ; Aging\diagnostics\diagnose_deltaM_svd_pca.m:579 ; Aging\diagnostics\diagnose_fit_vs_derivative_audit.m:287 ; Aging\diagnostics\diagnose_FM_construction_audit.m:402"
"makeSafeFilename","7","Fitting ver1\fit_script_sin2.m:236 ; Fitting ver1\fit_script_sin3.m:252 ; Fitting ver1\fit_script_sin4.m:135 ; Fitting ver1\fit_script_sin5.m:156 ; Fitting ver1\fit_sinxsin.m:175 ; Fitting ver1\fitSin2Folding.m:160 ; Fitting ver1\TwoSinMult.m:174"
"clean_and_clip_segments","6","zfAMR ver11\plots\plot_extracted_cooling_segments.m:183 ; zfAMR ver11\plots\plot_extracted_warming_segments.m:218 ; zfAMR ver11\plots\plot_founded_angle_segments.m:134 ; zfAMR ver11\plots\plot_founded_decreasing_temperature_segments.m:92 ; zfAMR ver11\plots\plot_founded_field_segments.m:134 ; zfAMR ver11\plots\plot_founded_increasing_temperature_segments.m:94"
"getFieldOrNaN","6","Aging\analysis\aging_geometry_visualization.m:526 ; Aging\analysis\debugAgingStage4.m:327 ; Aging\verification\verifyRobustBaseline_RealData.m:620 ; Aging\verification\verifyRobustBaseline_Simple.m:407 ; Aging\verification\verifyRobustBaseline_WithLogging.m:456 ; Relaxation ver3\aging_geometry_visualization.m:498"
"parseNominalTemp","6","Relaxation ver3\diagnostics\analyze_relaxation_derivative_smoothing.m:385 ; Relaxation ver3\diagnostics\relaxation_corrected_geometry_analysis.m:525 ; Relaxation ver3\diagnostics\survey_relaxation_observables.m:203 ; Relaxation ver3\diagnostics\validate_relaxation_band_boundaries.m:597 ; Relaxation ver3\diagnostics\visualize_relaxation_band_maps.m:369 ; Relaxation ver3\diagnostics\visualize_relaxation_geometry.m:230"
"getFieldOrDefault","5","Aging\tests\testDipBaselinePR.m:179 ; Aging\verification\verifyRobustBaseline_RealData.m:628 ; Aging\verification\verifyRobustBaseline_RealData_Main.m:514 ; Aging\verification\verifyRobustBaseline_Simple.m:415 ; Aging\verification\verifyRobustBaseline_WithLogging.m:464"
"clampWindow","4","Aging\diagnostics\diagnose_decomposition_audit_waittimes.m:354 ; Aging\diagnostics\diagnose_decomposition_audit_waittimes_clean.m:284 ; Aging\diagnostics\diagnose_FM_construction_audit.m:458 ; Aging\models\analyzeAFM_FM_components.m:526"
"plotHeat","4","Switching\analysis\switching_observable_basis_test.m:561 ; Switching\analysis\switching_second_coordinate_duel.m:689 ; Switching\analysis\switching_second_structural_observable_search.m:692 ; Switching\analysis\switching_shape_rank_analysis.m:423"
"findRuns","4","Relaxation ver3\diagnostics\analyze_relaxation_derivative_smoothing.m:378 ; Relaxation ver3\diagnostics\relaxation_corrected_geometry_analysis.m:379 ; Relaxation ver3\diagnostics\validate_relaxation_band_boundaries.m:583 ; Relaxation ver3\diagnostics\visualize_relaxation_band_maps.m:303"
"plotResidual","4","Switching\analysis\switching_observable_basis_test.m:574 ; Switching\analysis\switching_second_coordinate_duel.m:702 ; Switching\analysis\switching_second_structural_observable_search.m:705 ; Switching\analysis\switching_shape_rank_analysis.m:439"
"getFieldOrEmpty","4","Aging\diagnostics\diagnose_decomposition_audit_waittimes.m:287 ; Aging\diagnostics\diagnose_decomposition_audit_waittimes_clean.m:228 ; Aging\diagnostics\diagnose_fit_vs_derivative_audit.m:279 ; Aging\diagnostics\diagnose_FM_construction_audit.m:398"
"extractDeltaMCurve","4","Aging\analysis\aging_geometry_visualization.m:466 ; Aging\diagnostics\diagnose_deltaM_shifted_byTp_waittimes.m:171 ; Aging\diagnostics\diagnose_deltaM_svd_pca.m:563 ; Relaxation ver3\aging_geometry_visualization.m:415"
"ternary","4","Switching\analysis\switching_second_coordinate_duel.m:727 ; test_uifigure_fix.m:166 ; zfAMR ver11\plots\plot_R_vs_temp_field_at_angle.m:285 ; zfAMR ver11\plots\plot_zfAMR.m:183"
"i_getLogicalField","3","GUIs\FCS_applyColormap.m:60 ; GUIs\FCS_export.m:994 ; GUIs\FCS_resolveTargets.m:124"
"applyDiverging","3","Switching\analysis\switching_observable_basis_test.m:590 ; Switching\analysis\switching_second_coordinate_duel.m:718 ; Switching\analysis\switching_second_structural_observable_search.m:721"
"initSummaryRow","3","Aging\diagnostics\auditDecompositionStability.m:302 ; Switching\analysis\switching_mechanism_survey.m:661 ; Switching\analysis\switching_second_structural_observable_search.m:595"
"physChannelLabel","3","Switching ver12\createSwitchingStabilityFigure.m:212 ; Switching ver12\debugPlotGlobalPulseDrift_TimeAxis.m:101 ; Switching ver12\plotTotalBlockDriftVsDep_PulseResolved.m:138"
"cleanZero","3","Switching ver12\plots\plotFilteredCenteredData.m:146 ; Switching ver12\plots\plotFilteredData.m:142 ; Switching ver12\plots\plotUnfilteredData.m:187"
"intersectTol","3","Aging\analysis\aging_geometry_visualization.m:514 ; Aging\diagnostics\diagnose_deltaM_shifted_byTp_waittimes.m:200 ; Relaxation ver3\aging_geometry_visualization.m:463"
"initGeoRow","3","Switching\analysis\switching_observable_basis_test.m:517 ; Switching\analysis\switching_second_coordinate_duel.m:650 ; Switching\analysis\switching_second_structural_observable_search.m:650"
"calcJointEV","3","Switching\analysis\switching_observable_basis_test.m:429 ; Switching\analysis\switching_second_coordinate_duel.m:578 ; Switching\analysis\switching_second_structural_observable_search.m:578"
"calcR2","3","Switching\analysis\switching_observable_basis_test.m:412 ; Switching\analysis\switching_second_coordinate_duel.m:562 ; Switching\analysis\switching_second_structural_observable_search.m:562"
"froErr","3","Switching\analysis\switching_observable_basis_test.m:395 ; Switching\analysis\switching_second_coordinate_duel.m:595 ; Switching\analysis\switching_second_structural_observable_search.m:548"
"i_handleKey","3","General ver2\appearanceControl\publicationCore\normalizeAxesMargins.m:457 ; General ver2\appearanceControl\publicationCore\normalizeAxesMarginsUnified.m:703 ; GUIs\FCS_export.m:610"
"formatTpTag","3","Aging\diagnostics\diagnose_baseline_subtracted_FM.m:258 ; Aging\diagnostics\diagnose_deltaM_shifted_byTp_waittimes.m:212 ; Aging\diagnostics\diagnose_fit_vs_derivative_audit.m:311"
"pretty_label","3","zfAMR ver11\plots\plot_fcAMR_polar.m:167 ; zfAMR ver11\plots\plot_R_vs_temp_field_at_angle.m:224 ; zfAMR ver11\plots\pretty_label.m:1"
"plotMap","3","Relaxation ver3\diagnostics\analyze_relaxation_derivative_smoothing.m:488 ; Relaxation ver3\diagnostics\relaxation_corrected_geometry_analysis.m:415 ; Relaxation ver3\diagnostics\visualize_relaxation_geometry.m:244"
"getPauseRunByTp","3","Aging\analysis\aging_geometry_visualization.m:454 ; Aging\diagnostics\diagnose_deltaM_shifted_byTp_waittimes.m:188 ; Relaxation ver3\aging_geometry_visualization.m:403"
"pickColors","3","Aging\diagnostics\diagnose_deltaM_shifted_byTp_waittimes.m:218 ; Aging\plotAgingMemory.m:217 ; Aging\plots\plotAgingMemory.m:247"
