observable,temperature,GroupCount,value_mean
I_peak,4,2,35
I_peak,6,2,35
I_peak,8,2,35
I_peak,10,2,35
I_peak,12,2,35
I_peak,14,2,35
I_peak,16,2,35
I_peak,18,2,35
I_peak,20,2,35
I_peak,22,2,30
I_peak,24,2,30
I_peak,26,2,30
I_peak,28,2,25
I_peak,30,2,20
I_peak,32,2,15
I_peak,34,2,30
S_peak,4,2,0.349600045040287
S_peak,6,2,0.341950817738385
S_peak,8,2,0.311011499245369
S_peak,10,2,0.265625424732821
S_peak,12,2,0.232986037937288
S_peak,14,2,0.192544819951381
S_peak,16,2,0.162443432649134
S_peak,18,2,0.142095227831458
S_peak,20,2,0.118297407736058
S_peak,22,2,0.0848252860423066
S_peak,24,2,0.0930645821294685
S_peak,26,2,0.0732255508855988
S_peak,28,2,0.0809671274875996
S_peak,30,2,0.0879097809338481
S_peak,32,2,0.0695147785421419
S_peak,34,2,0.00111194952316543
asym,4,2,0.816973380867397
asym,6,2,0.72495392053985
asym,8,2,0.583093446526976
asym,10,2,0.505970145111638
asym,12,2,0.532572454300606
asym,14,2,0.553530449142556
asym,16,2,0.499649554266865
asym,18,2,0.421296726713399
asym,20,2,0.316520064232563
asym,22,2,3.75656233130824
asym,24,2,1.91457763737692
asym,26,2,0.709846919036628
asym,28,2,1.68164124189188
asym,34,2,3.08312484040489
halfwidth_diff_norm,4,2,0.333333333333333
halfwidth_diff_norm,6,2,0.333333333333333
halfwidth_diff_norm,8,2,0.333333333333333
halfwidth_diff_norm,10,2,0.333333333333333
halfwidth_diff_norm,12,2,-1
halfwidth_diff_norm,14,2,-1
halfwidth_diff_norm,16,2,-1
halfwidth_diff_norm,18,2,-1
halfwidth_diff_norm,20,2,-1
halfwidth_diff_norm,22,2,0
halfwidth_diff_norm,24,2,0
halfwidth_diff_norm,26,2,-1
halfwidth_diff_norm,28,2,-1
width_I,4,2,15
width_I,6,2,15
width_I,8,2,15
width_I,10,2,15
width_I,12,2,5
width_I,14,2,5
width_I,16,2,5
width_I,18,2,5
width_I,20,2,5
width_I,22,2,10
width_I,24,2,10
width_I,26,2,5
width_I,28,2,5
