key,value
AGING_BASELINE_TAU_SIDECAR_WRITER_COMPLETE,YES
DIP_TAU_WRITER_UPDATED,YES
FM_TAU_WRITER_UPDATED,YES
DIP_SIDECAR_CONTRACT_DEFINED,YES
FM_SIDECAR_CONTRACT_DEFINED,YES
NUMERICAL_TAU_LOGIC_CHANGED,NO
EXISTING_OUTPUT_COLUMNS_RENAMED,NO
RATIO_CODE_CHANGED,NO
MATLAB_RUN,NO
PYTHON_RUN,NO
REPLAY_RUN,NO
TAU_COMPUTED,NO
RATIO_COMPUTED,NO
DIP_SIDECAR_EMITTED_OR_STATIC_READY,STATIC_READY
FM_SIDECAR_EMITTED_OR_STATIC_READY,STATIC_READY
SOURCE_RUN_UNRESOLVED_ALLOWED_WITH_DISCLOSURE,YES
READY_FOR_BASELINE_TAU_EXTRACTION,PARTIAL
READY_FOR_RATIO_REENTRY,PARTIAL
READY_FOR_ARCHIVE_COMMIT,YES
RECOMMENDED_NEXT_ACTION,Run tools/run_matlab_safe.bat on each writer when consolidation dataset and FM prerequisites exist; confirm tables/tau_*_sidecar.csv appear beside tau CSVs
