Tp,tw,FM_signed_direct_TrackB_sign_aligned,source_run_TrackB,finite_fm_signed,F3b_domain_eligible,candidate_namespace
18,3,5.93349215287068e-07,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec,YES,YES,tau_FM_physical_canon_replay
18,36,1.78979578802416e-07,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,YES,YES,tau_FM_physical_canon_replay
18,360,-2.13307781340364e-06,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,YES,YES,tau_FM_physical_canon_replay
18,3600,-8.77517129158269e-08,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,YES,YES,tau_FM_physical_canon_replay
22,3,1.94428480485198e-07,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec,YES,YES,tau_FM_physical_canon_replay
22,36,3.47345541082714e-07,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,YES,YES,tau_FM_physical_canon_replay
22,360,7.08380502820365e-08,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,YES,YES,tau_FM_physical_canon_replay
22,3600,1.27269122876671e-06,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,YES,YES,tau_FM_physical_canon_replay
26,3,6.01447161069129e-07,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec,YES,YES,tau_FM_physical_canon_replay
26,36,7.32640312217379e-07,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,YES,YES,tau_FM_physical_canon_replay
26,360,8.86181574951173e-07,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,YES,YES,tau_FM_physical_canon_replay
26,3600,2.07427201171414e-06,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,YES,YES,tau_FM_physical_canon_replay
30,3,NaN,,NO,YES,tau_FM_physical_canon_replay
30,36,8.44001163675723e-07,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,YES,YES,tau_FM_physical_canon_replay
30,360,9.80804986271369e-07,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,YES,YES,tau_FM_physical_canon_replay
30,3600,2.0014423840081e-06,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,YES,YES,tau_FM_physical_canon_replay
