dimension_id,dimension_name,why_needed,allowed_values_observed,example_from_repo,recommended_include_in_display_name,recommended_include_in_machine_id,notes
DIM_COMPONENT_ROLE,component_role,"Disambiguate dip-sector vs FM-sector vs ratio vs summary","AFM_DIP|FM|OTHER|RATIO|SUMMARY","F7W schema component_role; F7V C_DIP_DEPTH_B AFM_DIP","YES","YES","Pairing policy keys off role"
DIM_SOURCE_FIELD,source_field,"Same display name can map to different pauseRuns fields","Dip_depth|FM_abs|AFM_like|FM_like|Dip_area_selected|FM_E|dip_signed","docs/aging_measurement_definition_freeze.md","YES","YES","Export column vs pauseRuns field must be distinguishable"
DIM_DECOMP_CLASS,decomposition_class,"Track A vs Track B vs consolidation-only vs downstream","DIRECT|DERIVATIVE|EXTREMA|FIT|CONSOL_EXPORT|DOWNSTREAM_RATIO|MATERIALIZATION|DIAGNOSTIC","F7U DP_* paths; F7W fit_direct_class","YES","YES","Answers what family produced the scalar"
DIM_DECOMP_METHOD,decomposition_method,"Finer than class: which producer path instance","analyzeAFM_FM_components|stage5_fitFMGaussian|stage6_extractMetrics|consolidation|bridge_long","stage4_analyzeAFM_FM.m switch on cfg.agingMetricMode","PARTIAL long form","YES","Machine id can use opaque path id plus producer token"
DIM_SIGN_MAG_POLICY,sign_or_magnitude_policy,"FM_abs vs FM_signed vs FM_step_mag signed semantics","SIGNED_ONLY|ABS_ONLY|SIGNED_PLUS_ABS|UNKNOWN|FIT_MAGNITUDE_NA","aging_F7J_FM_short_tw_sign_policy_audit.csv","YES when FM-related","YES","Prevents reversal claims from wrong surface"
DIM_SCALAR_TYPE,scalar_type,"Area vs depth vs plateau step vs energy window","DEPTH|AMPLITUDE|AREA|ENERGY|PLATEAU_STEP|SUMMARY_SCALAR","F7W future_bridge schema scalar_type","YES for cross-track compare","YES","F7V scalar_type_match gates"
DIM_GRAIN_GRID,grain_grid,"Tw curve per Tp vs per-Tp summary only","TW_CURVE_PER_TP|PER_TP_SUMMARY_ONLY|MIXED","F7U grid_type; F7W GR_SUMMARY_AS_TW_CURVE guardrail","YES when tau eligibility differs","YES","Tau readers assume curve grain"
DIM_TAU_STATUS,tau_status,"Whether tau is defined downstream for this stream","NO_TAU|TAU_DEFINED_DOWNSTREAM|TAU_PARTIAL_METADATA|UNKNOWN","F7V tau_readiness_by_component_path.csv","YES for tau-facing labels","PARTIAL","Display can say not-computed-here"
DIM_TAU_METHOD,tau_method,"If tau exists which family","CURVEFIT_DIP|CURVEFIT_FM|RESCALING_OPT|CLOCK_RATIO|LEGACY_SLOPE|NONE","aging_F7J_tau_method_inventory.csv","YES when row is tau output","YES","Separates tau artifact from decomposition scalar"
DIM_PRODUCER_FAMILY,producer_family,"Script or pipeline stage cluster","STAGE4_ORCH|STAGE5_FIT|STAGE6_SUMMARY|STRUCTURED_EXPORT|CONSOL_SCRIPT|TAU_SCRIPT|CLOCK_SCRIPT|F7X_BRIDGE","docs/aging_observable_branch_router.md","PARTIAL","YES","Operational traceability"
DIM_SOURCE_ARTIFACT,source_artifact,"File or table name for joins","observable_matrix.csv|aging_observable_dataset.csv|tau_vs_Tp.csv|tau_FM_vs_Tp.csv","F7X_bridge_component_long source_artifact","OPTIONAL short token","YES","Long paths as metadata not display"
DIM_LINEAGE_STATUS,lineage_status,"Whether cfg manifest and pointers complete","COMPLETE|PARTIAL|MISSING|non_canonical_pending_lineage","F7G metadata strings in tau writers","OPTIONAL","YES","Blocks ratio robustness when MISSING"
