field_name,required_for,level,current_status,required_action,blocks_model_use,blocks_R_age_or_clock_ratio,notes
branch_id,tau_FM lineage traceability,run_row,MACHINE_READABLE_VIA_LOG_NOT_IN_TAU_CSV,"Add column per row OR bind via run_manifest branch_id",YES,YES,F7Q traced triple in log only.
datasetPath,input FM_abs identity,run_row,NOT_IN_F7G_COLUMNS,"Embed string or hash per row OR sidecar manifest",YES,YES,
dipTauPath,pairing audit trail,run_row,NOT_IN_F7G_COLUMNS,same,YES,YES,
failedDipClockMetricsPath,auxiliary lineage,run_row,NOT_IN_F7G_COLUMNS,same,CONDITIONAL,CONDITIONAL,
source_run_id,dataset row provenance,row,PARTIAL source_run column exists,"Keep source_run; add optional normalized source_run_id if multi",PARTIAL,PARTIAL,
source_writer_script,F7G contract,row,YES,replicated OK,NO,NO,
writer_family_id,F7G contract,row,YES,NO,NO,
tau_or_R_flag,F7G contract,row,YES,NO,NO,
tau_domain,F7G contract,row,YES,NO,NO,
FM_abs_convention,semantic closure,dataset_policy,OPEN_PARTIAL,"Document contract + optional column literal ABS_FROM_COLUMN_AS_READ",YES,YES,
FM_input_column,identity,run_row,JSON literal FM_abs only,"Explicit column name column recommended",PARTIAL,PARTIAL,
FM_signed_source_column,reconciliation,N_A optional,NOT_PRESENT_IF_APPLICABLE,"Add only if dataset supplies signed FM alongside FM_abs",CONDITIONAL,CONDITIONAL,
absolute_transform_applied_in_writer,code truth,run_row,NO_FALSE_ABS_CALL_IN_CODE,"Emit explicit FALSE unless code gains abs()",YES,YES,
model_use_allowed,governance,row,YES global duplicate,replaced by row_model_use_allowed after hardening,YES,YES,
ratio_use_allowed,governance,row,MISSING,"Add ratio_use_allowed row OR derive from row flags",YES,YES,
row_model_use_allowed,eligibility,row,MISSING,"TRUE only if has_fm finite tau passes governance",YES,YES,
row_ratio_use_allowed,eligibility,row,MISSING,stricter than model when policy demands,YES,YES,
row_exclusion_reason,auditability,row,MISSING,text enum when row use false,YES,YES,
lineage_status,governance,row,YES OPEN,revisit after hardening,NO,NO,
canonical_status,governance,row,YES pending,NO,NO,
