verdict_key,verdict_value
F7V_ALIGNMENT_CHARTER_COMPLETE,YES
F7V_RATIO_EXECUTED,NO
F7V_TAU_EXTRACTION_RUN,NO
F7V_DECOMPOSITION_RERUN,NO
F7V_PHYSICS_CLAIMS_MADE,NO
F7V_FIT_COMPONENTS_CLASSIFIED,YES
F7V_DIRECT_COMPONENTS_CLASSIFIED,YES
F7V_COMPONENT_SEMANTICS_DEFINED,PARTIAL
F7V_FORBIDDEN_SUBSTITUTIONS_DEFINED,YES
F7V_FIT_DIRECT_DIRECTLY_COMPARABLE,NO
F7V_FIT_DIRECT_COMPARABLE_AFTER_BRIDGE,YES
F7V_BRIDGE_REQUIRED,YES
F7V_BRIDGE_IMPLEMENTED,NO
F7V_TAU_READINESS_ASSESSED,YES
F7V_MULTIPATH_RATIO_READY_NOW,NO
F7V_MULTIPATH_RATIO_READY_AFTER_BRIDGE,PARTIAL
F7V_BASELINE_F7T_RATIO_STILL_ALLOWED,YES_BASELINE_ONLY
F7V_READY_FOR_RATIO_EXECUTION,YES_BASELINE_ONLY
F7V_READY_FOR_MULTIPATH_ROBUSTNESS_EXECUTION,NO
F7V_SAFE_FOR_PHYSICS_CLAIMS,NO
F7V_NEXT_SAFE_STEP,COMMIT_F7V_CHARTER_ONLY_THEN_IMPLEMENT_BRIDGE_EXPORT_AND_OR_TRACK_A_TAU_CHARTER
