object_name,object_kind,definition_text,mathematical_definition_if_available,input_signal,background_or_baseline_definition,reference_level_or_subtraction_rule,window_definition,smoothing_policy,fit_model_if_any,sign_convention,normalization,extraction_rule,units_if_known,grain,join_keys,producer_script,producer_function,source_artifact_or_doc,definition_status,ambiguity_risk,allowed_use,notes
DeltaM,raw_signal,Pause minus no-pause magnetization difference on T grid,DeltaM_signed equals M_pause minus M_noPause when canonical path used,M_pause M_noPause,none for raw DeltaM,N/A,T_common grid,N/A,N/A,inherits measurement,N/A,pipeline stage3,Aging pipeline,stage3_computeDeltaM inferred,docs/aging_observable_branch_router.md,PARTIAL,MEDIUM,decomposition_component,DeltaM vs DeltaM_signed distinction in stage4
DeltaM_smooth,processed_signal,Smooth background estimate on same T grid as DeltaM,sgolay filtered interpolated dM_work,dM or dM_work,smooth FM-like background for splitting,sharp equals dM minus smooth,full curve then valid mask,sgolayfilt order 2 winPts from smoothWindow_K,N/A,N/A,N/A,analyzeAFM_FM_components loop,arbitrary,per_curve,waitK T_common,Aging/models/analyzeAFM_FM_components.m,analyzeAFM_FM_components,analyzeAFM_FM_components.m,EXPLICIT,LOW,decomposition_component,excludeLowT_FM optional
DeltaM_sharp,residual,Legacy-compatible sharp residual,dM_sharp equals dM minus dM_smooth,dM dM_smooth,residual after smooth subtract,subtract smooth,full T,N/A,N/A,signed relative to dM choice,N/A,same loop,arbitrary,per_curve,waitK T_common,Aging/models/analyzeAFM_FM_components.m,analyzeAFM_FM_components,same,EXPLICIT,MEDIUM,decomposition_component,May differ canonical dip_signed if dM not signed
background,background,Colloquial FM-like smooth term in direct family docs,DeltaM equals smooth plus dip narrative,deltaM on T,dM_smooth as background,N/A,global T,N/A,N/A,N/A,N/A,header comments only,arbitrary,per_curve,N/A,multiple producers,N/A,docs and analyzeAFM_FM_components headers,AMBIGUOUS,HIGH,diagnostic_only,Not a single field name
baseline,baseline,Plateau levels for FM step and diagnostic slopes,plateau means left right windows outside dip,deltaM in plateaus,plateau outside dip_window plus FM_buffer rules,computeFMFromBases difference,FM_plateau_K dip_window_K FM_buffer_K,N/A,N/A,signed for FM step,N/A,analyzeAFM_FM_components plateau path,arbitrary,per_curve,waitK,Aging/models/analyzeAFM_FM_components.m,analyzeAFM_FM_components computeFMFromBases,same,PARTIAL,HIGH,decomposition_component,Robust vs core variants
residual,residual,Sharp part after smooth or signed dip minus smooth,dip_signed equals DeltaM_signed minus dM_smooth,deltaM_signed dM_smooth,residual vs smooth background,subtract smooth,dip_window for metrics only,sgolay on smooth branch,N/A,signed dip,N/A,same,arbitrary,per_curve,waitK,Aging/models/analyzeAFM_FM_components.m,analyzeAFM_FM_components,same,EXPLICIT,MEDIUM,decomposition_component,Two residuals dM_sharp vs dip_signed
dip,decomposition_component,Generic AFM-like dip feature in direct docs,dip equals DeltaM minus DeltaM_smooth narrative,deltaM deltaM_smooth,smooth background,subtract smooth,dip_window for integration,N/A,N/A,signed dip via dip_signed,N/A,headers,arbitrary,per_curve,N/A,Aging/models/analyzeAFM_FM_components.m,N/A,headers,INFERRED,MEDIUM,diagnostic_only,Use dip_signed for explicit object
Dip_depth,processed_observable,Exported scalar dip depth contract column,may equal AFM_amp when orchestrator fills,AFM_amp or prior Dip_depth,stage4 residual height path,orchestrator assigns if empty,dip metric from dip_window in analyzer,N/A,N/A,unsigned depth style typically,N/A,stage4 then export,arbitrary,per_Tp_tw,Tp tw source_run,Aging/pipeline/stage4_analyzeAFM_FM.m,stage4_analyzeAFM_FM,docs/aging_measurement_definition_freeze.md,PARTIAL,MEDIUM,tau_input_candidate,Needs Dip_depth_source for full lineage
Dip_depth_source,diagnostic,String provenance for Dip_depth binding,afm_amp_residual or unset when filled,AFM_amp presence,N/A,N/A,N/A,N/A,N/A,N/A,N/A,orchestrator branch,none,per_curve,waitK,Aging/pipeline/stage4_analyzeAFM_FM.m,stage4_analyzeAFM_FM,same,EXPLICIT,LOW,diagnostic_only,Often missing in five-column export
dip_signed,decomposition_component,Canonical signed dip layer on T,dip_signed equals DeltaM_signed minus DeltaM_smooth,DeltaM_signed dM_smooth,DeltaM_smooth background,subtract smooth,dip_window for AFM metrics,sgolay smooth,N/A,signed,N/A,analyzeAFM_FM_components,arbitrary,per_curve,waitK T_common,Aging/models/analyzeAFM_FM_components.m,analyzeAFM_FM_components,same,EXPLICIT,LOW,decomposition_component,Not consolidation Dip_depth without mapping
