key,value
AGING_BASELINE_TAU_SIDECAR_WRITER_STATIC_REVIEW_COMPLETE,YES
ONLY_ALLOWED_CODE_FILES_EDITED,YES
SIDECAR_CALLS_AFTER_MAIN_SAVE,YES
NUMERICAL_TAU_LOGIC_CHANGED,NO
EXISTING_OUTPUT_COLUMNS_RENAMED,NO
RATIO_CODE_CHANGED,NO
HELPERS_LOCAL_AND_NONINVASIVE,YES
REQUIRED_SIDECAR_FIELDS_PRESENT,YES
MATLAB_CHECK_DESCRIBED_AS_STATIC_ONLY,YES
TAU_COMPUTED,NO
RATIO_COMPUTED,NO
READY_FOR_ARCHIVE_COMMIT,YES
RECOMMENDED_NEXT_ACTION,Archive commit the two tau scripts together with AGING-BASELINE-TAU-SIDECAR-WRITER-01 tables/report if not yet committed; optional full run_matlab_safe smoke run when dataset paths exist
