key,value
F7R_POLICY_PLAN_COMPLETE,YES
F7R_METADATA_HARDENING_SPEC_DEFINED,YES
F7R_FM_CONVENTION_POLICY_DEFINED,PARTIAL
F7R_ROW_USE_POLICY_DEFINED,YES
F7R_BRANCH_POLICY_DEFINED,YES
F7R_DIP_TAU_COMPATIBILITY_POLICY_DEFINED,YES
F7R_FAILED_CLOCK_POLICY_DEFINED,NEEDS_POLICY
F7R_CODE_HARDENING_TASKS_DEFINED,YES
F7R_TAU_FM_MODEL_USE_ALLOWED,NO_PENDING_HARDENING
F7R_R_AGE_OR_CLOCK_RATIO_READY,NO
F7R_F7S_POST_REPAIR_READINESS_AUDIT_DEFINED,YES
F7R_SAFE_FOR_PHYSICS_CLAIMS,NO
F7R_NEXT_SAFE_STEP,F7R_IMPLEMENT_METADATA_HARDENING
