Tp,tw,source_run_TrackB,raw_signed_fm_value,raw_signed_sign,raw_signed_finite,sidecar_signed_value,sidecar_signed_sign,sidecar_finite,source_artifact,source_column,contract_valid_in_F1b,contract_valid_reason
14,3,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec,9.80975321930083e-07,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
14,36,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,1.82340905309218e-06,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
14,360,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,-6.40037056358776e-07,NEG,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
14,3600,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,2.04702904491693e-06,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
18,3,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec,5.93349215287068e-07,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
18,36,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,1.78979578802416e-07,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
18,360,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,-2.13307781340364e-06,NEG,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,YES,FOUND_IN_F1B_SIGNED_EXPORT
18,3600,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,-8.77517129158269e-08,NEG,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,YES,FOUND_IN_F1B_SIGNED_EXPORT
22,3,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec,1.94428480485198e-07,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
22,36,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,3.47345541082714e-07,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
22,360,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,7.08380502820365e-08,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,YES,FOUND_IN_F1B_SIGNED_EXPORT
22,3600,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,1.27269122876671e-06,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,YES,FOUND_IN_F1B_SIGNED_EXPORT
26,3,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec,6.01447161069129e-07,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
26,36,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,7.32640312217379e-07,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
