verdict_key,verdict_value
F6H_PREFIT_SHAPE_AUDIT_COMPLETED,YES
LEGACY_PREFIT_DATA_FOUND,YES
CANONICAL_PREFIT_DATA_FOUND,YES
SHARED_TW_DOMAIN_EXISTS,YES
DIP_SHAPE_COMPATIBLE_UP_TO_SCALE,NO
FM_SHAPE_COMPATIBLE_UP_TO_SCALE,YES
DIP_TAU_MISMATCH_VISIBLE_PREFIT,YES
FM_TAU_MISMATCH_VISIBLE_PREFIT,NO
CANONICAL_26K_AFM_LATE_POINT_DOMINATED,YES
CANONICAL_26K_AFM_NONMONOTONIC,YES
LEGACY_26K_DIP_FAST_HALF_RISE,YES
FIT_MODEL_PRIMARY_CAUSE,YES
SIGNAL_SHAPE_PRIMARY_CAUSE,YES
DOMAIN_GATE_PRIMARY_CAUSE,NO
OLD_VALUES_USED_AS_CANONICAL_EVIDENCE,NO
NEW_TAU_FITTING_PERFORMED,NO
MECHANISM_VALIDATION_PERFORMED,NO
CROSS_MODULE_SYNTHESIS_PERFORMED,NO
READY_FOR_NEXT_ACTION,YES
