status_key,status_value,evidence,notes
F7X6_PARTIAL_NAMING_CONTRACT_DRAFT_COMPLETE,YES,"reports/aging/aging_F7X6_partial_naming_contract_draft.md","Draft 2026-05-03"
F7X6_FINAL_NAMING_CONTRACT_WRITTEN,NO,"F7X6 is partial only",""
F7X6_FINAL_NAMES_SELECTED,NO,"Candidates only in CSV",""
F7X6_ARTIFACTS_RENAMED,NO,"No renames in task",""
F7X6_CODE_REFACTORED,NO,"Text artifacts only",""
F7X6_MATLAB_RUN,NO,"",""
F7X6_PYTHON_RUN,NO,"",""
F7X6_REPLAY_RUN,NO,"",""
F7X6_TAU_EXTRACTION_RUN,NO,"",""
F7X6_RATIO_EXECUTED,NO,"",""
F7X6_PHYSICS_CLAIMS_MADE,NO,"Routing and naming structure only",""
F7X6_SWITCHING_TOUCHED,NO,"Aging paths only",""
F7X6_RELAXATION_TOUCHED,NO,"Aging paths only",""
F7X6_MT_TOUCHED,NO,"Aging paths only",""
F7X6_TRACK_LABELS_FORBIDDEN_AS_SEMANTIC_NAMES,YES,"aging_F7X6_partial_naming_rules.csv PN-011",""
F7X6_TAU_METADATA_REQUIRED_FOR_TAU_DISPLAY,YES,"PN-008 PN-009",""
F7X6_BRIDGE_QUALIFIER_REQUIRED_FOR_BRIDGE_COMPONENTS,YES,"PN-007",""
F7X6_BACKGROUND_BASELINE_RESIDUAL_QUALIFIER_REQUIRED,YES,"PN-012 aligns R-BG-001",""
F7X6_END_USER_CLARITY_CHECKLIST_WRITTEN,YES,"tables/aging/aging_F7X6_end_user_clarity_checklist.csv",""
F7X6_READY_FOR_FINAL_NAMING_CONTRACT,PARTIAL,"F7X5 open blockers B-001 through B-006 remain","Partial lanes only"
F7X6_READY_FOR_DOCS_PROMOTION,PARTIAL,"Internal annex ready; not final contract",""
F7X6_NEXT_SAFE_STEP,"RESOLVE_F7X5_BLOCKERS_THEN_DRAFT_FINAL_NAMING_OR_EXPAND_DEFINITION_CONTRACT","Inherited from F7X5 B-001..B-006","Prefer B-003 tau_effective bundle enforcement and B-004 bridge lineage"
