status_key,status_value,evidence,notes
F7X5_DEFINITION_CONTRACT_DRAFT_COMPLETE,YES,"reports/aging/aging_F7X5_definition_contract_draft.md","Partial draft 2026-05-03"
F7X5_PARTIAL_CONTRACT_ONLY,YES,"tables/aging/aging_F7X5_*","Explicit in status and report"
F7X5_NAMING_CONTRACT_WRITTEN,NO,"Not in scope",""
F7X5_FINAL_NAMES_SELECTED,NO,"Not in scope",""
F7X5_OBJECTS_RENAMED,NO,"Not in scope",""
F7X5_CODE_REFACTORED,NO,"Not in scope",""
F7X5_MATLAB_RUN,NO,"Not in scope",""
F7X5_PYTHON_RUN,NO,"Not in scope",""
F7X5_REPLAY_RUN,NO,"Not in scope",""
F7X5_TAU_EXTRACTION_RUN,NO,"Not in scope",""
F7X5_RATIO_EXECUTED,NO,"Not in scope",""
F7X5_PHYSICS_CLAIMS_MADE,NO,"Definitions routing only",""
F7X5_SWITCHING_TOUCHED,NO,"Aging-only new files",""
F7X5_RELAXATION_TOUCHED,NO,"Aging-only new files",""
F7X5_MT_TOUCHED,NO,"Aging-only new files",""
F7X5_BACKGROUND_BASELINE_STANDALONE_FORBIDDEN,YES,"aging_F7X5_definition_contract_rules.csv R-BG-001",""
F7X5_TAU_METADATA_GATE_DEFINED,YES,"aging_F7X5_definition_contract_rules.csv R-TAU-001",""
F7X5_BRIDGE_COMPONENTS_LIMITED_TO_BRIDGE_USE,YES,"aging_F7X5_contract_scope_matrix.csv",""
F7X5_TRACK_LABELS_DECLARED_INSUFFICIENT,YES,"aging_F7X5_forbidden_or_qualified_terms.csv",""
F7X5_READY_FOR_FINAL_NAMING_CONTRACT,NO,"aging_F7X5_open_blockers_before_naming_contract.csv non-empty","Blockers remain"
F7X5_READY_FOR_PARTIAL_NAMING_CONTRACT,YES,"Rules and scope matrix lock qualified lanes","Within F7X5 draft scope only"
F7X5_NEXT_SAFE_STEP,"RESOLVE_OPEN_BLOCKERS_THEN_DRAFT_FINAL_NAMING_CONTRACT_OR_EXPAND_DEFINITION_CONTRACT","tables/aging/aging_F7X5_open_blockers_before_naming_contract.csv",""
