verdict_key,value
F7C_REVIEW_RERUN_COMPLETED,YES
F7C_PATCH_SAFE_TO_COMMIT,YES
F7C_BOUNDARY_BLOCKER_RESOLVED,YES
PARSE_DATASET_WAIT_SECONDS_INTACT_VERIFIED,YES
SIDECAR_HELPER_IS_SIBLING_VERIFIED,YES
F7C_NUMERIC_LOGIC_UNCHANGED_VERIFIED,YES
F7C_NO_OBSERVABLE_RENAME_VERIFIED,YES
F7C_NO_FORMULA_CHANGE_VERIFIED,YES
F7C_NO_PREPROCESSING_CHANGE_VERIFIED,YES
F7C_NO_ROW_FILTER_CHANGE_VERIFIED,YES
F7C_NO_MERGE_KEY_CHANGE_VERIFIED,YES
F7C_SIDECAR_CODE_ADDITIVE_VERIFIED,YES
F7C_F7A_HELPER_USAGE_VERIFIED,YES
F7C_WRITER_FAMILY_ID_VERIFIED,YES
F7C_DIAGNOSTIC_ONLY_STATUS_VERIFIED,YES
F7C_PLAIN_DIP_DEPTH_UNSAFE_VERIFIED,YES
F7C_SMOKE_SCRIPT_SAFE_VERIFIED,YES
F7C_ARTIFACTS_CONSISTENT_VERIFIED,YES
F7C_SMOKE_RERUN_SUCCESS,YES
F7C_FULL_WRITER_NOT_VALIDATED,YES
NO_CODE_EDITED_IN_REVIEW_RERUN,YES
NO_FULL_STRUCTURED_EXPORT_RUN,YES
NO_MODEL_ANALYSIS_RUN,YES
NO_TAU_R_RECONSTRUCTION_RUN,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
