evidence_id,evidence_type,evidence_path,evidence_field,evidence_value,supports_fm_pathway_identity,supports_fm_component_definition,supports_fm_abs_meaning,supports_fm_extraction_method,supports_fm_tau_linkage,supports_independence_from_collapse_optimizer,supports_independence_from_oldfit_forensic,canonical_evidence_status,limitation
F03-E01,PRB01_REGISTRY,tables/aging/aging_prb01_pathway_registry.csv,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1 row,Consolidation FM_abs tw-curve tau; FM_abs vs tw; ABS_ONLY; buildEffectiveFmTau; dipTauPath in cfg,YES,YES,YES,YES,YES,YES,YES,COMMITTED_TABLE,Runner may reference Dip tau path; not a Dip branch edit
F03-E02,PRB03_INVENTORY,tables/aging/aging_prb03_tau_bundle_inventory.csv,TB_INV_BL_FM_TP14,pathway_id; FM_abs; producer_script; tau_method; output_artifact; sign disclosure ABS_ONLY,YES,YES,YES,YES,YES,YES,YES,COMMITTED_TABLE,Run-local absolute paths in row
F03-E03,PRB02B_LEDGER,tables/aging/aging_prb02b_f7v_bridge_ledger.csv,BL_FM_TP14,source_observable FM_abs; tau_method; source_artifact; source_dataset_id,YES,YES,YES,YES,YES,YES,YES,COMMITTED_TABLE,
F03-E04,SIGNAL_CHAIN_FM,tables/aging/aging_tau_decomposition_lineage_01_signal_chain.csv,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1 steps 1-5,consolidation magnitude column; fm_timescale_analysis; buildEffectiveFmTau; bundle,YES,YES,YES,YES,YES,YES,YES,COMMITTED_TABLE,F7Q/F7S absolute-value origin policy noted open in chain
F03-E05,DECOMP_LINEAGE_MD,reports/aging/aging_tau_decomposition_lineage_01.md,sections 5-9,baseline FM direct FM_abs; ABS_ONLY; curve-fit zoo; not collapse,YES,YES,YES,YES,YES,YES,YES,COMMITTED_REPORT,
F03-E06,SEMANTIC_NAMES,tables/aging/aging_tau_decomposition_lineage_01_semantic_names.csv,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,proposed_semantic_label CURVEFIT_HALF_RANGE_PRIMARY_TAU,YES,YES,PARTIAL,YES,YES,YES,YES,COMMITTED_TABLE,
F03-E07,PATHWAY_SUMMARY,tables/aging/aging_prb03_tau_bundle_pathway_summary.csv,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,dominant_blocker LINEAGE_METADATA_HARDENED_PENDING_F7S; WARN_LINEAGE_PARTIAL,YES,PARTIAL,YES,PARTIAL,YES,YES,YES,COMMITTED_TABLE,Documents remaining WARN after definition layer
F03-E08,COLLAPSE_CONTRAST,tables/aging/aging_tau_decomposition_lineage_01_signal_chain.csv,AGN_WF_CONSOL_DS_DIP_DEPTH_COLLAPSE_OPTIMIZER_V0,Dip_depth collapse optimizer distinct pathway,YES,NO,NO,NO,YES,YES,YES,COMMITTED_TABLE,
F03-E09,FORENSIC_CONTRAST,tables/aging/aging_prb03_tau_bundle_inventory.csv,TB_INV_FORENSIC_F6_NO_ROW_LEDGER,FORENSIC placeholder not baseline FM row,YES,NO,NO,NO,YES,YES,YES,COMMITTED_TABLE,
F03-E10,FIXPLAN_FM_BLOCKERS,tables/aging/aging_tau_canonicalization_fixplan_01_blocker_matrix.csv,FX12 FX14 FM rows,FM policy and branch blockers mapped to tasks,YES,YES,YES,YES,YES,YES,YES,COMMITTED_TABLE,Matrix cites run-local sidecar for hardened targets
F03-E11,FM_BLOCKERS_SURVEY,tables/aging/aging_tau_decomposition_lineage_01_blockers.csv,FM_B01 FM_B02,LINEAGE_POLICY and CONVENTION blockers for FM,YES,YES,YES,PARTIAL,PARTIAL,YES,YES,COMMITTED_TABLE,
