verdict_key,verdict_value
F6I_CONTROLLED_TAU_TEST_COMPLETED,YES
LEGACY_PROTOCOL_REIMPLEMENTED,YES
CANONICAL_PROTOCOL_REIMPLEMENTED,YES
NEW_TAU_FITTING_PERFORMED,YES
NEW_TAU_FITS_DIAGNOSTIC_ONLY,YES
OLD_VALUES_USED_AS_CANONICAL_EVIDENCE,NO
CANONICAL_VALUES_REPLACED,NO
DIP_GAP_PRIMARILY_SIGNAL,NO
DIP_GAP_PRIMARILY_PROTOCOL,YES
FM_GAP_PRIMARILY_SIGNAL,NO
FM_GAP_PRIMARILY_PROTOCOL,YES
OLD_26K_SPIKE_SURVIVES_CANONICAL_PROTOCOL,YES
CANONICAL_26K_AFM_LONG_TAU_SURVIVES_LEGACY_PROTOCOL,YES
EQUALIZING_PROTOCOL_REDUCES_DIP_GAP,NO
EQUALIZING_SIGNAL_REDUCES_FM_GAP,YES
PHYSICAL_INTERPRETATION_ALLOWED,NO
MECHANISM_VALIDATION_PERFORMED,NO
CROSS_MODULE_SYNTHESIS_PERFORMED,NO
READY_FOR_NEXT_ACTION,YES
