bundle_row_id,validator_version,bridge_row_id,bridge_version,pathway_id,pathway_family,source_artifact,source_run,source_dataset_id,Tp,tw,source_observable,component_definition,tau_value_field,tau_units,tau_domain,tau_method,tau_input_object,tau_input_axis,decomposition_method,producer_script,lineage_status,sign_or_magnitude_disclosure,grid_disclosure,output_artifact,row_identity_key,co_registered_group_id,row_identity_status,forensic_only,allowed_for_comparison,tau_bundle_status,comparison_eligibility,notes
TB_INV_BL_DIP_TP14,PRB03_V1,BL_DIP_TP14,PRB02B_V1,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp.csv,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,14,NOT_APPLICABLE_TP_SUMMARY_EXPORT,Dip_depth,Dip_depth scalar per Tp summary over tw curves,tau_effective_seconds,seconds,DIP_DEPTH_CURVEFIT,CURVEFIT_ZOO with buildConsensusTau per tau_vs_Tp_sidecar.csv,Dip_depth,tw,Stage4 structured export five-column consolidation reader with provenance in source_run (PRB01 registry row),Aging/analysis/aging_timescale_extraction.m,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,Dip_depth is a signed consolidation column; negative cells possible; disclose sign context when interpreting,GRID_DISCLOSURE_REF: Tp 30 and Tp 34 lack tw=3 versus Tp 14-26 per aging_dip_fm_tw_inventory_01 PARTIAL_GRID,tau_vs_Tp.csv,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_14_PRB02B,OK_LINEAGE_PARTIAL_REQUIRES_F7S,NO,CONDITIONAL,WARN_LINEAGE_PARTIAL,PARTIAL_PENDING_VALIDATION,Sidecar metadata present; lineage_status not COMPLETE; conservative blocking for authoritative multipath
TB_INV_BL_DIP_TP18,PRB03_V1,BL_DIP_TP18,PRB02B_V1,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp.csv,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,18,NOT_APPLICABLE_TP_SUMMARY_EXPORT,Dip_depth,Dip_depth scalar per Tp summary over tw curves,tau_effective_seconds,seconds,DIP_DEPTH_CURVEFIT,CURVEFIT_ZOO with buildConsensusTau per tau_vs_Tp_sidecar.csv,Dip_depth,tw,Stage4 structured export five-column consolidation reader with provenance in source_run (PRB01 registry row),Aging/analysis/aging_timescale_extraction.m,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,Dip_depth is a signed consolidation column; negative cells possible; disclose sign context when interpreting,GRID_DISCLOSURE_REF: Tp 30 and Tp 34 lack tw=3 versus Tp 14-26 per aging_dip_fm_tw_inventory_01 PARTIAL_GRID,tau_vs_Tp.csv,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_18_PRB02B,OK_LINEAGE_PARTIAL_REQUIRES_F7S,NO,CONDITIONAL,WARN_LINEAGE_PARTIAL,PARTIAL_PENDING_VALIDATION,Structurally identical tau-bundle metadata to TB_INV_BL_DIP_TP14 except Tp token
TB_INV_BL_DIP_TP22,PRB03_V1,BL_DIP_TP22,PRB02B_V1,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp.csv,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,22,NOT_APPLICABLE_TP_SUMMARY_EXPORT,Dip_depth,Dip_depth scalar per Tp summary over tw curves,tau_effective_seconds,seconds,DIP_DEPTH_CURVEFIT,CURVEFIT_ZOO with buildConsensusTau per tau_vs_Tp_sidecar.csv,Dip_depth,tw,Stage4 structured export five-column consolidation reader with provenance in source_run (PRB01 registry row),Aging/analysis/aging_timescale_extraction.m,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,Dip_depth is a signed consolidation column; negative cells possible; disclose sign context when interpreting,GRID_DISCLOSURE_REF: Tp 30 and Tp 34 lack tw=3 versus Tp 14-26 per aging_dip_fm_tw_inventory_01 PARTIAL_GRID,tau_vs_Tp.csv,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_22_PRB02B,OK_LINEAGE_PARTIAL_REQUIRES_F7S,NO,CONDITIONAL,WARN_LINEAGE_PARTIAL,PARTIAL_PENDING_VALIDATION,Structurally identical tau-bundle metadata to TB_INV_BL_DIP_TP14 except Tp token
TB_INV_BL_DIP_TP26,PRB03_V1,BL_DIP_TP26,PRB02B_V1,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp.csv,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,26,NOT_APPLICABLE_TP_SUMMARY_EXPORT,Dip_depth,Dip_depth scalar per Tp summary over tw curves,tau_effective_seconds,seconds,DIP_DEPTH_CURVEFIT,CURVEFIT_ZOO with buildConsensusTau per tau_vs_Tp_sidecar.csv,Dip_depth,tw,Stage4 structured export five-column consolidation reader with provenance in source_run (PRB01 registry row),Aging/analysis/aging_timescale_extraction.m,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,Dip_depth is a signed consolidation column; negative cells possible; disclose sign context when interpreting,GRID_DISCLOSURE_REF: Tp 30 and Tp 34 lack tw=3 versus Tp 14-26 per aging_dip_fm_tw_inventory_01 PARTIAL_GRID,tau_vs_Tp.csv,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_26_PRB02B,OK_LINEAGE_PARTIAL_REQUIRES_F7S,NO,CONDITIONAL,WARN_LINEAGE_PARTIAL,PARTIAL_PENDING_VALIDATION,Structurally identical tau-bundle metadata to TB_INV_BL_DIP_TP14 except Tp token
TB_INV_BL_DIP_TP30,PRB03_V1,BL_DIP_TP30,PRB02B_V1,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp.csv,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,30,NOT_APPLICABLE_TP_SUMMARY_EXPORT,Dip_depth,Dip_depth scalar per Tp summary over tw curves,tau_effective_seconds,seconds,DIP_DEPTH_CURVEFIT,CURVEFIT_ZOO with buildConsensusTau per tau_vs_Tp_sidecar.csv,Dip_depth,tw,Stage4 structured export five-column consolidation reader with provenance in source_run (PRB01 registry row),Aging/analysis/aging_timescale_extraction.m,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,Dip_depth is a signed consolidation column; negative cells possible; disclose sign context when interpreting,GRID_DISCLOSURE_REF: Tp 30 and Tp 34 lack tw=3 versus Tp 14-26 per aging_dip_fm_tw_inventory_01 PARTIAL_GRID,tau_vs_Tp.csv,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_30_PRB02B,OK_LINEAGE_PARTIAL_REQUIRES_F7S,NO,CONDITIONAL,WARN_LINEAGE_PARTIAL,PARTIAL_PENDING_VALIDATION,Structurally identical tau-bundle metadata to TB_INV_BL_DIP_TP14 except Tp token
TB_INV_BL_DIP_TP34,PRB03_V1,BL_DIP_TP34,PRB02B_V1,AGN_WF_CONSOL_DS_DIP_DEPTH_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_134220_aging_timescale_extraction/tables/tau_vs_Tp.csv,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,34,NOT_APPLICABLE_TP_SUMMARY_EXPORT,Dip_depth,Dip_depth scalar per Tp summary over tw curves,tau_effective_seconds,seconds,DIP_DEPTH_CURVEFIT,CURVEFIT_ZOO with buildConsensusTau per tau_vs_Tp_sidecar.csv,Dip_depth,tw,Stage4 structured export five-column consolidation reader with provenance in source_run (PRB01 registry row),Aging/analysis/aging_timescale_extraction.m,REQUIRES_DATASET_PATH_AND_DIP_BRANCH_RESOLUTION,Dip_depth is a signed consolidation column; negative cells possible; disclose sign context when interpreting,GRID_DISCLOSURE_REF: Tp 30 and Tp 34 lack tw=3 versus Tp 14-26 per aging_dip_fm_tw_inventory_01 PARTIAL_GRID,tau_vs_Tp.csv,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_34_PRB02B,OK_LINEAGE_PARTIAL_REQUIRES_F7S,NO,CONDITIONAL,WARN_LINEAGE_PARTIAL,PARTIAL_PENDING_VALIDATION,Structurally identical tau-bundle metadata to TB_INV_BL_DIP_TP14 except Tp token
TB_INV_BL_FM_TP14,PRB03_V1,BL_FM_TP14,PRB02B_V1,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp.csv,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,14,NOT_APPLICABLE_TP_SUMMARY_EXPORT,FM_abs,FM_abs magnitude per Tp summary over tw curves,tau_effective_seconds,seconds,FM_ABS_CURVEFIT,CURVEFIT_ZOO with buildEffectiveFmTau per tau_FM_vs_Tp_sidecar.csv,FM_abs,tw,Stage4 structured export five-column consolidation reader with paired Dip tau path in runner cfg (PRB01 registry row),Aging/analysis/aging_fm_timescale_analysis.m,LINEAGE_METADATA_HARDENED_PENDING_F7S,FM_abs ABS_ONLY magnitude collapsed from consolidation; not signed FM dynamics,GRID_DISCLOSURE_REF: Tp 30 and Tp 34 lack tw=3 versus Tp 14-26 per aging_dip_fm_tw_inventory_01 PARTIAL_GRID,tau_FM_vs_Tp.csv,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_14_PRB02B,OK_LINEAGE_PARTIAL_PENDING_F7S,NO,CONDITIONAL,WARN_LINEAGE_PARTIAL,PARTIAL_PENDING_VALIDATION,FM sidecar lineage pending F7S policy; conservative blocking for authoritative multipath
TB_INV_BL_FM_TP18,PRB03_V1,BL_FM_TP18,PRB02B_V1,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp.csv,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,18,NOT_APPLICABLE_TP_SUMMARY_EXPORT,FM_abs,FM_abs magnitude per Tp summary over tw curves,tau_effective_seconds,seconds,FM_ABS_CURVEFIT,CURVEFIT_ZOO with buildEffectiveFmTau per tau_FM_vs_Tp_sidecar.csv,FM_abs,tw,Stage4 structured export five-column consolidation reader with paired Dip tau path in runner cfg (PRB01 registry row),Aging/analysis/aging_fm_timescale_analysis.m,LINEAGE_METADATA_HARDENED_PENDING_F7S,FM_abs ABS_ONLY magnitude collapsed from consolidation; not signed FM dynamics,GRID_DISCLOSURE_REF: Tp 30 and Tp 34 lack tw=3 versus Tp 14-26 per aging_dip_fm_tw_inventory_01 PARTIAL_GRID,tau_FM_vs_Tp.csv,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_18_PRB02B,OK_LINEAGE_PARTIAL_PENDING_F7S,NO,CONDITIONAL,WARN_LINEAGE_PARTIAL,PARTIAL_PENDING_VALIDATION,Structurally identical tau-bundle metadata to TB_INV_BL_FM_TP14 except Tp token
TB_INV_BL_FM_TP22,PRB03_V1,BL_FM_TP22,PRB02B_V1,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp.csv,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,22,NOT_APPLICABLE_TP_SUMMARY_EXPORT,FM_abs,FM_abs magnitude per Tp summary over tw curves,tau_effective_seconds,seconds,FM_ABS_CURVEFIT,CURVEFIT_ZOO with buildEffectiveFmTau per tau_FM_vs_Tp_sidecar.csv,FM_abs,tw,Stage4 structured export five-column consolidation reader with paired Dip tau path in runner cfg (PRB01 registry row),Aging/analysis/aging_fm_timescale_analysis.m,LINEAGE_METADATA_HARDENED_PENDING_F7S,FM_abs ABS_ONLY magnitude collapsed from consolidation; not signed FM dynamics,GRID_DISCLOSURE_REF: Tp 30 and Tp 34 lack tw=3 versus Tp 14-26 per aging_dip_fm_tw_inventory_01 PARTIAL_GRID,tau_FM_vs_Tp.csv,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_22_PRB02B,OK_LINEAGE_PARTIAL_PENDING_F7S,NO,CONDITIONAL,WARN_LINEAGE_PARTIAL,PARTIAL_PENDING_VALIDATION,Structurally identical tau-bundle metadata to TB_INV_BL_FM_TP14 except Tp token
TB_INV_BL_FM_TP26,PRB03_V1,BL_FM_TP26,PRB02B_V1,AGN_WF_CONSOL_DS_FM_ABS_CURVEFIT_V1,CONSOLIDATION_CURVEFIT,c:/Dev/matlab-functions/results/aging/runs/run_2026_05_04_135134_aging_fm_timescale_analysis/tables/tau_FM_vs_Tp.csv,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_3sec | aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,c:/Dev/matlab-functions/tables/aging/aging_observable_dataset.csv,26,NOT_APPLICABLE_TP_SUMMARY_EXPORT,FM_abs,FM_abs magnitude per Tp summary over tw curves,tau_effective_seconds,seconds,FM_ABS_CURVEFIT,CURVEFIT_ZOO with buildEffectiveFmTau per tau_FM_vs_Tp_sidecar.csv,FM_abs,tw,Stage4 structured export five-column consolidation reader with paired Dip tau path in runner cfg (PRB01 registry row),Aging/analysis/aging_fm_timescale_analysis.m,LINEAGE_METADATA_HARDENED_PENDING_F7S,FM_abs ABS_ONLY magnitude collapsed from consolidation; not signed FM dynamics,GRID_DISCLOSURE_REF: Tp 30 and Tp 34 lack tw=3 versus Tp 14-26 per aging_dip_fm_tw_inventory_01 PARTIAL_GRID,tau_FM_vs_Tp.csv,ID_TAU_VS_TP_ROW,CO_REG_BASELINE_TP_26_PRB02B,OK_LINEAGE_PARTIAL_PENDING_F7S,NO,CONDITIONAL,WARN_LINEAGE_PARTIAL,PARTIAL_PENDING_VALIDATION,Structurally identical tau-bundle metadata to TB_INV_BL_FM_TP14 except Tp token
