Tp,tau_Dip_old,tau_Dip_archived_replay,tau_Dip_abs_diff,tau_Dip_rel_diff,tau_FM_old,tau_FM_archived_replay,tau_FM_abs_diff,tau_FM_rel_diff,R_old,R_archived_replay,R_abs_diff,R_rel_diff,old_tau_dip_match,old_tau_fm_match,old_R_match,tau_mismatch_reason,replay_class,canonical_evidence,provenance_status,phase_class,tau_Dip_archived_replay_old_gate,R_archived_replay_old_gate,old_vs_replay_tauDip_match_old_gate,old_vs_replay_R_match_old_gate,parity_scope
6,14.4121369972177,14.4121369972177,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YES,YES,YES,match,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,14.4121369972177,NaN,YES,YES,ALL_ROWS
10,5.13189711379032,5.13189711379032,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YES,YES,YES,match,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,5.13189711379032,NaN,YES,YES,ALL_ROWS
14,38.8497366752396,38.8497366752396,0,0,14.4525213495348,14.4525213495348,0,0,0.372010793029286,0.372010793029286,0,0,YES,YES,YES,match,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,38.8497366752396,0.372010793029286,YES,YES,ALL_ROWS
18,96.5193238979949,96.5193238979949,0,0,145.320972476775,145.320972476775,0,0,1.50561531730532,1.50561531730532,0,0,YES,YES,YES,match,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,96.5193238979949,1.50561531730532,YES,YES,ALL_ROWS
22,183.026329123301,183.026329123301,0,0,1281.50147352383,1281.50147352383,0,0,7.00173291822134,7.00173291822134,0,0,YES,YES,YES,match,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,183.026329123301,7.00173291822134,YES,YES,ALL_ROWS
26,9.39314322655396,9.39314322655396,0,0,863.920752533678,863.920752533678,0,0,91.9735525900868,91.9735525900868,0,0,YES,YES,YES,match,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,9.39314322655396,91.9735525900868,YES,YES,ALL_ROWS
30,NaN,18756954.7248547,NaN,NaN,975.626714166143,975.626714166143,0,0,NaN,5.20141317435366e-05,NaN,NaN,NO,YES,NO,tau_or_ratio_mismatch,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,NaN,NaN,YES,YES,ALL_ROWS
34,NaN,30314364.6886789,NaN,NaN,113.841995766062,113.841995766062,0,0,NaN,3.75538121729389e-06,NaN,NaN,NO,YES,NO,tau_or_ratio_mismatch,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,PHASE_EXCLUDED_DIAGNOSTIC_ONLY,NaN,NaN,YES,YES,ALL_ROWS
6,14.4121369972177,14.4121369972177,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YES,YES,YES,match,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,14.4121369972177,NaN,YES,YES,IN_PHASE_ONLY
10,5.13189711379032,5.13189711379032,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,YES,YES,YES,match,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,5.13189711379032,NaN,YES,YES,IN_PHASE_ONLY
14,38.8497366752396,38.8497366752396,0,0,14.4525213495348,14.4525213495348,0,0,0.372010793029286,0.372010793029286,0,0,YES,YES,YES,match,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,38.8497366752396,0.372010793029286,YES,YES,IN_PHASE_ONLY
18,96.5193238979949,96.5193238979949,0,0,145.320972476775,145.320972476775,0,0,1.50561531730532,1.50561531730532,0,0,YES,YES,YES,match,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,96.5193238979949,1.50561531730532,YES,YES,IN_PHASE_ONLY
22,183.026329123301,183.026329123301,0,0,1281.50147352383,1281.50147352383,0,0,7.00173291822134,7.00173291822134,0,0,YES,YES,YES,match,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,183.026329123301,7.00173291822134,YES,YES,IN_PHASE_ONLY
26,9.39314322655396,9.39314322655396,0,0,863.920752533678,863.920752533678,0,0,91.9735525900868,91.9735525900868,0,0,YES,YES,YES,match,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,9.39314322655396,91.9735525900868,YES,YES,IN_PHASE_ONLY
30,NaN,18756954.7248547,NaN,NaN,975.626714166143,975.626714166143,0,0,NaN,5.20141317435366e-05,NaN,NaN,NO,YES,NO,tau_or_ratio_mismatch,ARCHIVED_LINEAGE_REPLAY,NO,ARCHIVED_TRACEABLE,IN_PHASE,NaN,NaN,YES,YES,IN_PHASE_ONLY
