rule_id,rule_group,contract_rule,applies_to_objects_terms,required_qualifiers,allowed_use,forbidden_use,basis_artifact_or_code,contract_status,risk_if_violated,notes
R-DM-001,dM_DeltaM,dM pauseRuns.DeltaM and DeltaM_signed are not interchangeable unless proven equal with documented source,dM DeltaM_signed DeltaM_signed_source,DeltaM_signed_source or equality proof,decomposition diagnostics export when qualified,equating sharp to signed dip without check,Aging/models/analyzeAFM_FM_components.m,LOCKED_WITH_QUALIFIER,HIGH,"F7X4 G1"
R-DM-002,dM_DeltaM,DeltaM_sharp equals dM minus DeltaM_smooth using pipeline dM not DeltaM_signed,DeltaM_sharp,stage4_direct,AFM window metrics from dM_sharp,claiming dip_signed equals DeltaM_sharp without proof,same,LOCKED,HIGH,""
R-DM-003,dM_DeltaM,dip_signed equals DeltaM_signed minus DeltaM_smooth same smooth vector as sharp path,dip_signed,stage4_direct signed_dip_layer,physics_signed_dip narrative export if signed carried,using dip_signed as five_column Dip_depth without mapping,same,LOCKED_WITH_QUALIFIER,MEDIUM,""
R-BG-001,background_baseline,Standalone contract tokens background baseline residual are forbidden without category plus stage or route,background baseline residual,CATEGORY_TOKEN plus stage_or_route,qualified prose in annex only,using as normative object ids without qualifier,F7X4 G2,FORBIDDEN,HIGH,""
R-BG-002,background_baseline,baseline unqualified forbidden same as R-BG-001,baseline,same,same,same,same,FORBIDDEN,MEDIUM,""
R-BG-003,background_baseline,residual unqualified forbidden same as R-BG-001,residual,same,same,same,same,FORBIDDEN,MEDIUM,""
R-BG-004,background_baseline,smooth_component DeltaM_smooth stage4 sgolay must not be equated to stage5 fit plateau or extrema movmean without bridge row,DeltaM_smooth FM_E M_s extrema,branch tokens SMOOTH_COMPONENT vs STAGE5_FIT vs EXTREMA_MOVMEAN,comparison only with bridge pairing FORBIDDEN substitution,silent identity map across branches,F7X4 background table,LOCKED_WITH_QUALIFIER,BLOCKING,"F7W no substitution"
R-FM-001,FM_sign,FM_signed preserves sign when assigned from FM_step_raw or FM_step_mag fallback per stage4 orchestrator,FM_signed FM_step_raw,stage4_post_orchestrator,signed FM analysis FM_abs derivation source,claiming FM_abs shows reversal,F7J freeze stage4_analyzeAFM_FM.m,LOCKED,HIGH,""
R-FM-002,FM_sign,FM_abs is abs of FM_signed when finite magnitude only loses sign,FM_abs,ABS_ONLY,magnitude tau_input consolidation five_column,signed reversal claims from FM_abs alone,same,LOCKED,HIGH,""
R-FM-003,FM_sign,FM_step_mag not automatically magnitude_only contract usage must cite route and measurement freeze wide export signed semantics,FM_step_mag,route_sign_policy matrix_wide_signed,diagnostics audits wide export,assuming mag from name alone in contract,same,LOCKED_WITH_QUALIFIER,HIGH,""
R-DIR-001,direct_route,direct family includes agingMetricMode direct model fit all call analyzeAFM_FM_components not stage5,direct model fit flags,stage4_direct_family,stage4 decomposition outputs,labeling as stage5_fit,switch case stage4_analyzeAFM_FM.m,LOCKED,HIGH,"F7X4 G4"
R-DER-001,derivative_route,derivative outputs include copied direct fields plus FM redefinition from median dM_smooth outside dip plus diagnostics derivative-only,derivative result fields,stage4_derivative,decomposition diagnostics export if listed,using derivative FM as interchange default without label,analyzeAFM_FM_derivative.m,LOCKED_WITH_QUALIFIER,MEDIUM,"F7X4 G3"
