key,value
F7H_ROADMAP_UPDATE_COMPLETE,YES
F7G_COMMIT_RECORDED_ced4798,YES
F7H_BLOCKER_RECORDED_MISSING_CONSOLIDATED_DATASET_RESULTS_PATH,YES
F7H_REAL_OUTPUT_NOT_VALIDATED_RECORDED,YES
F7H_METADATA_PATCH_NOT_AT_FAULT,YES
DATASET_LAYER_IDENTIFIED_AS_NEXT_BLOCKER,YES
F7I_DEFINED_AS_NEXT_STEP,YES_RUN_DATASET_AVAILABILITY_AND_LINEAGE_AUDIT
NO_CODE_EDITED,YES
NO_MATLAB_RUN,YES
NO_TAU_R_RECOMPUTATION,YES
NO_MODEL_ANALYSIS,YES
NO_OLD_ANALYSIS_REPLAY,YES
NO_SWITCHING_TOUCHED,YES
NO_RELAXATION_TOUCHED,YES
NO_MT_TOUCHED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
NO_PUSH_PERFORMED,YES
